title,author,lyric,lyric_en,href
Fast Car,Tracy Chapman,"You got a fast car I want a ticket to anywhere Maybe we make a deal Maybe together we can get somewhere Any place is better Starting from zero, got nothing to lose Maybe we'll make something Me, myself, I got nothing to prove You got a fast car I got a plan to get us outta here I been working at the convenience store Managed to save just a little bit of money Won't have to drive too far Just 'cross the border and into the city You and I can both get jobs Finally see what it means to be living See, my old man's got a problem He lives with a bottle, that's the way it is He says his body's too old for working His body's too young to look like his When momma went off and left him She wanted more from life than he could give I said: Somebody's gotta take care of him So I quit school and that's what I did You got a fast car Is it fast enough so we can fly away? We gotta make a decision Leave tonight, or live and die this way So I remember when we were driving Driving in your car Speed so fast it felt like I was drunk City lights lay out before us And your arm felt nice wrapped 'round my shoulder And I, I had a feeling that I belonged I, I had a feeling I could be someone Be someone, be someone You got a fast car We go cruising, entertain ourselves You still ain't got a job And I work in a market as a checkout girl I know things will get better You'll find work and I'll get promoted We'll move out of the shelter Buy a bigger house and live in the suburbs So I remember when we were driving Driving in your car Speed so fast, it felt like I was drunk City lights lay out before us And your arm felt nice wrapped round my shoulder And I, I had a feeling that I belonged I, I had a feeling I could be someone Be someone, be someone You got a fast car I got a job that pays all our bills You stay out drinkin' late at the bar See more of your friends than you do your kids I'd always hoped for better Thought maybe together, you and me'd find it I got no plans, I ain't going nowhere So take your fast car and keep on driving You got a fast car Is it fast enough so you can fly away? You gotta make a decision Leave tonight, or live and die this way","You got a fast car I want a ticket to anywhere Maybe we make a deal Maybe together we can get somewhere Any place is better Starting from zero, got nothing to lose Maybe we'll make something Me, myself, I got nothing to prove You got a fast car I got a plan to get us outta here I've been working at the convenience store Managed to save just a little bit of money Won't have to drive too far Just 'cross the border and into the city You and I can both get jobs Finally see what it means to be living See, my old man's got a problem He lives with a bottle, that's the way it is He says his body's too old for working His body's too young to look like his When momma went off and left him She wanted more from life than he could give I said: Somebody's gotta take care of him So I quit school and that's what I did You got a fast car Is it fast enough so we can fly away? We gotta make a decision Leave tonight, or live and die this way So I remember when we were driving Driving in your car Speed ​​so fast it felt like I was drunk City lights lay out before us And your arm felt nice wrapped 'round my shoulder And I, I had a feeling that I belonged I, I had a feeling I could be someone Be someone, be someone You got a fast car We go cruising, entertain ourselves You still ain't got a job And I work in a market as a checkout girl I know things will get better You'll find work and I'll get promoted We'll move out of the shelter Buy a bigger house and live in the suburbs So I remember when we were driving Driving in your car Speed so fast, it felt like I was drunk City lights lay out before us And your arm felt nice wrapped round my shoulder And I, I had a feeling that I belonged I, I had a feeling I could be someone Be someone, be someone You got a fast car I got a job that pays all our bills You stay out drinkin' late at the bar See more of your friends than you do your kids I'd always hope for better Thought maybe together, you and me'd find it I got no plans, I ain't going nowhere So take your fast car and keep on driving You got a fast car Is it fast enough so you can fly away? You gotta make a decision Leave tonight, or live and die this way",https://www.letras.mus.br/tracy-chapman/7394/
The House Of The Rising Sun,The Animals,"There is a house in New Orleans They call the Rising Sun And it's been the ruin of many a poor boy And God, I know I'm one My mother was a tailor She sewed my new blue jeans My father was a gamblin' man Down in New Orleans Now the only thing a gambler needs Is a suitcase and a trunk And the only time he'll be satisfied Is when he's all drunk Oh, mother, tell your children Not to do what I have done Spend your lives in sin and misery In the House of the Rising Sun Well, I got one foot on the platform The other foot on the train I'm goin' back to New Orleans To wear that ball and chain Well, there is a house in New Orleans They call the Rising Sun And it's been the ruin of many a poor boy And God, I know I'm one","There is a house in New Orleans They call the Rising Sun And it's been the ruin of many a poor boy And God, I know I'm one My mother was a tailor She sewed my new blue jeans My father was a gamblin' man Down in New Orleans Now the only thing a gambler needs Is a suitcase and a trunk And the only time he'll be satisfied Is when he's all drunk Oh, mother, tell your children Not to do what I have done Spend your lives in sin and misery In the House of the Rising Sun Well, I got one foot on the platform The other foot on the train I'm goin' back to New Orleans To wear that ball and chain Well, there is a house in New Orleans They call the Rising Sun And it's been the ruin of many a poor boy And God, I know I'm one",https://www.letras.mus.br/the-animals/302271/
Raindrops Keep Falling On My Head,B.J. Thomas,Raindrops are falling on my head And just like the guy Whose feet are too big for his bed Nothin' seems to fit Those raindrops are fallin' on my head They keep fallin' So I just did me some talkin' to the Sun And I said I didn't like the way He got things done Sleepin' on the job Those raindrops are fallin' on my head They keep fallin' But there's one thing I know The blues they send to meet me Won't defeat me It won't be long till happiness Steps up to greet me Raindrops keep fallin' on my head But that doesn't mean my eyes Will soon be turnin' red Cryin's not for me 'Cause I'm never gonna stop the rain By complainin' Because I'm free Nothing's worryin' me! It won't be long till happiness Steps up to greet me Raindrops keep fallin' on my head But that doesn't mean my eyes Will soon be turnin' red Cryin's not for me 'Cause I'm never gonna stop the rain By complainin' Because I'm free Nothing's worryin' me!,Raindrops are falling on my head And just like the guy Whose feet are too big for his bed Nothin' seems to fit Those raindrops are falling on my head They keep fallingin' So I just did me some talkin' to the Sun And I said I didn't like the way He got things done Sleepin' on the job Those raindrops are fallin' on my head They keep fallingin' But there's one thing I know The blues they send to meet me Won't defeat me It won't be long till happiness Steps up to greet me Raindrops keep fallin' on my head But that doesn't mean my eyes Will soon be turnin' red Cryin's not for me 'Cause I'm never gonna stop the rain By complainin' Because I' m free Nothing's worryin' me! It won't be long till happiness Steps up to greet me Raindrops keep fallin' on my head But that doesn't mean my eyes Will soon be turnin' red Cryin's not for me 'Cause I'm never gonna stop the rain By complainin 'Because I'm free Nothing's worryin' me!,https://www.letras.mus.br/bj-thomas/40153/
Wonderful Tonight,Eric Clapton,"It's late in the evening She's wondering what clothes to wear She puts on her make-up And brushes her long blond hair And then she asks me: Do I look alright? And I say: Yes, you look wonderful tonight We go to a party And everyone turns to see This beautiful lady That's walking around with me And then she asks me: Do you feel alright? And I say: Yes, I feel wonderful tonight I feel wonderful Because I see the love light in your eyes And the wonder of it all Is that you just don't realize How much I love you It's time to go home now And I've got an aching head So I give her the car keys She helps me to bed And then I tell her As I turn out the light I say: My darling, you were wonderful tonight Oh, my darling, you were wonderful tonight Ooh, ooh, ooh, ooh","It's late in the evening She's wondering what clothes to wear She puts on her make-up And brushes her long blond hair And then she asks me: Do I look alright? And I say: Yes, you look wonderful tonight We go to a party And everyone turns to see This beautiful lady That's walking around with me And then she asks me: Do you feel alright? And I say: Yes, I feel wonderful tonight I feel wonderful Because I see the love light in your eyes And the wonder of it all Is that you just don't realize How much I love you It's time to go home now And I' ve got an aching head So I give her the car keys She helps me to bed And then I tell her As I turn out the light I say: My darling, you were wonderful tonight Oh, my darling, you were wonderful tonight Ooh, ooh , ooh, ooh",https://www.letras.mus.br/eric-clapton/7766/
I'd Rather Go Blind,Etta James,"Something told me it was over (yeah) When I saw you and her talking Something deep down in my soul said: Cry, girl (cry, cry) When I saw you and that girl Walking around, ooh I would rather, I would rather go blind, boy Than to see you walk away from me, child, oh, ooh So you see, I love you so much That I don't want to watch you leave me, baby Most of all, I just don't I just don't want to be free, no, ooh, ooh I was just, I was just I was just sitting here thinking Of your kiss and your warm embrace, yeah When the reflection in the glass That I held to my lips now, baby (yeah, yeah) Revealed the tears that was on my face, yeah, ooh And baby, baby (baby, baby, baby) I'd rather, I'd rather be blind, boy Than to see you walk away See you walk away from me, yeah, ooh Baby, baby, baby (baby, baby, baby) I'd rather be blind now","Something told me it was over (yeah) When I saw you and her talking Something deep down in my soul said: Cry, girl (cry, cry) When I saw you and that girl Walking around, ooh I would rather, I would rather go blind, boy Than to see you walk away from me, child, oh, ooh So you see, I love you so much That I don't want to watch you leave me, baby Most of all, I just don't I just don't want to be free, no, ooh, ooh I was just, I was just I was just sitting here thinking Of your kiss and your warm embrace, yeah When the reflection in the glass That I held to my lips now, baby (yeah, yeah) Revealed the tears that was on my face, yeah, ooh And baby, baby (baby, baby, baby) I'd rather, I'd rather be blind, boy Than to see you walk away See you walk away from me, yeah, ooh Baby, baby, baby (baby, baby, baby) I'd rather be blind now",https://www.letras.mus.br/etta-james/19579/
Hit The Road Jack,Ray Charles,"(Hit the road, Jack, and don't you come back) (No more, no more, no more, no more) (Hit the road, Jack, and don't you come back no more) What you say? (Hit the road, Jack, and don't you come back) (No more, no more, no more, no more) (Hit the road, Jack, and don't you come back no more) Woah, woman, oh, woman, don't treat me so mean You're the meanest old woman that I've ever seen I guess if you said so I'd have to pack my things and go (that's right) (Hit the road, Jack, and don't you come back) (No more, no more, no more, no more) (Hit the road, Jack, and don't you come back no more) What you say? (Hit the road, Jack, and don't you come back) (No more, no more, no more, no more) (Hit the road, Jack, and don't you come back no more) Now, baby, listen, baby, don't ya treat me this way 'Cause I'll be back on my feet some day (Don't care if you do, 'cause it's understood) (You ain't got no money, you just ain't no good) Well, I guess if you say so I'd have to pack my things and go (that's right) (Hit the road, Jack, and don't you come back) (No more, no more, no more, no more) (Hit the road, Jack, and don't you come back no more) What you say? (Hit the road, Jack, and don't you come back) (No more, no more, no more, no more) (Hit the road, Jack, and don't you come back no more) Well (Don't you come back no more) Uh, what you say? (Don't you come back no more) I didn't understand you! (Don't you come back no more) You can't mean that! (Don't you come back no more) Oh, no, baby, please! (Don't you come back no more) What you tryin' to do to me? (Don't you come back no more) Oh, don't treat me like that! (Don't you come back no more)","(Hit the road, Jack, and don't you come back) (No more, no more, no more, no more) (Hit the road, Jack, and don't you come back no more) What do you say? (Hit the road, Jack, and don't you come back) (No more, no more, no more, no more) (Hit the road, Jack, and don't you come back no more) Woah, woman, oh , woman, don't treat me so mean You're the meanest old woman that I've ever seen I guess if you said so I'd have to pack my things and go (that's right) (Hit the road, Jack, and don't you come back) (No more, no more, no more, no more) (Hit the road, Jack, and don't you come back no more) What do you say? (Hit the road, Jack, and don't you come back) (No more, no more, no more, no more) (Hit the road, Jack, and don't you come back no more) Now, baby, listen , baby, don't ya treat me this way 'Cause I'll be back on my feet some day (Don't care if you do, 'cause it's understood) (You ain't got no money, you just ain' t no good) Well, I guess if you say so I'd have to pack my things and go (that's right) (Hit the road, Jack, and don't you come back) (No more, no more, no more , no more) (Hit the road, Jack, and don't you come back no more) What do you say? (Hit the road, Jack, and don't you come back) (No more, no more, no more, no more) (Hit the road, Jack, and don't you come back no more) Well (Don't you come back no more) Uh, what do you say? (Don't you come back no more) I didn't understand you! (Don't you come back no more) You can't mean that! (Don't you come back no more) Oh, no, baby, please! (Don't you come back no more) What you tryin' to do to me? (Don't you come back no more) Oh, don't treat me like that! (Don't you come back no more)",https://www.letras.mus.br/ray-charles/7422/
At Last,Etta James,"At last My love has come along My lonely days are over And life is like a song Ohh yeah yeah At last The skies above are blue My heart was wrapped up in clovers The night I looked at you I found a dream, that I could speak to A dream that I can call my own I found a thrill to press my cheek to A thrill that I have never known Ohh  yeah yeah You smile, you smile Oh and then the spell was cast And here we are in heaven For you are mine at last","At last My love has come along My lonely days are over And life is like a song Ohh yeah yeah At last The skies above are blue My heart was wrapped up in clovers The night I looked at you I found a dream, that I could speak to A dream that I can call my own I found a thrill to press my cheek to A thrill that I have never known Ohh yeah yeah You smile, you smile Oh and then the spell was cast And here we are in heaven For you are mine at last",https://www.letras.mus.br/etta-james/19578/
Baby Can I Hold You?,Tracy Chapman,"Sorry Is all that you can't say? Years gone by and still Words don't come easily Like sorry Like sorry Forgive me Is all that you can't say? Years gone by and still Words don't come easily Like forgive me Forgive me But you can say: Baby Baby, can I hold you tonight? Maybe if I told you the right words At the right time You'd be mine I love you Is all that you can't say? Years gone by and still Words don't come easily Like I love you I love you But you can say: Baby Baby, can I hold you tonight? Maybe if I told you the right words At the right time You'd be mine Baby, can I hold you tonight? Maybe if I told you the right words At the right time You'd be mine You'd be mine You'd be mine","Sorry Is all that you can't say? Years gone by and still Words don't come easily Like sorry Like sorry Forgive me Is all that you can't say? Years gone by and still Words don't come easily Like forgive me Forgive me But you can say: Baby Baby, can I hold you tonight? Maybe if I told you the right words At the right time You'd be mine I love you Is all that you can't say? Years gone by and still Words don't come easily Like I love you I love you But you can say: Baby Baby, can I hold you tonight? Maybe if I told you the right words At the right time You'd be mine Baby, can I hold you tonight? Maybe if I told you the right words At the right time You'd be mine You'd be mine You'd be mine",https://www.letras.mus.br/tracy-chapman/772490/
No Limits,Royal Deluxe,"I'm tired of waiting Lost or I'm sitting at home Dream of a new destination Lust for something unknown Oh, you better leave it alone and you know I, I'd rather get up and go How long can I lie around waiting for it? Sometimes, you gotta out the door What do I do? What do I say? Am I chasing down dreams or running away? No limits, no ceiling, no crown No pressure gonna hold me down No stopping till I break every rule No limits to what I can do Nowhere is too far away No border gonna stand in my way No wall that I can't break through No limits to what I can do Yeah, I drive on the wrong side Just live while I can Stay here in the morning Cause I'm free to be my own man What do I do? What do I say? Am I chasing down dreams or running away? No limits, no ceiling, no crown No pressure gonna hold me down No stopping till I break every rule No limits to what I can do Nowhere is too far away No border gonna stand in my way No wall that I can't break through No limits to what I can do How long can I lie around waiting for it? Sometimes, you gotta get up and go No limits, no ceiling, no crown No pressure gonna hold me down No stopping till I break every rule No limits to what I can do Nowhere is too far away No border gonna stand in my way No wall that I can't break through No limits to what I can do","I'm tired of waiting Lost or I'm sitting at home Dream of a new destination Lust for something unknown Oh, you better leave it alone and you know I, I'd rather get up and go How long can I lie around waiting for it? Sometimes, you gotta out the door What do I do? What do I say? Am I chasing down dreams or running away? No limits, no ceiling, no crown No pressure gonna hold me down No stopping till I break every rule No limits to what I can do Nowhere is too far away No border gonna stand in my way No wall that I can't break through No limits to what I can do Yeah, I drive on the wrong side Just live while I can Stay here in the morning Cause I'm free to be my own man What do I do? What do I say? Am I chasing down dreams or running away? No limits, no ceiling, no crown No pressure gonna hold me down No stopping till I break every rule No limits to what I can do Nowhere is too far away No border gonna stand in my way No wall that I can't break through No limits to what I can do How long can I lie around waiting for it? Sometimes, you gotta get up and go No limits, no ceiling, no crown No pressure gonna hold me down No stopping till I break every rule No limits to what I can do Nowhere is too far away No border gonna stand in my way No wall that I can't break through No limits to what I can do",https://www.letras.mus.br/royal-deluxe/no-limits/
Tears In Heaven,Eric Clapton,"Would you know my name If I saw you in Heaven? Would it be the same If I saw you in Heaven? I must be strong And carry on 'Cause I know I don't belong Here in Heaven Would you hold my hand If I saw you in Heaven? Would you help me stand If I saw you in Heaven? I'll find my way Through night and day 'Cause I know I just can't stay Here in Heaven Time can bring you down Time can bend your knees Time can break your heart Have you begging please Begging please Beyond the door There's peace, I'm sure And I know there'll be no more Tears in Heaven Would you know my name If I saw you in Heaven? Would you be the same If I saw you in Heaven? I must be strong And carry on 'Cause I know I don't belong Here in Heaven","Would you know my name If I saw you in Heaven? Would it be the same If I saw you in Heaven? I must be strong And carry on 'Cause I know I don't belong Here in Heaven Would you hold my hand If I saw you in Heaven? Would you help me stand If I saw you in Heaven? I'll find my way Through night and day 'Cause I know I just can't stay Here in Heaven Time can bring you down Time can bend your knees Time can break your heart Have you begging please Begging please Beyond the door There's peace, I'm sure And I know there'll be no more Tears in Heaven Would you know my name If I saw you in Heaven? Would you be the same If I saw you in Heaven? I must be strong And carry on 'Cause I know I don't belong Here in Heaven",https://www.letras.mus.br/eric-clapton/7762/
