title,author,lyric,lyric_en,href
Garota de Ipanema,Tom Jobim,"Olha que coisa mais linda, mais cheia de graça É ela, menina, que vem e que passa Num doce balanço a caminho do mar Moça do corpo dourado, do Sol de Ipanema O seu balançado é mais que um poema É a coisa mais linda que eu já vi passar Ah, por que estou tão sozinho? Ah, por que tudo é tão triste? Ah, a beleza que existe A beleza que não é só minha Que também passa sozinha Ah, se ela soubesse que quando ela passa O mundo inteirinho se enche de graça E fica mais lindo por causa do amor Ah, por que estou tão sozinho? Ah, por que tudo é tão triste? Ah, a beleza que existe A beleza que não é só minha Que também passa sozinha Ah, se ela soubesse que quando ela passa O mundo inteirinho se enche de graça E fica mais lindo por causa do amor Por causa do amor Por causa do amor","Look what a beautiful thing, more full of grace It's her, girl, who comes and passes In a sweet swing on the way to the sea Girl with a golden body, from the Sun of Ipanema Her swing is more than a poem It's the most beautiful thing that I've seen it pass Ah, why am I so alone? Oh, why is everything so sad? Ah, the beauty that exists The beauty that is not just mine That also passes alone Ah, if she knew that when she passes The whole world is filled with grace And becomes more beautiful because of love Ah, why am I so alone? Oh, why is everything so sad? Ah, the beauty that exists The beauty that is not just mine That also passes alone Ah, if she knew that when she passes The whole world is filled with grace And it becomes more beautiful because of love Because of love Because of love",https://www.letras.mus.br/tom-jobim/20018/
Águas de Março,Tom Jobim,"É pau, é pedra, é o fim do caminho É um resto de toco, é um pouco sozinho É um caco de vidro, é a vida, é o Sol É a noite, é a morte, é o laço, é o anzol É peroba do campo, é o nó da madeira Caingá, candeia, é o Matita Pereira É madeira de vento, tombo da ribanceira É o mistério profundo, é o queira ou não queira É o vento ventando, é o fim da ladeira É a viga, é o vão, festa da cumeeira É a chuva chovendo, é conversa ribeira Das águas de março, é o fim da canseira É o pé, é o chão, é a marcha estradeira Passarinho na mão, pedra de atiradeira É uma ave no céu, é uma ave no chão É um regato, é uma fonte, é um pedaço de pão É o fundo do poço, é o fim do caminho No rosto, o desgosto, é um pouco sozinho É um estrepe, é um prego, é uma ponta, é um ponto É um pingo pingando, é uma conta, é um conto É um peixe, é um gesto, é uma prata brilhando É a luz da manhã, é o tijolo chegando É a lenha, é o dia, é o fim da picada É a garrafa de cana, o estilhaço na estrada É o projeto da casa, é o corpo na cama É o carro enguiçado, é a lama, é a lama É um passo, é uma ponte, é um sapo, é uma rã É um resto de mato, na luz da manhã São as águas de março fechando o verão É a promessa de vida no teu coração É uma cobra, é um pau, é João, é José É um espinho na mão, é um corte no pé São as águas de março fechando o verão É a promessa de vida no teu coração É pau, é pedra, é o fim do caminho É um resto de toco, é um pouco sozinho É um passo, é uma ponte, é um sapo, é uma rã É um belo horizonte, é uma febre terçã São as águas de março fechando o verão É a promessa de vida no teu coração Pau, edra, im, inho Esto, oco, ouco, inho Aco, idro, ida, ol, oite, orte, aço, zol São as águas de março fechando o verão É a promessa de vida no teu coração","It's a stick, it's a stone, it's the end of the road It's a stump, it's a little alone It's a shard of glass, it's life, it's the Sun It's the night, it's death, it's the noose, it's the hook It's peroba do campo, it's the knot in the Caingá wood, candeia, it's Matita Pereira It's wind wood, a fall from the bank It's the deep mystery, whether you like it or not It's the wind blowing, it's the end of the slope It's the beam, It's the vain, summit festival It's the rain raining, it's riverside talk Of the waters of March, it's the end of the tiredness It's the foot, it's the ground, it's the road march A bird in the hand, a sling stone It's a bird in the sky, It's a bird on the ground It's a stream, it's a fountain, it's a piece of bread It's the bottom of the well, it's the end of the road On the face, the heartbreak, it's a little alone It's a caltrop, it's a nail, it's a spike , it's a point It's a dripping drop, it's a bead, it's a tale It's a fish, it's a gesture, it's a shining silver It's the morning light, it's the brick arriving It's the firewood, it's the day, it's the end of sting It's the cane bottle, the shrapnel on the road It's the project of the house, it's the body in the bed It's the stalled car, it's the mud, it's the mud It's a step, it's a bridge, it's a toad, it's a frog It's a remnant of forest, in the morning light It's the waters of March closing the summer It's the promise of life in your heart It's a snake, it's a stick, it's João, it's José It's a thorn in the hand, it's a cut in the foot Saint the waters of March closing the summer It's the promise of life in your heart It's a stick, it's a stone, it's the end of the path It's a stump, it's a little alone It's a step, it's a bridge, it's a frog, it's a frog It's a beautiful horizon, it's a fever Tuesday It's the waters of March closing the summer It's the promise of life in your heart Pau, edra, im, inho Esto, hollow, ouco, inho Aco, idro, ida, ol, oite, north, steel, zol It's the waters of March closing the summer It's the promise of life in your heart",https://www.letras.mus.br/tom-jobim/49022/
Chega de Saudade,Tom Jobim,"Vai, minha tristeza E diz a ela que sem ela não pode ser Diz-lhe, numa prece, que ela regresse Porque eu não posso mais sofrer Chega de saudade A realidade é que sem ela não há paz Não há beleza, é só tristeza e a melancolia Que não sai de mim, não sai de mim, não sai Mas se ela voltar, se ela voltar Que coisa linda, que coisa louca Pois há menos peixinhos a nadar no mar Do que os beijinhos que eu darei na sua boca Dentro dos meus braços Os abraços hão de ser milhões de abraços Apertado assim, colado assim, calado assim Abraços e beijinhos e carinhos sem ter fim Que é pra acabar com esse negócio de você viver sem mim Não há paz Não há beleza, é só tristeza e a melancolia Que não sai de mim, não sai de mim, não sai Dentro dos meus braços Os abraços hão de ser milhões de abraços Apertado assim, colado assim, calado assim Abraços e beijinhos e carinhos sem ter fim Que é pra acabar com esse negócio de você viver sem mim Não quero mais esse negócio de você longe de mim Vamos deixar desse negócio de você viver sem mim","Go, my sadness And tell her that it can't be without her Tell her, in a prayer, that she returns Because I can't suffer anymore No more longing The reality is that without her there is no peace There is no beauty, it's just sadness and the melancholy That doesn't leave me, doesn't leave me, doesn't leave But if it comes back, if it comes back What a beautiful thing, what a crazy thing Because there are fewer fish swimming in the sea Than the little kisses that I will give on your mouth Inside the my arms The hugs will be millions of hugs Tight like this, glued like that, silent like that Hugs and kisses and affection without end What is to end this business of you living without me There is no peace There is no beauty, it is just sadness and the melancholy That doesn't leave me, doesn't leave me, doesn't leave Inside my arms The hugs will be millions of hugs Tight like this, glued like that, silent like that Hugs and kisses and affection without end What is to end this business of you to live without me I don't want this business of you away from me anymore Let's stop this business of you living without me",https://www.letras.mus.br/tom-jobim/49028/
Tempo De Amor,Baden Powell,"Ah, bem melhor seria  Poder viver em paz  Sem ter que sofrer  Sem ter que chorar  Sem ter que querer  Sem ter que se dar  Ah, bem melhor seria  Poder viver em paz  Sem ter que sofrer  Sem ter que chorar  Sem ter que querer  Sem ter que se dar  Mas tem que sofrer  Mas tem que chorar  Mas tem que querer  Pra poder amar  Ah, mundo enganador  Paz não quer mais dizer amor  Ah, não existe coisa mais triste que ter paz  E se arrepender, e se conformar  E se proteger de um amor a mais  O tempo de amor  É tempo de dor  O tempo de paz  Não faz nem desfaz  Ah, que não seja meu  O mundo onde o amor morreu  Ah, não existe coisa mais triste que ter paz  E se arrepender, e se conformar  E se proteger de um amor a mais  E se arrepender, e se conformar  E se proteger de um amor a mais","Ah, much better it would be To be able to live in peace Without having to suffer Without having to cry Without having to want to Without having to give in Oh, much better it would be To be able to live in peace Without having to suffer Without having to cry Without having to want to Without having to give yourself But you have to suffer But you have to cry But you have to want To be able to love Ah, deceiving world Peace no longer means love Ah, there is nothing sadder than having peace And regretting, and conforming And protecting yourself from love more The time for love It's a time for pain The time for peace It doesn't make or break Ah, let it not be mine The world where love died Ah, there's nothing sadder than having peace And regretting, and conforming And protecting yourself of one more love And regret, and conform And protect yourself from one more love",https://www.letras.mus.br/baden-powell/923152/
Poema Enjoadinho,Vinicius de Moraes,"Filhos, filhos? Melhor não tê-los! Mas se não os temos Como sabê-los? Se não os temos Que de consulta Quanto silêncio Como os queremos! Banho de mar Diz que é um porrete Cônjuge voa Transpõe o espaço Engole água Fica salgada Se iodifica Depois, que boa Que morenaço Que a esposa fica! Resultado: filho E então começa A aporrinhação: Cocô está branco Cocô está preto Bebe amoníaco Comeu botão. Filhos? Filhos Melhor não tê-los Noites de insônia Cãs prematuras Prantos convulsos Meu Deus, salvai-o! Filhos são o demo Melhor não tê-los Mas se não os temos Como sabê-los? Como saber Que macieza Nos seus cabelos Que cheiro morno Na sua carne Que gosto doce Na sua boca! Chupam gilete Bebem xampu Ateiam fogo No quarteirão Porém, que coisa Que coisa louca Que coisa linda Que os filhos são!","Children, children? Better not to have them! But if we don't have them, how do we know them? If we don't have them What a consultation How much silence How much we want them! Bathing in the sea Says it's a club Spouse flies Transverses space Swallows water It becomes salty It becomes iodized Then, how good How dark-skinned That the wife gets! Result: son And then the trouble begins: Poop is white Poop is black Drinks ammonia Ate button. Children? Children Better not to have them Sleepless nights Premature dogs Convulsive crying My God, save him! Children are the demo Better not to have them But if we don't have them How do we know them? How to know How soft In your hair What a warm smell In your flesh What a sweet taste In your mouth! They suck razors They drink shampoo They set fires On the block However, what a crazy thing What a beautiful thing What children are!",https://www.letras.mus.br/vinicius-de-moraes/86964/
Ne Me Quitte Pas,Maysa,"Ne me quitte pas Il faut oublier, tout peut s'oublier Qui s'enfuit déjà Oublier le temps des malentendus et Le temps perdu À savoir comment Oublier ces heures qui tuaient parfois À coups de pourquoi Le cœur du bonheur Ne me quitte pas Ne me quitte pas Ne me quitte pas Moi Je t'offrirai des perles de pluie Venues de pays où il ne pleut pas Je creuserai la terre jusqu'après ma mort Pour couvrir ton corps d'or et de lumière Je ferai un domaine où l'amour sera roi Où l'amour sera loi Où tu seras reine Ne me quitte pas Ne me quitte pas Ne me quitte pas Ne me quitte pas Je t'inventerai des mots insensés Que tu comprendras Je te parlerai de ces amants-là Qui ont vu deux fois leur cœur s'embraser Je te raconterai l'histoire de ce roi Mort de n'avoir pas pu te rencontrer Ne me quitte pas Ne me quitte pas Ne me quitte pas On a vu souvent rejaillir le feu De l'ancien volcan qu'on croyait trop vieux Il est, paraît-il, des terres brûlées Que le plus de blé qu'un meilleur avril Et quand vient le soir pour qu'un ciel flamboie Le rouge et le noir ne s'épousent-ils pas? Ne me quitte pas Ne me quitte pas Ne me quitte pas Ne me quitte pas Je ne vais plus pleurer Je ne vais plus parler Je me cacherai là À te regarder, danser et sourire Et à t'écouter chanter et puis rire Laisse-moi devenir L'ombre de ton ombre L'ombre de ta main L'ombre de ton chien Ne me quitte pas Ne me quitte pas Ne me quitte pas Ne me quitte pas","Ne me quitte pas Il faut oublier, tout peut s'oublier Qui s'enfuit déjà Oublier le temps des malentendus et Le temps perdu À savoir comment Oublier ces heures qui tuaient parfois à coups de pourquoi Le cœur du bonheur Ne me quitte pas Ne me quitte pas Ne me quitte pas Moi Je t'offrirai des perles de pluie Venues de pays où il ne pleut pas Je creuserai la terre jusqu'après ma mort Pour couvrir ton corps d'or et de lumière Je ferai un domaine où l'amour it will be roi Où l'amour will be loi Où tu seras reine Ne me quitte pas Ne me quitte pas Ne me quitte pas Ne me quitte pas Je t'inventerai des mots insensés Que tu comprendras Je te parlerai de ces amants-là Qui ont vu deux You left the heart of your embraser If you told me the story of what happened before you died, you could find me again Ne me quitte pas Ne me quitte pas Ne me quitte pas On a vu souvent rejaillir le feu De l'ancien volcan qu' on croyait trop vieux Il est, paraît-il, des terres brûlées Que le plus de blé qu'un meilleur avril Et quand vient le soir pour qu'un ciel flamboie Le rouge et le noir ne s'épousent-ils pas? Ne me quitte pas Ne me quitte pas Ne me quitte pas Ne me quitte pas Je ne vais plus pleurer Je ne vais plus parler Je me cacherai là À te regarder, danser et sourire Et à t'écouter chanter et puis rire Laisse-moi devenir L'ombre de ton ombre L'ombre de ta main L'ombre de ton chien Ne me quitte pas Ne me quitte pas Ne me quitte pas Ne me quitte pas",https://www.letras.mus.br/maysa/64183/
O Velho e a Flor,Vinicius de Moraes,Por céus e mares eu andei Vi um poeta e vi um rei Na esperança de saber o que é o amor Ninguém sabia me dizer E eu já queria até morrer Quando um velhinho com uma flor assim falou O amor é o carinho É o espinho que não se vê em cada flor É a vida quando Chega sangrando Aberta em pétalas de amor,I walked through the skies and seas I saw a poet and I saw a king Hoping to know what love is No one could tell me And I already wanted it until I died When an old man with a flower like that said Love is affection It's the thorn that doesn't You can see it in every flower It's life when It arrives bleeding Open in petals of love,https://www.letras.mus.br/vinicius-de-moraes/86756/
O Pato,Vinicius de Moraes,"Lá vem o Pato Pata aqui, pata acolá Lá vem o Pato Para ver o que é que há Lá vem o Pato Pata aqui, pata acolá Lá vem o Pato Para ver o que é que há O pato pateta Pintou o caneco Surrou a galinha Bateu no marreco Pulou do poleiro No pé do cavalo Levou um coice Criou um galo Comeu um pedaço De jenipapo Ficou engasgado Com dor no papo Caiu no poço Quebrou a tigela Tantas fez o moço Que foi pra panela Caiu no poço Quebrou a tigela Tantas fez o moço Que foi pra panela Lá vem o Pato Pata aqui, pata acolá Lá vem o Pato Para ver o que é que há Lá vem o Pato Pata aqui, pata acolá Lá vem o Pato Para ver o que é que há O pato pateta Pintou o caneco Surrou a galinha Bateu no marreco Pulou do poleiro No pé do cavalo Levou um coice Criou um galo Comeu um pedaço De jenipapo Ficou engasgado Com dor no papo Caiu no poço Quebrou a tigela Tantas fez o moço Que foi pra panela Caiu no poço Quebrou a tigela Tantas fez o moço Que foi pra panela","Here comes the Duck Duck here, duck there Here comes the Duck To see what's there Here comes the Duck Duck here, duck there Here comes the Duck To see what's there The goofy duck Painted the mug Beat the chicken Hit on the teal He jumped from the perch On the horse's foot He was kicked He raised a rooster He ate a piece of genipap He got choked With pain in his crop He fell into the well He broke the bowl So many things did the boy It went into the pan He fell into the well He broke the bowl So many things the boy did That went into the pot Here comes the Duck Duck here, duck there Here comes the Duck To see what's there Here comes the Duck Duck here, duck there Here comes the Duck To see what's there The goofy duck Painted the mug He beat the chicken He hit the mallard He jumped from the perch On the horse's foot He was kicked He raised a rooster He ate a piece of genipap He choked With pain in his crop He fell into the well He broke the bowl The boy did so many things It went into the pan He fell into the well He broke the bowl The boy did so many things that he went to the pan",https://www.letras.mus.br/vinicius-de-moraes/86808/
Onde Anda Você (part. Toquinho),Vinicius de Moraes,"E por falar em saudade Onde anda você? Onde andam os seus olhos Que a gente não vê? Onde anda esse corpo Que me deixou morto De tanto prazer? E por falar em beleza Onde anda a canção Que se ouvia na noite Dos bares de então Onde a gente ficava Onde a gente se amava Em total solidão? Hoje eu saio na noite vazia Numa boemia sem razão de ser Na rotina dos bares Que apesar dos pesares Me trazem você E por falar em paixão Em razão de viver Você bem que podia me aparecer Nesses mesmos lugares Na noite, nos bares Onde anda você? Hoje eu saio na noite vazia Numa boemia sem razão de ser Na rotina dos bares Que apesar dos pesares Me trazem você E por falar em paixão Em razão de viver Você bem que podia me aparecer Nesses mesmos lugares Na noite, nos bares Onde anda você?","And speaking of longing, where are you? Where are your eyes That we don't see? Where is this body That left me dead With so much pleasure? And speaking of beauty Where is the song That was heard in the night From the bars of then Where did we stay Where did we love each other In total solitude? Today I go out into the empty night In a bohemia without a reason for being In the routine of the bars That despite the regrets they bring you to me And speaking of passion For a reason to live You could easily appear to me In those same places At night, in the bars Where are you? Today I go out into the empty night In a bohemia without a reason for being In the routine of the bars That despite the regrets they bring you to me And speaking of passion For a reason to live You could easily appear to me In those same places At night, in the bars Where are you?",https://www.letras.mus.br/vinicius-de-moraes/49277/
Pela Luz Dos Olhos Teus (part. Miúcha),Tom Jobim,"Quando a luz dos olhos meus E a luz dos olhos teus Resolvem se encontrar Ai, que bom que isso é, meu Deus Que frio que me dá o encontro desse olhar Mas se a luz dos olhos teus Resiste aos olhos meus Só pra me provocar Meu amor, juro por Deus, me sinto incendiar Meu amor, juro por Deus Que a luz dos olhos meus já não pode esperar Quero a luz dos olhos meus Na luz dos olhos teus Sem mais lá-rá-rá-rá Pela luz dos olhos teus Eu acho, meu amor, que só se pode achar Que a luz dos olhos meus precisa se casar Quando a luz dos olhos meus E a luz dos olhos teus Resolvem se encontrar Ai, que bom que isso é, meu Deus Que frio que me dá o encontro desse olhar Mas se a luz dos olhos teus Resiste aos olhos meus Só pra me provocar Meu amor, juro por Deus, me sinto incendiar (me sinto incendiar) Meu amor, juro por Deus Que a luz dos olhos meus já não pode esperar Quero a luz dos olhos meus Na luz dos olhos teus Sem mais lá-rá-rá-rá Pela luz dos olhos teus Eu acho, meu amor, e só se pode achar Que a luz dos olhos meus precisa se casar Que a luz dos olhos meus precisa se casar Que a luz dos olhos meus precisa se casar Precisa se casar (precisa se casar) Precisa se casar (precisa se casar) Precisa se casar, precisa se casar Precisa se casar, precisa se casar Precisa se casar, precisa se casar Precisa se casar, precisa se casar Precisa se casar, precisa se casar Precisa se casar, precisa se casar","When the light of my eyes And the light of your eyes They decide to meet Oh, how good this is, my God How cold it gives me to meet that look But if the light of your eyes Resists my eyes Just to provoke me My love, I swear to God, I feel myself burning My love, I swear to God That the light of my eyes can no longer wait I want the light of my eyes In the light of your eyes No more ha-ha-ha-ha For the light of your eyes I think, my love, that you can only find That the light of my eyes needs to get married When the light of my eyes And the light of your eyes They decide to meet Oh, how good this is, my God How cold it makes me the meeting of that look But if the light in your eyes Resists my eyes Just to provoke me My love, I swear to God, I feel like I'm on fire (I feel like I'm on fire) My love, I swear to God That the light in my eyes can no longer wait I want the light of my eyes In the light of your eyes No more ha-ha-ha-ha By the light of your eyes I think, my love, and it can only be found That the light of my eyes needs to get married That the light of my eyes My needs to get married That the light of my eyes needs to get married Need to get married (need to get married) Need to get married (need to get married) Need to get married, need to get married Need to get married, need to get married Need to get married, need to get married Need to get married, need to get married Need to get married, need to get married Need to get married, need to get married",https://www.letras.mus.br/tom-jobim/73343/
