title,author,lyric,lyric_en,href
Xote da Alegria,Falamansa,"Se um dia alguém mandou Ser o que sou e o que gostar Não sei quem sou e vou mudar Pra ser aquilo que eu sempre quis E se acaso você diz Que sonha um dia em ser feliz Vê se fala sério Pra que chorar sua mágoa? Se afogando em agonia Contra tempestade em copo d'água Dance o xote da alegria (Simbora) Se um dia alguém mandou Ser o que sou e o que gostar Não sei quem sou e vou mudar Pra ser aquilo que eu sempre quis E se acaso você diz Que sonha um dia em ser feliz Vê se fala sério Pra que chorar sua mágoa? Se afogando em agonia Contra tempestade em copo d'água Dance o xote da alegria (Simbora) (Todo mundo sorrindo, simbora) Pra que chorar sua mágoa? Se afogando em agonia Contra tempestade em copo d'água Dance o xote da alegria (Simbora)","If one day someone told me to be what I am and what I like I don't know who I am and I'm going to change To be what I always wanted And if you say that one day you dream of being happy Be serious Why cry your sorrow? Drowning in agony Against a storm in a glass of water Dance the xote of joy (Let's go) If one day someone told me to Be what I am and what I like I don't know who I am and I'm going to change To be what I always wanted And if by chance you says Who dreams of one day being happy Be serious Why cry your heartache? Drowning in agony Against a storm in a glass of water Dance the xote of joy (Let's go) (Everyone smiling, let's go) Why cry your heartache? Drowning in agony Against a storm in a glass of water Dance the xote of joy (Simbora)",https://www.letras.mus.br/falamansa/14353/
Flor de Tangerina,Alceu Valença,"Hoje eu sonhei que ela voltava E vinha muito mais que linda À meia-luz me acordava Cheirando à flor de tangerina Eu lhe amava e mergulhava No seu olhar de onça-menina E docemente me afogava Em suas águas cristalinas Eu lhe amava e mergulhava No seu olhar de onça-menina E docemente me afogava Em suas águas cristalinas Em suas águas Depois sonhei que ela voltava E dessa vez bem mais que linda À meia-luz me afagava E sua pele era tão fina Quando acordei, meu bem chegava Seria onça ou menina? Chegar assim, de madrugada Cheirando à flor de tangerina Cheirando à flor Depois sonhei que ela voltava E dessa vez bem mais que linda À meia-luz me afagava E sua pele era tão fina Quando acordei, meu bem chegava Seria onça ou menina? Chegar assim, de madrugada Cheirando à flor de tangerina Quando acordei, meu bem chegava Seria onça ou menina? Chegar assim, de madrugada Cheirando à flor de tangerina Cheirando à flor","Today I dreamed that she came back And she came back much more than beautiful In the half light she woke me up Smelling the tangerine flower I loved her and immersed myself In her jaguar-like gaze And sweetly drowned me In her crystal clear waters I loved her and immersed myself In hers look like a jaguar girl And sweetly I drowned In her crystal clear waters In her waters Then I dreamed that she came back And this time much more than beautiful In the half light she caressed me And her skin was so thin When I woke up, my good arrived Would it be a jaguar or a girl ? Arriving like this, at dawn Smelling the tangerine flower Smelling the flower Then I dreamed that she came back And this time much more than beautiful In the half light she caressed me And her skin was so thin When I woke up, my love arrived Would it be a jaguar or a girl? Arriving like this, at dawn Smelling like tangerine flowers When I woke up, my baby arrived Would it be a jaguar or a girl? Arriving like this, at dawn Smelling like tangerine flowers Smelling like flowers",https://www.letras.mus.br/alceu-valenca/400631/
Rindo à Toa,Falamansa,"Tô numa boa, tô aqui de novo Daqui não saio, daqui não me movo Tenho certeza, esse é o meu lugar Aha-aha Tô numa boa, tô ficando esperto Já não pergunto se isso tudo é certo Uso esse tempo pra recomeçar Aha-aha Doeu, doeu, agora não dói Não dói, não dói Chorei, chorei Agora não choro mais Toda mágoa que passei É motivo pra comemorar Pois se não sofresse assim Não tinha razões pra cantar Ha-ha-ha-ha-ha Mas eu tô rindo à toa Não que a vida esteja assim tão boa Mas um sorriso ajuda a melhorar Aha-aha E cantando assim parece que o tempo voa Quanto mais triste, mais bonito soa Eu agradeço por poder cantar Lalaiá-laiá-laiá-iê Tô numa boa, tô aqui de novo Daqui não saio, daqui não me movo Tenho certeza, esse é o meu lugar Aha-aha Tô numa boa, tô ficando esperto Já não pergunto se isso tudo é certo Uso esse tempo pra recomeçar Aha-aha Doeu, doeu, agora não dói Não dói, não dói Chorei, chorei Agora não choro mais Toda mágoa que passei É motivo pra comemorar Pois se não sofresse assim Não tinha razões pra cantar Ha-ha-ha-ha-ha Mas eu tô rindo à toa Não que a vida esteja assim tão boa Mas um sorriso ajuda a melhorar Aha-aha E cantando assim parece que o tempo voa Quanto mais triste, mais bonito soa Eu agradeço por poder cantar Lalaiá-laiá-laiá-iê (Simbora)","I'm in a good place, I'm here again I'm not leaving here, I'm not moving from here I'm sure, this is my place Aha-aha I'm in a good place, I'm getting smart I no longer ask if this is all right I'm using this time to start over Aha-aha It hurt, it hurt, now it doesn't hurt It doesn't hurt, it doesn't hurt I cried, I cried Now I don't cry anymore All the hurt I went through Is a reason to celebrate Because if I didn't suffer like this I had no reason to sing Ha-ha-ha-ha-ha But I'm laughing for nothing Not that life is that good But a smile helps to improve Aha-aha And singing like this it seems like time flies The sadder, the more beautiful it sounds I'm grateful for being able to sing Lalaiá-laiá-laiá-iê I'm in a good place, I'm here again I'm not leaving, I'm not moving from here I'm sure, this is my place Aha-aha I'm fine, I'm getting smart I no longer ask if this is all right I use this time to start over Aha-aha It hurt, it hurt, now it doesn't hurt It doesn't hurt, it doesn't hurt I cried, I cried Now I don't cry anymore All the pain I went through Is a reason to celebrate Because if I didn't suffer like this I had no reason to sing Ha-ha-ha-ha-ha But I'm laughing for nothing Not that life is so good But a smile helps make it better Aha-aha And singing like that it seems like time flies The sadder, the more beautiful it sounds I'm grateful for being able to sing Lalaiá-laiá-laiá-iê (Simbora)",https://www.letras.mus.br/falamansa/14351/
Muído de Vaquejada,Kelvy Pablo,"Chama as bichinha Vai rolar esquenta no posto de gasolina Cerveja gelada Mais tarde tem muído de vaquejada Boi no chão, forró, mulher, cachaça e som de paredão Pode chamar que tem Curtição, pegar o Sol com a mão Isso é festa de interior Festa de interior Festa de interior Chama as bichinha Vai rolar esquenta no posto de gasolina Cerveja gelada Mais tarde tem muído de vaquejada Boi no chão, forró, mulher, cachaça e som de paredão Pode chamar que tem Curtição, pegar o Sol com a mão Isso é festa de interior Festa de interior Festa de interior","Call the bichinhas It's going to be hot at the gas station Cold beer Later there's muido de vaquejada Bull on the ground, forró, women, cachaça and the sound of a wall You can call it Fun, catch the sun with your hand This is an indoor party Party of interior Indoor party Call the bichinha It's going to be hot at the gas station Cold beer Later there's muido de vaquejada Bull on the floor, forró, women, cachaça and the sound of a wall You can call it Fun, catch the sun with your hand That's a party indoor Indoor party Indoor party",https://www.letras.mus.br/kelvy-pablo/muido-de-vaquejada/
Dizem Que Sou Louca,Banda Kitara,"Kitara Ah Dizem que sou louca, fora de controle Que você controla todos meus sentidos Que me afastei de todos, que nem ligo pros amigos Dizem que sou louca, que meus movimentos Estão dirigidos por teus pensamentos Que já não me importo com tudo que fazes Que acredito, te perdoo, sempre volto E que não mereço essas horas que me roubas Por isso, dizem que sou louca Porque teu amor é minha bandeira Porque está sempre nos meus sonhos E te sigo pela vida inteira Por isso, dizem que sou louca E que tua pele é minha morada E, junto a mim, me sinto outra Por isso, dizem que sou louca Porque concedo os teus caprichos Porque a história de nós dois são suficientes para o meu delírio Prefiro que me chamem louca E que prossiga minha loucura para sempre estar contigo Dizem que sou louca, que o amor é cego Que eu estou perdida, que isso é um mistério Que eu já não me importo com minha própria sorte Que acredito, te perdoo, sempre volto E que não mereço essas horas que me roubas Por isso, dizem que sou louca Porque teu amor é minha bandeira Porque está sempre nos meus sonhos E te sigo pela vida inteira Por isso, dizem que sou louca E que tua pele é minha morada E, junto a mim, me sinto outra Por isso, dizem que sou louca Porque concedo os teus caprichos Porque a história de nós dois são suficientes para o meu delírio Prefiro que me chamem louca E que prossiga minha loucura para sempre estar contigo É melhor viver essa loucura Em tua boca, em teus olhos Do que me levar à Lua Por isso que me chamam louca Ah, louca, louca, louca, louca, louca Por isso dizem que sou louca E que prossiga minha loucura Para sempre estar contigo","Kitara Ah They say I'm crazy, out of control That you control all my senses That I moved away from everyone, that I don't even care about my friends They say I'm crazy, that my movements Are directed by your thoughts That I no longer care about everything you do That I believe, I forgive you, I always come back And that I don't deserve these hours that you steal from me That's why they say I'm crazy Because your love is my flag Because it's always in my dreams And I follow you my whole life That's why they say I'm crazy And that your skin is my home And, next to me, I feel different That's why they say I'm crazy Because I grant your whims Because the story of the two of us is enough for my delirium I prefer to be called crazy And may my madness continue forever being with you They say that I'm crazy, that love is blind That I'm lost, that this is a mystery That I no longer care about my own luck That I believe, I forgive you, I always come back And that I don't deserve these hours that you steal from me Because That's why they say I'm crazy Because your love is my flag Because it's always in my dreams And I follow you my whole life That's why they say I'm crazy And that your skin is my home And, next to me, I feel different That's why, They say I'm crazy Because I grant your whims Because the story of the two of us is enough for my delirium I prefer to be called crazy And that my madness continues to always be with you It's better to live this madness In your mouth, in your eyes Than me take me to the moon That's why they call me crazy Ah, crazy, crazy, crazy, crazy, crazy That's why they say I'm crazy And may my madness continue To always be with you",https://www.letras.mus.br/banda-kitara/1353955/
Olha Pro Céu,Luiz Gonzaga,"Olha pro céu, meu amor Vê como ele está lindo Olha pra aquele balão multicor Como no céu vai sumindo Olha pro céu, meu amor Vê como ele está lindo Olha pra aquele balão multicor Como no céu vai sumindo Foi numa noite igual a esta Que tu me deste o coração O céu estava assim, em festa Porque era noite de São João Havia balões no ar Xote e baião no salão E, no terreiro, o teu olhar Que incendiou meu coração Olha pro céu, meu amor Vê como ele está lindo Olha pra aquele balão multicor Como no céu vai sumindo Olha pro céu, meu amor Vê como ele está lindo Olha pra aquele balão multicor Como no céu vai sumindo Havia balões no ar Xote e baião no salão E, no terreiro, o teu olhar Que incendiou meu coração Olha pro céu, meu amor Vê como ele está lindo Olha pra aquele balão multicor Como no céu vai sumindo Olha pro céu, meu amor Vê como ele está lindo Olha pra aquele balão multicor Como no céu vai sumindo","Look at the sky, my love See how beautiful it is Look at that multicolored balloon How it disappears in the sky Look at the sky, my love See how beautiful it is Look at that multicolor balloon How it disappears in the sky It was on a night just like this That you You gave me your heart The sky was like this, in celebration Because it was Saint John's night There were balloons in the air to that multicolored balloon As in the sky it disappears Look at the sky, my love See how beautiful it is Look at that multicolored balloon As in the sky it disappears There were balloons in the air Xote and baião in the hall And, in the yard, your look That set fire to my heart Look at the sky, my love See how beautiful it is Look at that multicolored balloon How it's disappearing in the sky Look at the sky, my love See how beautiful it is Look at that multicolor balloon How it's disappearing in the sky",https://www.letras.mus.br/luiz-gonzaga/47093/
Saga de Um Vaqueiro,Mastruz Com Leite,"Vou pedir licença pra contar a minha história Como um vaqueiro tem suas perdas e suas glórias Mesmo sendo forte, o coração é um menino Que ama e chora por dentro, e segue seu destino Desde cedo assumi minha paixão De ser vaqueiro e ser um campeão Nas vaquejadas sempre fui batalhador Consegui respeito por ser um vencedor Da arquibancada uma morena me aplaudia Seus cabelos longos, olhos negros, sorria Perdi um boi naquele dia lá na pista Mas um grande amor surgia em minha vida Naquele dia começou o meu dilema Apaixonado por aquela morena Cada boi que eu derrubava, ela aplaudia E eu, todo prosa, sorria Então começamos um namoro apaixonado Ela vivia na garupa do meu cavalo Meus planos já estavam traçados em meu coração De tê-la como esposa ao pedir a sua mão Que tristeza abalou meu coração Quando seu pai negou-me sua mão Desprezou-me por eu ser um vaqueiro Pra sua filha, só queria um fazendeiro A gente se encontrava sempre às escondidas E vivia aquele amor proibido Cada novo encontro era sempre perigoso Mas o nosso amor era tão gostoso Decidimos então fugir pra outras vaquejadas Iríamos seguir Marcamos um lugar pra gente se encontrar Mas na hora marcada ela não estava lá Voltei em um galope, saí cortando o vento Como se procura uma novilha no relento E tudo em mim chorava por dentro E tudo em mim chorava por dentro Vieram me contar que mandaram ela pra longe Onde o vento se esconde, o som do berrante se desfaz Um fruto do nosso amor ela estava a esperar Fiquei desesperado com tamanha maldade Pensei fazer desgraça, mas me controlei E saí pelo mundo, um vaqueiro magoado Só por que um dia eu amei Passaram muitos anos, e eu pelo mundo De vaquejada em vaquejada, sempre a viajar Era um grande vaqueiro, mas meu coração continuava a penar Um dia eu fui convidado, pra uma vaquejada Naquela região Pensei em não voltar lá, mas um bom vaqueiro Nunca pode vacilar Nunca mais soube de nada do que lá acontecia Eu fugia da minha dor e da minha agonia Ser sempre campeão era a minha alegria Depois de dezessete anos, preparei-me pra voltar Como um campeão Queria aquele prêmio pra lavar meu coração Mas sabia que por lá existia um vaqueirão Começou a vaquejada em uma disputa acirrada Eu botava o boi no chão, ele também botava Eu entrei na festa, e ele lá estava Eu fiquei impressionado como ele era valente Tão jovem e tão forte e tão insistente Eu derrubava o boi e ele sempre à minha frente Chegava o grande momento de pegar o primeiro lugar Os bois eram mais fortes, ele não iria derrubar E sorri comigo mesmo: Dessa vez eu vou ganhar Quando me preparava pra entrar na pista Quando olhei de lado, quase escureci a vista Quando vi uma mulher, aquela que foi a minha vida Segurei no meu cavalo para não cair Tremi, fiquei nervoso quando eu a vi Enxugando e abraçando o vaqueiro bem ali Entrei na pista como um louco, o bate esteira a percebeu Andei foi longe do boi, ah, isso nunca aconteceu O vaqueiro entrou na pista e eu fiquei a observar Ela acenava, ela aplaudia, e ele o boi a derrubar Derrubou o boi na faixa, ganhou o primeiro lugar Fiquei desconsolado, envergonhado eu fiquei Perdi o grande prêmio, isso até eu nem liguei Mas perder aquele amor, ah, eu não me conformei Ela veio sorridente em minha direção E trouxe o vaqueiro pegado em sua mão Olhou nos meus olhos, falou com atenção Esse é o nosso filho, que você não conheceu Sempre quis ser um vaqueiro, como você, um campeão E pela primeira vez, quer a sua bênção Eu chorava, de feliz Abraçado, com meu filho Um vaqueiro, como eu Eu nunca tinha visto Posso confessar, o maior prêmio Deus me deu","I'm going to ask permission to tell my story How a cowboy has his losses and his glories Even though he's strong, his heart is a boy Who loves and cries inside, and follows his destiny From an early age I assumed my passion To be a cowboy and to be a champion vaquejadas I've always been a fighter I got respect for being a winner From the stands a brunette applauded me Her long hair, black eyes, smiled I lost an ox that day there on the track But a great love appeared in my life That day my dilemma began In love with that brunette Every ox I fell, she applauded And I, all prose, smiled So we began a passionate courtship She lived on the back of my horse My plans were already drawn up in my heart To have her as a wife when I asked for her hand What sadness shook my heart When your father denied me his hand He despised me for being a cowboy For his daughter, he only wanted a farmer We always met in secret And we lived that forbidden love Each new meeting was always dangerous But our love was so delicious So we decided to run away to other vaquejadas We were going to follow We marked a place for us to meet But at the appointed time she wasn't there I came back at a gallop, I left cutting through the wind As if looking for a heifer in the open And everything in me was crying inside And everything in me I was crying inside They came to tell me that they sent her away Where the wind hides, the sound of the horn disappears A fruit of our love she was waiting for I became desperate with such evil I thought I would do misfortune, but I controlled myself And I went out into the world, a hurt cowboy Just because one day I loved Many years passed, and I traveled the world From vaquejada to vaquejada, always traveling I was a great cowboy, but my heart continued to suffer One day I was invited to go on a vaquejada In that region I thought about not go back there, but a good cowboy can never waver I never knew anything about what happened there again I ran away from my pain and my agony Always being a champion was my joy After seventeen years, I prepared to go back Like a champion I wanted that one prize to wash my heart But I knew that there was a cowboy there. The cattle drive started in a fierce dispute I put the ox on the ground, he did it too I entered the party, and he was there I was impressed at how brave he was So young and so strong and so insistent I knocked the ox down and he was always ahead of me The great moment arrived to take first place The oxen were stronger, he wouldn't take it down And I smiled to myself: This time I'm going to win As I was getting ready to enter the track When I looked to the side, my vision almost darkened When I saw a woman, the one who was my life I held on to my horse so I wouldn't fall I trembled, I got nervous when I saw her Wiping and hugging the cowboy right there I entered the track like a madman, the He hit the mat and noticed her and I walked away from the ox, oh, that never happened The cowboy entered the track and I watched She waved, she applauded, and he knocked the ox down He knocked the ox on the track, won first place I was disconsolate, I was embarrassed I lost the grand prize, I didn't even care But losing that love, oh, I couldn't accept it She came smiling towards me And brought the cowboy held in her hand She looked into my eyes, spoke carefully This is our son, who you didn't know I always wanted to be a cowboy, like you, a champion And for the first time, he wants your blessing I cried, happy Hugged, with my son A cowboy, like me I had never seen I can confess, the greatest prize God gave me",https://www.letras.mus.br/mastruz-com-leite/1158507/
Mágica,Calcinha Preta,"Certos dias, o vento traz o teu cheiro E eu me levanto da cama assustada Lá pelas tantas da madrugada Com um gosto amargo na boca É, aquele amargo da saudade Que perturba, tira o sono E não passa, não passa Para Eu não vou suportar toda essa barra Meu coração um dia desses para Preciso te ter essa noite não me importa a hora Pra não enlouquecer Marca, aonde vou te ver Quem sabe no mesmo lugar Aonde a gente ia sempre se amar Repartindo o mesmo lençol Sentindo a luz do Sol tocando a alma Será que é difícil entender? Parece mágica Essa paixão me caça em todas as estações Não sei o que fazer Parece mágica Nascemos um pro outro A Lua e o mar O Sol e o amanhecer Nada conseguirá mudar As nossas vidas já foram traçadas Pra sempre eu serei a sua amada (Calcinha Preta, ah) Marca, aonde vou te ver Quem sabe no mesmo lugar Aonde a gente ia sempre se amar Repartindo o mesmo lençol Sentindo a luz do Sol tocando a alma Será que é difícil entender? Parece mágica Essa paixão me caça em todas as estações Não sei o que fazer Parece mágica Nascemos um pro outro A Lua e o mar O Sol e o amanhecer Nada conseguirá mudar As nossas vidas já foram traçadas Pra sempre eu serei a sua amada Parece mágica Essa paixão me caça em todas as estações Não sei o que fazer Parece mágica Nascemos um pro outro A Lua e o mar O Sol e o amanhecer Nada conseguirá mudar As nossas vidas já foram traçadas Pra sempre eu serei a sua amada","Some days, the wind brings your scent And I get out of bed scared Late in the morning With a bitter taste in my mouth Yes, that bitter taste of longing That disturbs, takes away my sleep And it doesn't go away, it doesn't go away For I won't bear it all this bar My heart one of these days to I need to have you tonight I don't care what time it is So I don't go crazy Mark, where will I see you Who knows in the same place Where we would always love each other Sharing the same sheet Feeling the sunlight touching the soul Is it difficult to understand? It seems like magic This passion hunts me in every season I don't know what to do It seems like magic We were born for each other The moon and the sea The sun and the dawn Nothing can change Our lives have already been mapped out Forever I will be your loved one (Black Panties , ah) Mark, where will I see you Maybe in the same place Where we would always love each other Sharing the same sheet Feeling the sunlight touching the soul Is it difficult to understand? It seems like magic This passion hunts me in every season I don't know what to do It seems like magic We were born for each other The moon and the sea The sun and the dawn Nothing can change Our lives have already been mapped out Forever I will be your loved one It seems like magic This passion hunts me in every season I don't know what to do It seems like magic We were born for each other The moon and the sea The sun and the dawn Nothing can change Our lives have already been mapped out Forever I will be your beloved",https://www.letras.mus.br/calcinha-preta/108634/
Girassol,Alceu Valença,"Mar e Sol Gira, gira, gira Gira, gira, gira, gira, gira, Sol Mar e Sol Gira, gira, gira Gira, gira, gira, gira, gira, Sol Um girassol nos teus cabelos Batom vermelho, girassol Morena, flor do desejo Ah, teu cheiro em meu lençol Um girassol nos teus cabelos Batom vermelho, girassol Ô, morena, flor do desejo Ah, teu cheiro em meu lençol Desço pra rua, sinto saudade Gata selvagem, sou caçador Morena, flor do desejo Ah, teu cheiro matador Um girassol nos teus cabelos Batom vermelho, girassol Morena, flor do desejo Ah, teu cheiro em meu lençol Desço pra rua, sinto saudade Gata selvagem, sou caçador Morena, flor do desejo Ah, teu cheiro em meu lençol Desço pra rua, sinto saudade Gata selvagem, sou caçador Morena, flor do desejo Ah, teu cheiro matador Mar e Sol Mar e Sol Gira, gira, gira Gira, gira, gira, gira, gira, Sol Mar e Sol Gira, gira, gira Gira, gira, gira, gira, gira, Sol Mar e Sol Gira, gira, gira Gira, gira, gira, gira, gira","Sea and Sun Spin, spin, spin Spin, spin, spin, spin, spin, Sun Sea and Sun Spin, spin, spin Spin, spin, spin, spin, spin, Sun A sunflower in your hair Red lipstick, sunflower Brunette, flower of desire Ah, your scent on my sheet A sunflower in your hair Red lipstick, sunflower Oh, brunette, flower of desire Ah, your scent on my sheet I go down to the street, I miss you Wild cat, I'm a hunter Brunette, flower of desire Ah, your killer smell A sunflower in your hair Red lipstick, sunflower Brunette, flower of desire Ah, your smell on my sheet I go down to the street, I miss you Wild cat, I'm a hunter Brunette, flower of desire Ah, your smell on my sheet I go down to the street , I miss you Wild cat, I'm a hunter Brunette, flower of desire Ah, your killer scent Sea and Sun Sea and Sun Spin, spin, spin Spin, spin, spin, spin, spin, Sun Sea and Sun Spin, spin, spin Spin, spin, spin, spin, spin, Sun Sea and Sun Spin, spin, spin Spin, spin, spin, spin, spin",https://www.letras.mus.br/alceu-valenca/44011/
Tengo Lengo Tengo ( a Morte do Vaqueiro),Sela Vaqueira,"Ei, gado, oi Numa tarde bem tristonha Gado muge sem parar Lamentando seu vaqueiro Que não vem mais aboiar Não vem mais aboiar Tão valente a cantar Tengo, lengo, tengo, lengo, Tengo, lengo, tengo Ei, gado, oi Bom vaqueiro nordestino Morre sem deixar tostão O seu nome é esquecido Nas quebradas do sertão Nunca mais ouvirão Seu cantar, meu irmão Tengo, lengo, tengo, lengo, Tengo, lengo, tengo Ei, gado, oi Sacudido numa cova Desprezado do senhor Só lembrado do cachorro Que inda chora Sua dor É demais tanta dor A chorar com amor Tengo, lengo, tengo, lengo, Tengo, lengo, tengo Tengo, lengo, tengo, lengo, Tengo, lengo, tengo Ei, gado, oi E... ei...","Hey, cattle, hi On a very sad afternoon Cattle moo without stopping Lamenting your cowboy Who doesn't come to cattle anymore He doesn't come to cattle anymore So brave to sing Tengo, lengo, tengo, lengo, Tengo, lengo, tengo Hey, cattle, hi Good northeastern cowboy He dies without leaving a penny His name is forgotten In the ravines of the backlands They will never hear his singing again, my brother Tengo, lengo, tengo, lengo, Tengo, lengo, tengo Hey, cattle, hi Shaken in a pit Disdained by the lord Only remembered by the dog Who still crying Your pain It's too much pain Crying with love Tengo, lengo, tengo, lengo, Tengo, lengo, tengo Tengo, lengo, tengo, lengo, Tengo, lengo, tengo Hey, cattle, hi And... hey.. .",https://www.letras.mus.br/sela-vaqueira/1826574/
