title,author,lyric,lyric_en,href
Escape,Renascer Praise,"O inimigo tenta laços e embaraços  Pra me envergonhar, mas não vai Porque eu não estou sozinho nessa guerra Está comigo o braço forte do Senhor Aquele que acalma o vento Aquele que aquieta o mar Que tira a força do fogo E faz o leão jejuar O Deus que derruba as muralhas Da estéril faz mãe de filhos É o mesmo que brada do alto Não temas, sou contigo Deus já tem um caminho aberto pelas águas Faz romper muitas fontes em meio ao deserto Haverá nuvens que trazem chuvas de bênçãos Ouça a voz, Deus te dá escape e livramento O inimigo tenta laços e embaraços  Pra me envergonhar, mas não vai Porque eu não estou sozinho nessa guerra Está comigo o braço forte do Senhor Aquele que acalma o vento Aquele que aquieta o mar Que tira a força do fogo E faz o leão jejuar O Deus que derruba as muralhas Da estéril faz mãe de filhos É o mesmo que brada do alto Não temas, sou contigo Deus já tem um caminho aberto pelas águas Faz romper muitas fontes em meio ao deserto Haverá nuvens que trazem chuvas de bênçãos Ouça a voz, Deus te dá escape e livramento Deus já tem um caminho aberto pelas águas Faz romper muitas fontes em meio ao deserto Haverá nuvens que trazem chuvas de bênçãos Ouça a voz, Deus te dá escape e livramento Aquele que acalma o vento Aquele que aquieta o mar Que tira a força do fogo E faz o leão jejuar O Deus que derruba as muralhas Da estéril faz mãe de filhos É o mesmo que brada do alto Não temas, sou contigo Deus já tem um caminho aberto pelas águas Faz romper muitas fontes em meio ao deserto Haverá nuvens que trazem chuvas de bênçãos Ouça a voz, Deus te dá escape e livramento Leão da Tribo de Judá Rei dos Reis reina para sempre Leão da Tribo de Judá Rei dos Reis reina para sempre Leão da Tribo de Judá Rei dos Reis reina para sempre Leão da Tribo de Judá Rei dos Reis reina para sempre Reina para sempre Reina para sempre Deus já tem um caminho aberto pelas águas Faz romper muitas fontes em meio ao deserto Haverá nuvens que trazem chuvas de bênçãos Ouça a voz, Deus te dá escape e livramento","The enemy tries ties and entanglements To shame me, but he won't Because I'm not alone in this war The strong arm of the Lord is with me He who calms the wind He who calms the sea Who draws strength from the fire And makes the lion fast The God who breaks down the walls From the barren, he makes a mother of children It's the same thing that cries from on high Don't be afraid, I'm with you God already has a path open through the waters He makes many fountains break out in the middle of the desert There will be clouds that bring rains of blessings Listen to the voice, God gives you escape and deliverance The enemy tries to bind and entangle me To shame me, but he won't Because I'm not alone in this war The strong arm of the Lord is with me He who calms the wind He who calms the sea Who draws strength from the fire And makes the lion fasts The God who breaks down the walls makes a mother of children out of the barren One who shouts from on high Do not be afraid, I am with you God already has a path open through the waters He makes many springs break out in the middle of the desert There will be clouds that bring rains of blessings Listen to the voice, God gives you escape and deliverance God already has a path opened by the waters He makes many springs break out in the middle of the desert There will be clouds that bring rains of blessings Listen to the voice, God gives you escape and deliverance He who calms the wind He who calms the sea That draws strength from the fire And makes the lion fast The God who breaks down the walls From the barren makes a mother of children It's the same one who shouts from on high Don't be afraid, I'm with you God already has a path open through the waters Makes many springs break in the middle of the desert There will be clouds that bring rains of blessings Hear the voice, God gives you escape and deliverance Lion of the Tribe of Judah King of Kings reigns forever Lion of the Tribe of Judah King of Kings reigns forever Lion of the Tribe of Judah King of Kings reigns forever Lion of the Tribe of Judah King of Kings reigns forever Reigns forever Reigns forever God already has a path open through the waters He makes many fountains burst in the middle of the desert There will be clouds that bring rains of blessings Listen to the voice, God you gives escape and deliverance",https://www.letras.mus.br/renascer-praise/escape/
Grandioso És Tu,Harpa Cristã,"Senhor, meu Deus, quando eu, maravilhado Contemplo a Tua imensa criação A terra e o mar e o céu todo estrelado Me vêm falar da Tua perfeição Então minh'alma canta a Ti, Senhor Grandioso és Tu! Grandioso és Tu! Então minh'alma canta a Ti, Senhor Grandioso és Tu! Grandioso és Tu! Quando as estrelas, tão de mim distantes Vejo a brilhar com vívido esplendor Relembro, oh! Deus, as glórias cintilantes Que meu Jesus deixou, por meu amor! Então minh'alma canta a Ti, Senhor Grandioso és Tu! Grandioso és Tu! Então minh'alma canta a Ti, Senhor Grandioso és Tu! Grandioso és Tu! Olho as florestas murmurando ao vento E, ao ver que Tu plantaste cada pé Recordo a cruz, o lenho tão cruento E no Teu Filho afirmo a minha fé Então minh'alma canta a Ti, Senhor Grandioso és Tu! Grandioso és Tu! Então minh'alma canta a Ti, Senhor Grandioso és Tu! Grandioso és Tu! E quando penso que Tu não poupaste Teu Filho amado por amor de mim Meu coração, que nele Tu ganhaste Transborda, oh! Pai, de amor que não tem fim! Então minh'alma canta a Ti, Senhor Grandioso és Tu! Grandioso és Tu! Então minh'alma canta a Ti, Senhor Grandioso és Tu! Grandioso és Tu! E quando Cristo, o amado meu voltando Vier dos céus o povo seu buscar No lar eterno, quero jubilando A Tua Santa Face contemplar Então minh'alma canta a Ti, Senhor Grandioso és Tu! Grandioso és Tu! Então minh'alma canta a Ti, Senhor Grandioso és Tu! Grandioso és Tu!","Lord, my God, when I, in wonder, I contemplate Your immense creation The earth and the sea and the starry sky come to tell me about Your perfection Then my soul sings to You, Great Lord, You are! Great are You! So my soul sings to You, Great Lord, You are! Great are You! When the stars, so far from me I see them shining with vivid splendor I remember, oh! God, the sparkling glories That my Jesus left, for my love! So my soul sings to You, Great Lord, You are! Great are You! So my soul sings to You, Great Lord, You are! Great are You! I look at the forests murmuring in the wind And, when I see that You planted each foot I remember the cross, the wood so bloody And in Your Son I affirm my faith So my soul sings to You, Great Lord, You are! Great are You! So my soul sings to You, Great Lord, You are! Great are You! And when I think that You did not spare Your beloved Son for my sake My heart, which You won in Him, Overflows, oh! Father, of love that has no end! So my soul sings to You, Great Lord, You are! Great are You! So my soul sings to You, Great Lord, You are! Great are You! And when Christ, my beloved returning, Comes from the heavens for his people to seek In the eternal home, I want to rejoice in contemplating Your Holy Face Then my soul sings to You, Lord, Great are You! Great are You! So my soul sings to You, Great Lord, You are! Great are You!",https://www.letras.mus.br/harpa-crista/450171/
Eu Sou Teu Pai,Valesca Mayssa,"Muitos me conhecem pelo nome Outros me conhecem só de ouvir falar Alguns são de perto, e outros, de longe Com licença, Eu vou me apresentar Sabe quem Eu sou? Eu sou aquele que te ouviu chorar Eu sou o único que escolheu ficar Amigo, confidente, o Pai que sempre sabe te aconselhar Mais conhecido como Yeshua O pão da vida, Jeová Rafah Eu sou a luz no fim do túnel A força quando a sua acabar E se precisar, é só chamar Não preciso de formalidade Eu quero intimidade Eu sou teu Pai, é só chamar Não é sobre religiosidade Eu quero intimidade Sabe quem Eu sou? Eu sou aquele que te ouviu chorar Eu sou o único que escolheu ficar Amigo, confidente, o Pai que sempre sabe te aconselhar Mais conhecido como Yeshua O pão da vida, Jeová Rafah Eu sou a luz no fim do túnel A força quando a sua acabar E se precisar, é só chamar Não preciso de formalidade Eu quero intimidade Eu sou teu Pai, é só chamar Não é sobre religiosidade Eu quero intimidade Estar contigo a cada dia Na angústia ou na alegria E na felicidade ou na dificuldade Não quero algo de momento Eu quero um relacionamento Com profundidade, na intimidade E se precisar, é só chamar Não preciso de formalidade Eu quero intimidade Eu sou teu Pai, é só chamar Não é sobre religiosidade Eu quero intimidade E se precisar, é só chamar Não preciso de formalidade Eu quero intimidade Eu sou teu Pai, é só chamar Não é sobre religiosidade Eu quero intimidade Eu sou teu Pai, é só chamar Eu sou teu Pai, é só chamar Eu sou teu Pai, é só chamar Eu sou teu Pai, é só chamar Eu sou teu Pai, é só chamar Eu sou teu Pai, é só chamar E não preciso de formalidade Eu quero intimidade Eu sou teu Pai, é só chamar Não é sobre religiosidade Eu quero intimidade","Many know me by name Others know me just by hearing me talk Some are from up close, and others from afar Excuse me, I'm going to introduce myself Do you know who I am? I am the one who heard you cry I am the only one who chose to stay Friend, confidant, the Father who always knows how to advise you Better known as Yeshua The bread of life, Jehovah Rafah I am the light at the end of the tunnel The strength when yours ends And if you need it, just call I don't need formality I want intimacy I am your Father, just call It's not about religiosity I want intimacy Do you know who I am? I am the one who heard you cry I am the only one who chose to stay Friend, confidant, the Father who always knows how to advise you Better known as Yeshua The bread of life, Jehovah Rafah I am the light at the end of the tunnel The strength when yours ends And if you need it, just call I don't need formality I want intimacy I am your Father, just call It's not about religiosity I want intimacy Being with you every day In anguish or in joy And in happiness or in difficulty I don't want something at the moment I want a relationship In depth, in intimacy And if you need it, just call I don't need formality I want intimacy I am your Father, just call It's not about religiosity I want intimacy And if you need it, just call I don't need formality I I want intimacy I am your Father, just call It's not about religiosity I want intimacy I am your Father, just call I am your Father, just call I am your Father, just call I am your Father, just call Me I am your Father, just call I am your Father, just call And I don't need formality I want intimacy I am your Father, just call It's not about religiosity I want intimacy",https://www.letras.mus.br/valesca-mayssa/eu-sou-teu-pai/
Hino da Vitória,Cassiane,"Quem é o homem que teve o poder de andar sobre o mar? Quem é Ele que pode fazer o mar se calar? No momento em que a tempestade vier te afogar Ele vem com toda autoridade e manda acalmar Quem é o homem que teve o poder de fazer Israel Caminhar por entre as águas do Mar Vermelho? Fez caminho no meio do mar Para o povo de Israel passar Do outro lado, com os pés enxutos Puderam cantar o hino da vitória Quando estiver frente ao mar E não puder atravessar Chame este homem com fé Só Ele abre o mar Não tenha medo, irmão Se atrás vem faraó Deus vai te atravessar E você vai entoar o hino da vitória Toda vez que o Mar Vermelho tiver que passar Chame logo este homem para te ajudar É nas horas mais difíceis que Ele mais te vê Pode chamar este homem que Ele tem poder Se passares pelo fogo, não vai te queimar Se nas águas tu passares, não vão te afogar Faça como Israel que o mar atravessou E, no nome do Senhor, um hino de vitória Do outro lado cantou Quando estiver frente ao mar E não puder atravessar Chame este homem com fé Só Ele abre o mar Não tenha medo, irmão Se atrás vem faraó Deus vai te atravessar E você vai entoar o hino da vitória Toda vez que o Mar Vermelho tiver que passar Chame logo este homem para te ajudar É nas horas mais difíceis que Ele mais te vê Pode chamar este homem que Ele tem poder Se passares pelo fogo, não vai te queimar Se nas águas tu passares, não vão te afogar Faça como Israel que o mar atravessou E, no nome do Senhor, um hino de vitória Do outro lado cantou (Do outro lado cantou) Do outro lado cantou Do outro lado cantou","Who is the man who had the power to walk on the sea? Who is He who can make the sea silent? At the moment when the storm comes to drown you He comes with all authority and tells you to calm down Who is the man who had the power to make Israel Walk through the waters of the Red Sea? He made a path in the middle of the sea For the people of Israel to pass On the other side, with dry feet They were able to sing the hymn of victory When you are in front of the sea And you cannot cross Call this man with faith Only He opens the sea Don't be afraid, brother If Pharaoh comes behind, God will cross you And you will sing the anthem of victory Every time the Red Sea has to pass Call this man to help you It is in the most difficult times that He sees you most You can call this man He has power If you go through the fire, it won't burn you If you go through the water, they won't drown you Do like Israel that the sea crossed And, in the name of the Lord, a hymn of victory On the other side sang When you are facing the sea And you can't cross Call this man with faith Only He opens the sea Don't be afraid, brother If Pharaoh comes behind God will cross you And you will sing the hymn of victory Every time the Red Sea has to pass Call this man to help you It's time more difficult than He sees you the most You can call this man He has power If you pass through the fire, it will not burn you If you pass through the waters, they will not drown you Do like Israel that the sea crossed And, in the name of the Lord, a hymn of victory The other side sang (The other side sang) The other side sang The other side sang",https://www.letras.mus.br/cassiane/1253517/
Pelo Sangue,Harpa Cristã,"Pelo mundo brilha a luz Desde que morreu Jesus Pendurado lá na cruz do Calvário Os pecados carregou E de culpa nos livrou Pelo sangue que emanou no Calvário Pelo sangue, pelo sangue Somos redimidos, sim Pelo sangue carmesim Pelo sangue, pelo sangue Pelo sangue de Jesus no Calvário Antes, tinha mui temor Mas agora tenho amor Pois compreendo o valor do Calvário Eu vivi na perdição Mas achei a salvação Pela grande redenção: O Calvário Pelo sangue, pelo sangue Somos redimidos, sim Pelo sangue carmesim Pelo sangue, pelo sangue Pelo sangue de Jesus, no Calvário És um grande pecador? Eis aqui Teu Salvador Tema do bom pregador: O Calvário O Cordeiro divinal Padeceu na cruz seu mal E oferece graça tal, no Calvário Pelo sangue, pelo sangue Somos redimidos, sim Pelo sangue carmesim Pelo sangue, pelo sangue Pelo sangue de Jesus, no Calvário","The light shines throughout the world Since Jesus died Hanging there on the cross of Calvary The sins he carried And from guilt he freed us By the blood that emanated on Calvary By the blood, by the blood We are redeemed, yes By the crimson blood By the blood, by the blood By the blood of Jesus at Calvary Before, I had great fear But now I have love For I understand the value of Calvary I lived in perdition But I found salvation By the great redemption: Calvary By the blood, by the blood We are redeemed, yes By the crimson blood By the blood, by the blood By the blood of Jesus, on Calvary Are you a great sinner? Here is Your Savior Theme of the good preacher: Calvary The divine Lamb He suffered his evil on the cross And offers such grace, on Calvary By the blood, by the blood We are redeemed, yes By the crimson blood By the blood, by the blood By the blood of Jesus, on Calvary",https://www.letras.mus.br/harpa-crista/451208/
Conversão,Harpa Cristã,"Oh! Quão cego andei e perdido vaguei Longe, longe do meu Salvador! Mas do céu Ele desceu, e Seu sangue verteu Pra salvar um tão pobre pecador Foi na cruz, foi na cruz Onde um dia eu vi meu pecado castigado em Jesus Foi ali, pela fé, que os olhos abri E agora me alegro em sua Luz Eu ouvia falar dessa graça sem par Que do céu trouxe nosso Jesus Mas eu surdo me fiz, converter-me não quis Ao Senhor, que por mim, morreu na cruz Foi na cruz, foi na cruz Onde um dia eu vi meu pecado castigado em Jesus Foi ali, pela fé, que os olhos abri E agora me alegro em sua Luz Mas um dia senti meu pecado, e vi Sobre mim a espada da lei Apressado fugi, em Jesus me escondi E abrigo seguro n'Ele achei Quão ditoso, então, este meu coração Conhecendo o excelso amor Que levou meu Jesus a sofrer lá na cruz Pra salvar um tão pobre pecador Foi na cruz, foi na cruz Onde um dia eu vi meu pecado castigado em Jesus Foi ali, pela fé, que os olhos abri E agora me alegro em sua Luz","Oh! How blind I walked and lost I wandered Far, far from my Savior! But from heaven He came down, and His blood shed To save such a poor sinner It was on the cross, it was on the cross Where one day I saw my sin punished in Jesus It was there, by faith, that I opened my eyes And now I rejoice in his Light I heard about this unique grace That brought our Jesus from heaven But I became deaf, I didn't want to convert To the Lord, who for me, died on the cross It was on the cross, it was on the cross Where one day I saw my sin punished in Jesus It was there, by faith, that I opened my eyes And now I rejoice in his Light But one day I felt my sin, and I saw Above me the sword of the law I hurriedly fled, in Jesus I hid And safe shelter in Him I found How blissful, so, this heart of mine Knowing the exalted love That led my Jesus to suffer on the cross To save such a poor sinner It was on the cross, it was on the cross Where one day I saw my sin punished in Jesus It was there, by faith, that the eyes opened And now I rejoice in your Light",https://www.letras.mus.br/harpa-crista/357600/
Alvo Mais Que a Neve,Harpa Cristã,"Bendito seja o Cordeiro Que na cruz por nós padeceu Bendito seja o Seu sangue Que por nós ali Ele verteu Eis nesse sangue, lavados Com roupas que tão alvas são Os pecadores remidos Que perante seu Deus já estão Alvo mais que a neve Alvo mais que a neve Sim, neste sangue lavado Mais alvo que a neve serei Quão espinhosa a coroa Que Jesus por nós suportou Ó, quão profundas as chagas Que nos provam o quanto Ele amou Eis, nessas chagas, pureza Para o maior pecador Pois que mais alvo que a neve O Teu sangue nos torna, Senhor Alvo mais que a neve Alvo mais que a neve Sim, nesse sangue lavado Mais alvo que a neve serei Se nós a Ti confessarmos E seguirmos na Tua luz Tu não somente perdoas Purificas também, ó Jesus Sim, e de todo pecado Que maravilha de amor Pois, que mais alvo que a neve O Teu sangue nos torna, Senhor Alvo mais que a neve Alvo mais que a neve Sim, nesse sangue lavado Mais alvo que a neve serei Sim, nesse sangue lavado Mais alvo que a neve serei","Blessed be the Lamb Who suffered on the cross for us Blessed be His blood That He shed there for us Behold in that blood, washed With clothes that are so white The redeemed sinners Who before their God are already Whiter than the snow Whiter than the snow snow Yes, in this washed blood Whiter than snow I will be How thorny the crown That Jesus bore for us Oh, how deep the wounds That prove to us how much He loved Behold, in these wounds, purity For the greatest sinner For what whiter than the snow Your blood makes us, Lord Whiter than snow Whiter than snow Yes, in this washed blood Whiter than snow I will be If we confess to You And follow in Your light You not only forgive You also purify, O Jesus Yes, and of all sin What a wonder of love For, what whiter than snow Your blood makes us, Lord Whiter than snow Whiter than snow Yes, in that washed blood Whiter than snow I will be Yes, in that washed blood More target that the snow will be",https://www.letras.mus.br/harpa-crista/345619/
A Alma Abatida,Harpa Cristã,"Se tu, minh'alma, a Deus suplicas E não recebes, confiando fica Em Suas promessas, que são mui ricas E infalíveis pra te valer Por que te abates, ó minha alma? E te comoves, perdendo a calma? Não tenhas medo, em Deus espera Porque bem cedo Jesus virá Ele intercede por ti, minh'alma Espera Nele com fé e calma Jesus de todos teus males salva E te abençoa dos altos céus Por que te abates, ó minha alma? E te comoves, perdendo a calma? Não tenhas medo, em Deus espera Porque bem cedo Jesus virá Terás, em breve, as dores findas No dia alegre da Sua vinda Se Cristo tarda, espera ainda Mais um pouquinho e o verás Por que te abates, ó minha alma? E te comoves, perdendo a calma? Não tenhas medo, em Deus espera Porque bem cedo Jesus virá","If you, my soul, beseech God And you do not receive, trusting in His promises, which are very rich And infallible to benefit you Why do you fall down, oh my soul? And are you moved, losing your calm? Do not be afraid, in God wait Because very soon Jesus will come He intercedes for you, my soul Wait in Him with faith and calm Jesus saves you from all your evils And blesses you from the high heavens Why do you fall, my soul? And are you moved, losing your calm? Do not be afraid, in God wait Because very soon Jesus will come You will soon have your pains over On the joyful day of His coming If Christ delays, wait a little longer and you will see Him Why do you give up, oh my soul? And are you moved, losing your calm? Don't be afraid, wait in God Because soon Jesus will come",https://www.letras.mus.br/harpa-crista/1994270/
Ovelhinha,Isadora Pompeo,"Tava meditando por um tempo E cheguei em uma conclusão Tudo nessa vida é passageiro Mas Tua palavra não E eu já falhei tantas vezes Eu já achei que era o fim E eu, que já me vi perdido Só fui me encontrar em Ti Eu entendi que eu Te devo tudo Mesmo assim, Tu não me cobra nada Tu sabe o que me espera no futuro E deixa minha alma aliviada Eu entendi que não se colhe fruto De árvore que não é machucada E que pra eu crescer leva um tempo E o prazer está na caminhada E eu aprendi tudo com o Senhor Mesmo que, às vezes, pela dor E nenhuma vez me questionou Mas não me deixou morrer E disse: Meu filho, não vai dar pra desistir Olhe o caminho, você chegou até aqui Aguenta um pouquinho que já está chegando o tempo E segue nessa força, determine um final pra esse medo Eu entendi que eu Te devo tudo Mesmo assim, Tu não me cobra nada Tu sabe o que me espera no futuro E deixa minha alma aliviada Eu entendi que não se colhe fruto De árvore que não é machucada E que pra eu crescer leva um tempo E o prazer está na caminhada E eu aprendi tudo com o Senhor Mesmo que, às vezes, pela dor E nenhuma vez me questionou Mas não me deixou morrer E disse: Meu filho, não vai dar pra desistir Olhe o caminho, você chegou até aqui Aguenta um pouquinho que já está chegando o tempo E segue nessa força e determine um final pra esse medo E Eu tô aqui e não te deixaria perecer Eu dou sustento e força a você Eu sou o que precisa a vencer Você vai entender que eu não te deixaria Nem por uma, nem por outra ovelhinha Te fiz do tamanho e do jeito que Eu queria Não desista agora, Eu tô com você, eu tô com você Eu não te deixaria Nem por uma, nem por outra ovelhinha Te fiz do tamanho e do jeito que Eu queria Não desista agora, Eu tô com você, iê Tava meditando por um tempo E cheguei em uma conclusão Tudo nessa vida é passageiro Mas Tua palavra não","I was meditating for a while And I came to a conclusion Everything in this life is temporary But Your word is not And I have failed so many times I already thought it was the end And I, who already saw myself lost I just went to find myself in You I understood that I I owe you everything Even so, You don't demand anything from me You know what awaits me in the future And it leaves my soul relieved I understood that you don't harvest fruit From a tree that isn't hurt And that for me to grow it takes time And the pleasure is in walk And I learned everything from the Lord Even if, sometimes, through pain And he never once questioned me But he didn't let me die And he said: My son, you won't be able to give up Look at the path, you've come this far Hold on for a little while now The time is coming And continue with this strength, determine an end to this fear I understood that I owe You everything Even so, You don't demand anything from me You know what awaits me in the future And leave my soul relieved I understood that you don't reap fruit Of a tree that is not hurt And that takes time for me to grow And the pleasure is in the journey And I learned everything from the Lord Even if, sometimes, through pain And he never once questioned me But he didn't let me die And he said: My son , you won't be able to give up Look at the path, you've come this far Hold on a little bit as the time is coming And continue with this strength and determine an end to this fear And I'm here and I wouldn't let you perish I give you sustenance and strength I'm the one who needs to win You'll understand that I wouldn't leave you Not for one or another little sheep I made you the size and the way I wanted Don't give up now, I'm with you, I'm with you I wouldn't leave you Not for one, not for another little sheep I made you the size and the way I wanted Don't give up now, I'm with you, hey I was meditating for a while And I came to a conclusion Everything in this life is temporary But Your word doesn't",https://www.letras.mus.br/isadora-pompeo/ovelhinha/
O Escudo,Voz da Verdade,"Por toda a minha vida Ó Senhor, Te louvarei Pois meu fôlego é a Tua vida E nunca me cansarei Posso ouvir a Tua voz É mais doce do que o mel Que me tira desta cova E me leva até o céu Já vi fogo e terremotos Vento forte que passou Já vivi tantos perigos Mas Tua voz me acalmou Tu dás ordem às estrelas E ao mar, os seus limites Eu me sinto tão seguro No teu colo, ó Altíssimo Não há ferrolhos, nem portas Que se fechem diante da Tua voz Não há doenças, nem culpa Que fiquem de pé diante de nós E a tempestade se acalma Na voz Daquele que tudo criou Pois Tua palavra é pura Escudo para os que n'Ele creem Não há ferrolhos, nem portas Que se fechem diante da Tua voz Não há doenças, nem culpa Que fiquem de pé diante de nós E a tempestade se acalma Na voz Daquele que tudo criou Pois Sua palavra é pura Escudo para os que n'Ele creem","All my life, O Lord, I will praise You For my breath is Your life And I will never get tired I can hear Your voice It's sweeter than honey That takes me out of this pit And takes me to heaven I've seen fire and earthquakes Wind strong that passed I have experienced so many dangers But Your voice calmed me You give order to the stars And to the sea, its limits I feel so safe In your lap, O Most High There are no bolts, no doors That close before Your voice There are none illnesses, nor guilt Let them stand before us And the storm calms down In the voice of Him who created everything For Your word is pure Shield for those who believe in Him There are no bars, no doors That close before Your voice There are no illnesses, nor guilt Let them stand before us And the storm calms down In the voice of Him who created everything For His word is pure Shield for those who believe in Him",https://www.letras.mus.br/voz-da-verdade/192851/
