title,author,lyric,lyric_en,href
Velha Infância,Tribalistas,"Você é assim Um sonho pra mim E quando eu não te vejo Eu penso em você Desde o amanhecer Até quando eu me deito Eu gosto de você E gosto de ficar com você Meu riso é tão feliz contigo O meu melhor amigo é o meu amor E a gente canta E a gente dança E a gente não se cansa De ser criança A gente brinca Na nossa velha infância Seus olhos, meu clarão Me guiam dentro da escuridão Seus pés me abrem o caminho Eu sigo e nunca me sinto só Você é assim Um sonho pra mim Quero te encher de beijos Eu penso em você Desde o amanhecer Até quando eu me deito Eu gosto de você E gosto de ficar com você Meu riso é tão feliz contigo O meu melhor amigo é o meu amor E a gente canta A gente dança A gente não se cansa De ser criança A gente brinca Na nossa velha infância Seus olhos, meu clarão Me guiam dentro da escuridão Seus pés me abrem o caminho Eu sigo e nunca me sinto só Você é assim Um sonho pra mim Você é assim Você é assim Um sonho pra mim Você é assim Você é assim Um sonho pra mim Você é assim Você é assim Um sonho pra mim E quando eu não te vejo Eu penso em você Desde o amanhecer Até quando eu me deito Eu gosto de você E gosto de ficar com você Meu riso é tão feliz contigo O meu melhor amigo é o meu amor","You are like this A dream for me And when I don't see you I think about you From the dawn Until when I go to bed I like you And I like being with you My laughter is so happy with you My best friend is my love And We sing And we dance And we don't get tired Of being children We play In our old childhood Your eyes, my light Guide me in the darkness Your feet open the way for me I follow and I never feel alone You are like this One dream for me I want to fill you with kisses I think about you From the dawn Until when I go to bed I like you And I like being with you My laughter is so happy with you My best friend is my love And we sing We dance We don't get tired Of being children We play In our old childhood Your eyes, my light They guide me in the darkness Your feet open the way for me I follow and I never feel alone You are like this A dream for me You are like this You It's like this A dream for me You're like this You're like this A dream for me You're like this You're like this A dream for me And when I don't see you I think about you From the dawn Even when I go to bed I like you And I like to be with you My laughter is so happy with you My best friend is my love",https://www.letras.mus.br/tribalistas/64148/
Salmo 91,João Luiz,"Aquele que habita no esconderijo do Altíssimo À sombra do Onipotente descansará Direi do Senhor: Ele é o meu Deus O meu refúgio, a minha fortaleza E nele confiarei Porque Ele te livrará do laço do passarinheiro E da peste perniciosa Ele te cobrirá com as suas penas E debaixo das suas asas estará seguro A sua verdade é escudo e broquel Não temerás espanto noturno Nem seta que voe de dia Nem peste que ande na escuridão Nem mortandade que assole ao meio-dia Mil cairão ao teu lado Dez mil à tua direita Mas tu não serás atingido Somente com teus olhos olharás E verás a recompensa dos ímpios Porque tu, ó Senhor, és o meu refúgio O Altíssimo é a tua habitação Nenhum mal te sucederá Nem praga alguma chegará à tua tenda Porque aos seus anjos dará ordem a teu respeito Para te guardarem em todos os teus caminhos Eles te sustentarão nas suas mãos Para que não tropeces com o teu pé em pedra Pisarás o leão e a áspide Calçarás aos pés o filho do leão e a serpente Por que tão encarecidamente Me amou Também Eu o livrarei, pô-lo-ei no alto retiro Porque conheceu o Meu nome Ele Me invocará e Eu lhe responderei Estarei com ele na angústia Livrá-lo-ei e o glorificarei Dar-lhe-ei abundância de dias E lhe mostrarei a Minha salvação","He who dwells in the secret place of the Most High will rest in the shadow of the Almighty I will say of the Lord: He is my God My refuge, my fortress And I will trust in Him Because He will deliver you from the fowler's snare And from the pernicious pestilence He will cover you with His feathers And under his wings you will be safe His truth is a shield and buckler You will not fear terror by night Nor an arrow that flies by day Nor a pestilence that stalks in the darkness Nor destruction that ravages at midday A thousand will fall at your side Ten thousand at your right But you you will not be struck Only with your eyes will you look And you will see the reward of the wicked Because you, O Lord, are my refuge The Most High is your dwelling No evil will befall you Nor will any plague come to your tent Because he will give command over you to his angels To keep you in all your ways They will bear you up in their hands So that you will not strike your foot against a stone You will trample the lion and the asp You will trample the son of the lion and the serpent under your feet Because you loved me so dearly I will also deliver you , I will set him on high because he has known My name He will call on Me and I will answer him I will be with him in trouble I will deliver him and glorify him I will give him abundance of days And I will show him My salvation",https://www.letras.mus.br/joao-luiz/salmo-91/
Depois,Marisa Monte,"Depois de sonhar tantos anos De fazer tantos planos De um futuro pra nós Depois de tantos desenganos Nós nos abandonamos como tantos casais Quero que você seja feliz Hei de ser feliz também Depois de varar madrugada Esperando por nada De arrastar-me no chão Em vão Tu viraste-me as costas Não me deu as respostas Que eu preciso escutar Quero que você seja melhor Hei de ser melhor também Nós dois já tivemos momentos Mas passou nosso tempo Não podemos negar, foi bom Nós fizemos histórias Pra ficar na memória E nos acompanhar Quero que você viva sem mim Eu vou conseguir também Depois de aceitarmos os fatos Vou trocar seus retratos  Pelos de um outro alguém Meu bem, vamos ter liberdade Para amar à vontade Sem trair mais ninguém Quero que você seja feliz Hei de ser feliz também Depois","After dreaming for so many years Making so many plans For a future for us After so many disappointments We abandoned each other like so many couples I want you to be happy I'll be happy too After late nights Waiting for nothing To drag me on the floor In vain You you turned your back on me You didn't give me the answers I need to hear I want you to be better I'll be better too We've both had moments But our time has passed We can't deny it, it was good We made stories To stay in our memory And accompany us I want for you to live without me I'll be able to do it too After we accept the facts I'll exchange your portraits for someone else's Baby, let's have freedom To love freely Without betraying anyone else I want you to be happy I'll be happy too Afterwards",https://www.letras.mus.br/marisa-monte/1980934/
Não Vá Embora,Marisa Monte,"E no meio de tanta gente, eu encontrei você Entre tanta gente chata, sem nenhuma graça, você veio E eu que pensava que não ia me apaixonar Nunca mais na vida Eu podia ficar feio, só, perdido Mas com você eu fico muito mais bonito, mais esperto E podia estar tudo agora dando errado pra mim Mas com você dá certo Por isso, não vá embora Por isso, não me deixe nunca, nunca mais Por isso, não vá, não vá embora Por isso, não me deixe nunca, nunca mais Eu podia estar perdido, caído por aí Mas com você eu fico muito mais feliz, mais desperto Eu podia estar agora sem você Mas eu não quero, não quero Por isso, não vá embora Por isso, não me deixe nunca, nunca mais Por isso, não vá, não vá embora Por isso, não me deixe nunca, nunca mais Por isso, não vá embora Por isso, não me deixe nunca, nunca mais Por isso, não vá, não vá embora Por isso, não me deixe nunca, nunca mais","And in the midst of so many people, I found you Among so many boring, boring people, you came And I thought I wouldn't fall in love Never again in my life I could be ugly, alone, lost But with you I become much more beautiful , smarter And everything could be going wrong for me right now But with you it works out So don't go away So don't ever leave me, ever again So don't go, don't go away So don't ever leave me, never again I could be lost, lying around But with you I'm much happier, more awake I could be now without you But I don't want, I don't want So don't leave So don't leave me ever, ever again So don't go, don't go away So don't leave me ever, ever again So don't go away So don't leave me ever, ever again So don't go, don't go away So don't leave me never, never again",https://www.letras.mus.br/marisa-monte/26829/
Drão,Gilberto Gil,"Drão O amor da gente é como um grão Uma semente de ilusão Tem que morrer pra germinar Plantar nalgum lugar, ressuscitar no chão Nossa semeadura Quem poderá fazer aquele amor morrer? Nossa caminhadura Dura caminhada Pela estrada escura Drão Não pense na separação Não despedace o coração O verdadeiro amor é vão Estende-se infinito, imenso monolito Nossa arquitetura Quem poderá fazer aquele amor morrer? Nossa caminhadura Cama de tatame Pela vida afora Drão Os meninos são todos sãos Os pecados são todos meus Deus sabe a minha confissão Não há o que perdoar Por isso mesmo é que há de haver mais compaixão Quem poderá fazer aquele amor morrer? Se o amor é como um grão Morre, nasce trigo Vive, morre pão Oh, oh Drão Drão Drão","Drão Our love is like a grain A seed of illusion It has to die to germinate Plant somewhere, resurrect in the ground Our sowing Who can make that love die? Our journey Hard walk Along the dark road Drão Don't think about separation Don't break your heart True love is vain It stretches infinitely, an immense monolith Our architecture Who can make that love die? Our walk Mat tatami bed Through life Drão The boys are all healthy The sins are all mine God knows my confession There is nothing to forgive That's why there must be more compassion Who can make that love die? If love is like a grain Dies, wheat is born Live, dies bread Oh, oh Drão Drão Drão",https://www.letras.mus.br/gilberto-gil/16133/
Sina,Djavan,"Pai e mãe, ouro de mina Coração, desejo e sina Tudo mais, pura rotina, jazz Tocarei seu nome pra poder falar de amor Minha princesa, art-nouveau da natureza Tudo o mais, pura beleza, jazz A luz de um grande prazer É irremediável neon Quando o grito do prazer Açoitar o ar, réveillon O luar, estrela-do-mar O Sol e o dom Quiçá, um dia, a fúria desse front Virá lapidar o sonho até gerar o som Como querer caetanear o que há de bom O luar, estrela-do-mar O Sol e o dom Quiçá, um dia, a fúria desse front Virá lapidar o sonho até gerar o som Como querer caetanear o que há de bom Yeah, yeah, yeah Pai e mãe, ouro de mina Coração, desejo e sina Tudo o mais, pura rotina, jazz Tocarei seu nome pra poder falar de amor Minha princesa, art-nouveau da natureza Tudo o mais, pura beleza, jazz A luz de um grande prazer É irremediável neon Quando o grito do prazer Açoitar o ar, réveillon O luar, estrela-do-mar O Sol e o dom Quiçá, um dia, a fúria desse front Virá lapidar o sonho até gerar o som Como querer caetanear o que há de bom O luar, estrela do mar O Sol e o dom Quiçá, um dia, a fúria desse front Virá lapidar o sonho até gerar o som Como querer caetanear o que há de bom Yeah, yeah, yeah Yeah, yeah, yeah Yeah Yeah","Father and mother, mine gold Heart, desire and fate Everything else, pure routine, jazz I'll play your name so I can talk about love My princess, art-nouveau of nature Everything else, pure beauty, jazz The light of a great pleasure It's irremediable neon When the cry of pleasure Whips the air, New Year's Eve The moonlight, starfish The Sun and the sun Perhaps, one day, the fury of this front Will come to polish the dream until it generates the sound How to want to caetane what is good The moonlight, starfish The Sun and the gift Perhaps, one day, the fury of this front Will come to polish the dream until it generates the sound How to want to caetane what is good Yeah, yeah, yeah Father and mother, mine gold Heart, desire and fate Everything else, pure routine, jazz I'll play your name so I can talk about love My princess, art-nouveau of nature Everything else, pure beauty, jazz The light of a great pleasure It's irremediable neon When the cry of pleasure Whip the air, New Year's Eve The moonlight, starfish The Sun and the Sun Perhaps, one day, the fury of this front Will come to polish the dream until it generates the sound How to want to caetaneate what is good The moonlight, starfish The Sun and the gift Perhaps, one day, the fury of this front Will come to polish the dream until it generates the sound How to want to caetaneate what is good Yeah, yeah, yeah Yeah, yeah, yeah Yeah Yeah",https://www.letras.mus.br/djavan/45550/
Mina do Condomínio,Seu Jorge,"Tô namorando aquela mina Mas não sei se ela me namora Mina maneira do condomínio Lá do bairro onde eu moro Tô namorando aquela mina Mas não sei se ela me namora Mina maneira do condomínio Lá do bairro onde eu moro Seu cabelo me alucina Sua boca me devora Sua voz me ilumina Seu olhar me apavora Me perdi no seu sorriso Nem preciso me encontrar Não me mostre o paraíso Que se eu for, não vou voltar Pois eu vou Eu vou Eu digo oi, ela nem nada Passa na minha calçada Dou bom dia, ela nem liga Se ela chega, eu paro tudo Se ela passa, eu fico todo Se vem vindo, eu faço figa Eu mando um beijo, ela não pega Pisco olho, ela se nega Faço pose, ela não vê Jogo charme, ela ignora Chego junto, ela sai fora Eu escrevo, ela não lê Minha mina, minha amiga Minha namorada Minha gata, minha sina Do meu condomínio Minha musa, minha vida Minha Monalisa Minha Vênus, minha deusa Quero seu fascínio Minha mina, minha amiga Minha namorada Minha gata, minha sina Do meu condomínio Minha musa, minha vida Minha Monalisa Minha Vênus, minha deusa Quero seu fascínio Tô namorando aquela mina Mas não sei se ela me namora Mina maneira do condomínio Lá do bairro onde eu moro Tô namorando aquela mina Mas não sei se ela me namora Mina maneira do condomínio Lá do bairro onde eu moro Seu cabelo me alucina Sua boca me devora Sua voz me ilumina Seu olhar me apavora Me perdi no seu sorriso Nem preciso me encontrar Não me mostre o paraíso Que se eu for, não vou voltar Eu vou  Eu vou Eu digo oi, ela nem nada Passa na minha calçada Dou bom dia, ela nem liga Se ela chega, eu paro tudo Se ela passa, eu fico todo Se vem vindo, eu faço figa Eu mando um beijo, ela não pega Pisco olho, ela se nega Faço pose, ela não vê Jogo charme, ela ignora Chego junto, ela sai fora Eu escrevo, ela não lê Minha mina, minha amiga Minha namorada Minha gata, minha sina Do meu condomínio Minha musa, minha vida Minha Monalisa Minha Vênus, minha deusa Quero seu fascínio Minha namorada Do meu condomínio Minha Monalisa Quero seu fascínio Minha namorada Do meu condomínio Minha Monalisa Quero seu fascínio Minha mina, minha amiga Minha namorada Minha gata, minha sina Do meu condomínio Minha musa, minha vida Minha Monalisa Minha Vênus, minha deusa Quero seu fascínio Minha namorada Do meu condomínio Minha Monalisa Quero seu fascínio Minha namorada Do meu condomínio Minha Monalisa Quero seu fascínio Minha namorada Do meu condomínio Minha Monalisa Quero seu fascínio Minha namorada Do meu condomínio Minha Monalisa Quero seu fascínio Minha namorada Do meu condomínio Minha Monalisa Quero seu fascínio","I'm dating that girl But I don't know if she's dating me Like the condominium In the neighborhood where I live I'm dating that girl But I don't know if she's dating me Like the condominium In the neighborhood where I live Her hair hallucinates me Her mouth devours me Your voice lights me up Your look terrifies me I got lost in your smile I don't even need to find myself Don't show me paradise That if I go, I won't come back Well I'm going I'm going I say hi, she doesn't have anything Pass my sidewalk I say good morning, She doesn't even care If she arrives, I stop everything If she passes by, I stay calm If she's coming, I keep my fingers crossed I blow a kiss, she doesn't take it I wink, she refuses I strike a pose, she doesn't see I play charm, she ignores I arrive together, she leaves I write, she doesn't read My girl, my friend My girlfriend My girl, my fate From my condominium My muse, my life My Mona Lisa My Venus, my goddess I want your fascination My girl, my friend My girlfriend My girl , my fate From my condominium My muse, my life My Mona Lisa My Venus, my goddess I want your fascination I'm dating that girl But I don't know if she's dating me My way from the condominium In the neighborhood where I live I'm dating that girl But I don't know if She dates me Like the condominium In the neighborhood where I live Her hair hallucinates me Her mouth devours me Her voice illuminates me Her look terrifies me I got lost in her smile I don't even need to find myself Don't show me paradise That if I go, I won't go back I'm going I'm going I say hi, she doesn't do anything She passes by my sidewalk I say good morning, she doesn't even care If she arrives, I stop everything If she passes by, I stay calm If she's coming, I keep my fingers crossed I send her a kiss, she doesn't take it I blink, she refuses I pose, she doesn't see I play charm, she ignores I come along, she leaves I write, she doesn't read My girl, my friend My girlfriend My girl, my fate From my condominium My muse, my life My Mona Lisa My Venus, my goddess I want your fascination My girlfriend From my condominium My Mona Lisa I want your fascination My girlfriend From my condominium My Mona Lisa I want your fascination My girl, my friend My girlfriend My girl, my fate From my condominium My muse, my life My Mona Lisa My Venus, my goddess I want your fascination My girlfriend From my condominium My Mona Lisa I want your fascination My girlfriend From my condominium My Mona Lisa I want your fascination My girlfriend From my condominium My Mona Lisa I want your fascination My girlfriend From my condominium My Mona Lisa I want your fascination My girlfriend From my condominium My Mona Lisa I want your fascination",https://www.letras.mus.br/seu-jorge/1089752/
Pra Você Guardei o Amor (part. Ana Cañas),Nando Reis,"Pra você guardei o amor Que nunca soube dar O amor que tive e vi sem me deixar Sentir sem conseguir provar Sem entregar e repartir Pra você guardei o amor Que sempre quis mostrar O amor que vive em mim vem visitar Sorrir, vem colorir solar Vem esquentar e permitir Quem acolher o que ele tem e traz Quem entender o que ele diz No giz do gesto, o jeito pronto Do piscar dos cílios Que o convite do silêncio Exibe em cada olhar Guardei sem ter porquê Nem por razão Ou coisa outra qualquer Além de não saber como fazer Pra ter um jeito meu de me mostrar Achei, vendo em você E explicação nenhuma isso requer Se o coração bater forte e arder No fogo o gelo vai queimar Pra você guardei o amor Que aprendi vendo os meus pais O amor que tive e recebi E hoje posso dar livre e feliz Céu cheiro e ar na cor que o arco-íris Risca ao levitar Vou nascer de novo Lápis, edifício, tevere, ponte Desenhar no seu quadril Meus lábios beijam signos feito sinos Trilho a infância, terço o berço Do seu lar Guardei sem ter porquê Nem por razão Ou coisa outra qualquer Além de não saber como fazer Pra ter um jeito meu de me mostrar Achei, vendo em você Explicação nenhuma isso requer Se o coração bater forte e arder No fogo o gelo vai queimar Pra você guardei o amor Que nunca soube dar O amor que tive e vi sem me deixar Sentir sem conseguir provar Sem entregar e repartir Quem acolher o que ele tem e traz Quem entender o que ele diz No giz do gesto, o jeito pronto Do piscar dos cílios Que o convite do silêncio Exibe em cada olhar Guardei sem ter porquê Nem por razão Ou coisa outra qualquer Além de não saber como fazer Pra ter um jeito meu de me mostrar Achei, vendo em você Explicação nenhuma isso requer Se o coração bater forte e arder No fogo o gelo vai queimar","For you I kept the love That I never knew how to give The love I had and saw without letting me Feel without being able to prove it Without giving and sharing For you I kept the love That I always wanted to show The love that lives in me comes to visit Smile, come color solar Come warm up and allow Whoever welcomes what he has and brings Whoever understands what he says In the chalk of the gesture, the ready way From the blink of the eyelashes That the invitation of silence Displays in every look I kept it without having any reason Or for any reason Or anything else Besides not knowing how to do it To have my own way of showing myself I found it, seeing in you And no explanation that requires If the heart beats hard and burns In the fire the ice will burn For you I kept the love That I learned from watching my parents The love I had and I received And today I can give freely and happily Heaven smells and air in the color of the rainbow Scratches when levitating I will be born again Pencil, building, terre, bridge Draw on your hip My lips kiss signs like bells I trail childhood, rosary cradle From your home I kept it for no reason Not for any reason Or anything else Besides not knowing how to do it To have my own way of showing myself I found it, seeing in you No explanation that requires If the heart beats hard and burns Into the fire the ice goes burn For you I kept the love That I never knew how to give The love I had and saw without letting me Feel without being able to prove Without delivering and sharing Who welcomes what he has and brings Who understands what he says In the chalk of the gesture, the ready way Of blink of eyelashes That the invitation of silence Displays in every look I kept it for no reason Not for any reason Or anything else Besides not knowing how to do it To have my own way of showing myself I found it, seeing in you No explanation that requires If the heart beats strong and burn In the fire the ice will burn",https://www.letras.mus.br/nando-reis/1491960/
All Star,Nando Reis,"Estranho seria se eu não me apaixonasse por você O sal viria doce para os novos lábios Colombo procurou as Índias Mas a Terra avisto em você O som que eu ouço São as gírias do seu vocabulário Estranho é gostar tanto do seu All Star azul Estranho é pensar que o bairro das Laranjeiras Satisfeito, sorri, quando chego ali E entro no elevador Aperto o 12, que é o seu andar Não vejo a hora de te encontrar Continuar aquela conversa Que não terminamos ontem Ficou pra hoje Estranho, mas já me sinto Como um velho amigo seu Seu All Star azul combina Com o meu, preto, de cano alto Se o homem já pisou na Lua Como eu ainda não tenho seu endereço? O tom que eu canto as minhas músicas Na sua voz, parece exato Estranho é gostar tanto do seu All Star azul Estranho é pensar que o bairro das Laranjeiras Satisfeito, sorri, quando chego ali E entro no elevador Aperto o 12, que é o seu andar Não vejo a hora de te encontrar Continuar aquela conversa Que não terminamos ontem Ficou nas Laranjeiras Satisfeito, sorri, quando chego ali E entro no elevador Aperto o 12, que é o seu andar Não vejo a hora de te encontrar E continuar aquela conversa Que não terminamos ontem Ficou pra hoje Hoje, hoje, hoje","It would be strange if I didn't fall in love with you The salt would come sweet to new lips Columbus sought out the Indies But the Earth I see in you The sound I hear Are the slang words in your vocabulary It's strange to like your blue All Star so much It's strange to think that the Laranjeiras neighborhood Satisfied, I smile, when I get there And I get in the elevator I press 12, which is your floor I can't wait to meet you Continue that conversation That we didn't finish yesterday It's for today Strange, but I already feel like a old friend of yours Your blue All Star matches mine, black, high-top If man has already stepped on the Moon How come I still don't have your address? The tone in which I sing my songs In your voice, it seems exact It's strange to like your blue All Star so much Strange to think that the neighborhood of Laranjeiras Satisfied, I smile, when I get there And I get in the elevator I press 12, which is yours walk I can't wait to meet you Continue that conversation That we didn't finish yesterday Stayed in Laranjeiras Satisfied, I smile, when I get there And I get in the elevator I press 12, which is your floor I can't wait to meet you And continue that conversation That We didn't finish yesterday It's for today Today, today, today",https://www.letras.mus.br/nando-reis/47559/
"O Que É, o Que É?",Gonzaguinha,"Eu fico com a pureza Da resposta das crianças É a vida, é bonita E é bonita Viver e não ter a vergonha De ser feliz Cantar, e cantar, e cantar A beleza de ser um eterno aprendiz Ah, meu Deus! Eu sei, eu sei Que a vida devia ser bem melhor E será! Mas isso não impede Que eu repita É bonita, é bonita E é bonita Viver e não ter a vergonha De ser feliz Cantar, e cantar, e cantar A beleza de ser um eterno aprendiz Ah, meu Deus! Eu sei, eu sei Que a vida devia ser bem melhor E será! Mas isso não impede Que eu repita É bonita, é bonita E é bonita E a vida, e a vida o que é? Diga lá, meu irmão Ela é a batida de um coração Ela é uma doce ilusão Êh! Ôh! E a vida Ela é maravilha ou é sofrimento? Ela é alegria ou lamento? O que é? O que é, meu irmão? Há quem fale que a vida da gente É um nada no mundo É uma gota, é um tempo Que nem dá um segundo Há quem fale que é um divino Mistério profundo É o sopro do criador Numa atitude repleta de amor Você diz que é luta e prazer Ele diz que a vida é viver Ela diz que melhor é morrer Pois amada não é e o verbo é sofrer Eu só sei que confio na moça E na moça eu ponho a força da fé Somos nós que fazemos a vida Como der, ou puder, ou quiser Sempre desejada Por mais que esteja errada Ninguém quer a morte Só saúde e sorte E a pergunta roda E a cabeça agita Eu fico com a pureza Da resposta das crianças É a vida, é bonita E é bonita Viver e não ter a vergonha De ser feliz Cantar, e cantar, e cantar A beleza de ser um eterno aprendiz Ah, meu Deus! Eu sei, eu sei Que a vida devia ser bem melhor E será! Mas isso não impede Que eu repita É bonita, é bonita E é bonita Viver e não ter a vergonha De ser feliz Cantar, e cantar, e cantar A beleza de ser um eterno aprendiz Ah, meu Deus! Eu sei, eu sei Que a vida devia ser bem melhor E será! Mas isso não impede Que eu repita É bonita, é bonita E é bonita Viver e não ter a vergonha De ser feliz Cantar, e cantar, e cantar A beleza de ser um eterno aprendiz Ah, meu Deus! Eu sei, eu sei Que a vida devia ser bem melhor E será! Mas isso não impede Que eu repita É bonita, é bonita E é bonita Viver e não ter a vergonha De ser feliz","I stay with purity From the children's response It's life, it's beautiful And it's beautiful To live and not be ashamed To be happy Sing, and sing, and sing The beauty of being an eternal learner Oh, my God! I know, I know That life should be much better And it will be! But that doesn't stop me from repeating It's beautiful, it's beautiful And it's beautiful To live and not be ashamed To be happy Sing, and sing, and sing The beauty of being an eternal learner Oh, my God! I know, I know That life should be much better And it will be! But that doesn't stop me from repeating It's beautiful, it's beautiful And it's beautiful And life, and what is life? Say it, my brother She is the beat of a heart She is a sweet illusion Eh! Oh! And life is it wonder or is it suffering? Is she joy or regret? What is it? What is it, my brother? There are those who say that our life is nothing in the world It's a drop, it's a time That doesn't even last a second There are those who say that it's a divine Deep mystery It's the breath of the creator In an attitude full of love You say it's a fight and pleasure He says that life is living She says it is better to die Because loved is not and the verb is to suffer I only know that I trust the girl And in the girl I put the strength of faith We are the ones who make life How can, or can , or want Always desired No matter how wrong it is No one wants death Just health and luck And the question turns And the head shakes I stay with purity From the children's answer It's life, it's beautiful And it's beautiful To live and not have shame To be happy Singing, and singing, and singing The beauty of being an eternal learner Oh, my God! I know, I know That life should be much better And it will be! But that doesn't stop me from repeating It's beautiful, it's beautiful And it's beautiful To live and not be ashamed To be happy Sing, and sing, and sing The beauty of being an eternal learner Oh, my God! I know, I know That life should be much better And it will be! But that doesn't stop me from repeating It's beautiful, it's beautiful And it's beautiful To live and not be ashamed To be happy Sing, and sing, and sing The beauty of being an eternal learner Oh, my God! I know, I know That life should be much better And it will be! But that doesn't stop me from repeating It's beautiful, it's beautiful And it's beautiful To live and not be ashamed To be happy",https://www.letras.mus.br/gonzaguinha/463845/
