title,author,lyric,lyric_en,href
CHIHIRO,Billie Eilish,"To take my love away When I come back around, will I know what to say? Said you won't forget my name Not today Not tomorrow Kinda strange Feeling sorrow I got change (yeah) You could borrow (borrow) When I come back around, will I know what to say? Not today Maybe tomorrow Open up the door, can you open up the door? I know you said before you can't cope with any more You told me it was war, said you'd show me what's in store I hope it's not for sure, can you open up the door? Did you Take My love Away From me, me? Me Saw your seat at the counter when I looked away Saw you turn around, but it wasn't your face Said: I need to be alone now, I'm taking a break How come when I returned you were gone away? I don't I don't know why I called I don't know you at all I don't know you Not at all I don't I don't know why I called I don't know you at all I don't know you Did you Take My love Away From me, me? And that's when you found me I was waiting in the garden Contemplating, beg your pardon But there's a part of me that recognizes you Do you feel it too? When you told me it was serious Were you serious? Mmm They told me they were only curious Now it's serious, mmm Open up the door, can you open up the door? I know you said before you can't cope with any more You told me it was war, said you'd show me what's in store I hope it's not for sure, can you open up the door? Wringing my hands in my lap And they tell me it's all been a trap And you don't know if you'll make it back I say: No, don't say that (Wringing my hands in my lap) (Tell me it's all been a trap) (Don't know if you'll make it back) (I say: No, don't say that) (Wringing my hands in my lap) (Tell me it's all been a trap) (Don't know if you'll make it back) (Don't say that) Mhm","To take my love away When I come back around, will I know what to say? Said you won't forget my name Not today Not tomorrow Kinda strange Feeling sorrow I got change (yeah) You could borrow (borrow) When I come back around, will I know what to say? Not today Maybe tomorrow Open up the door, can you open up the door? I know you said before you can't cope with any more You told me it was war, said you'd show me what's in store I hope it's not for sure, can you open up the door? Did you Take My love Away From me, me? Me Saw your seat at the counter when I looked away Saw you turn around, but it wasn't your face Said: I need to be alone now, I'm taking a break How come when I returned you were gone away? I don't I don't know why I called I don't know you at all I don't know you Not at all I don't I don't know why I called I don't know you at all I don't know you Did you Take My love Away From me, me? And that's when you found me I was waiting in the garden Contemplating, beg your pardon But there's a part of me that recognizes you Do you feel it too? When you told me it was serious Were you serious? Mmm They told me they were only curious Now it's serious, mmm Open up the door, can you open up the door? I know you said before you can't cope with any more You told me it was war, said you'd show me what's in store I hope it's not for sure, can you open up the door? Wringing my hands in my lap And they tell me it's all been a trap And you don't know if you'll make it back I say: No, don't say that (Wringing my hands in my lap) (Tell me it's all been a trap) (Don't know if you'll make it back) (I say: No, don't say that) (Wringing my hands in my lap) (Tell me it's all been a trap) (Don' don't know if you'll make it back) (Don't say that) Mhm",https://www.letras.mus.br/billie-eilish/chihiro/
Beautiful Things,Benson Boone,"For a while there, it was rough But lately I've been doin' better Than the last four cold Decembers I recall And I see my family every month I found a girl my parents love She'll come and stay the night And I think I might have it all And I thank God every day For the girl He sent my way But I know the things He gives me He can take away And I hold you every night And that's a feeling I wanna get used to But there's no man as terrified As the man who stands to lose you Oh, I hope I don't lose you Mmm, please, stay I want you, I need you, oh, God Don't take These beautiful things that I've got Please, stay I want you, I need you, oh, God Don't take These beautiful things that I've got Oh, ooh Please, don't take I found my mind, I'm feelin' sane It's been a while, but I'm findin' my faith If everything's good and it's great Why do I sit and wait till it's gone? Oh, I'll tell ya, I know I've got enough I've got peace and I've got love But I'm up at night thinkin' I just might lose it all Please, stay I want you, I need you, oh, God Don't take These beautiful things that I've got Oh, ooh Please, stay I want you, I need you, oh, God I need These beautiful things that I've got","For a while there, it was rough But lately I've been doin' better Than the last four cold Decembers I remember And I see my family every month I found a girl my parents love She'll come and stay the night And I think I might have it all And I thank God every day For the girl He sent my way But I know the things He gives me He can take away And I hold you every night And that's a feeling I wanna get used to But there's no man as deceiving As the man who stands to lose you Oh, I hope I don't lose you Mmm, please, stay I want you, I need you, oh, God Don't take These beautiful things that I've got Please, stay I want you, I need you, oh, God Don't take These beautiful things that I've got Oh, ooh Please, don't take I found my mind, I'm feelin' sane It's been a while, but I 'm findin' my faith If everything's good and it's great Why do I sit and wait until it's gone? Oh, I'll tell ya, I know I've got enough I've got peace and I've got love But I'm up at night thinkin' I just might lose it all Please, stay I want you, I need you, oh, God Don't take These beautiful things that I've got Oh, ooh Please, stay I want you, I need you, oh, God I need These beautiful things that I've got",https://www.letras.mus.br/benson-boone/beautiful-things/
Please Please Please,Sabrina Carpenter,"(Please, please, please, don't prove I'm right) I know I have good judgment, I know I have good taste It's funny and it's ironic that only I feel that way I promise 'em that you're different And everyone makes mistakes, but just don't I heard that you're an actor, so act like a stand-up guy Whatever devil's inside you, don't let him out tonight I tell them it's just your culture And everyone rolls their eyes, yeah, I know All I'm asking, baby Please, please, please Don't prove I'm right And please, please, please Don't bring me to tears when I just did my makeup so nice Heartbreak is one thing My ego's another I beg you: Don't embarrass me, motherfucker, ah-oh Please, please, please (ah-ah-ah) Well, I have a fun idea, babe (uh-huh): Maybe just stay inside I know you're craving some fresh air But the ceiling fan is so nice (it's so nice, right?) And we could live so happily If no one knows that you're with me I'm just kidding, but really (kinda), really, really Please, please, please (please, don't prove I'm right) Don't prove I'm right And please, please, please Don't bring me to tears when I just did my makeup so nice Heartbreak is one thing (heartbreak is one thing) My ego's another (ego's another) I beg you: Don't embarrass me, motherfucker, ah-oh Please, please, please (ah-ah-ah) If you wanna go and be stupid Don't do it in front of me If you don't wanna cry to my music Don't make me hate you prolifically Please, please, please (please) Please, please, please (please) Please (please), please (please), please (Ah-ah-ah-ah)","(Please, please, please, don't prove I'm right) I know I have good judgment, I know I have good taste It's funny and it's ironic that only I feel that way I promise 'em that you're different And Everyone makes mistakes, but just don't I heard that you're an actor, so act like a stand-up guy Whatever devil's inside you, don't let him out tonight I tell them it's just your culture And everyone rolls their eyes , yeah, I know All I'm asking, baby Please, please, please Don't prove I'm right And please, please, please Don't bring me to tears when I just did my makeup so nice Heartbreak is one thing My ego's another I beg you: Don't embarrass me, motherfucker, ah-oh Please, please, please (ah-ah-ah) Well, I have a fun idea, babe (uh-huh): Maybe just stay inside I know you're craving some fresh air But the ceiling fan is so nice (it's so nice, right?) And we could live so happily If no one knows that you're with me I'm just kidding, but really (kinda) , really, really Please, please, please (please, don't prove I'm right) Don't prove I'm right And please, please, please Don't bring me to tears when I just did my makeup so nice Heartbreak is one thing (heartbreak is one thing) My ego's another (ego's another) I beg you: Don't embarrass me, motherfucker, ah-oh Please, please, please (ah-ah-ah) If you wanna go and be stupid Don't do it in front of me If you don't wanna cry to my music Don't make me hate you prolifically Please, please, please (please) Please, please, please (please) Please (please), please (please), please (Ah-ah-ah-ah)",https://www.letras.mus.br/sabrina-carpenter/please-please-please/
Perfect,Ed Sheeran,"I found a love for me Darling, just dive right in and follow my lead I found a girl, beautiful and sweet I never knew you were the someone waiting for me 'Cause we were just kids when we fell in love Not knowing what it was I will not give you up this time Darling, just kiss me slow Your heart is all I own And in your eyes, you're holding mine Baby I'm, dancing in the dark With you between my arms Barefoot on the grass Listening to, our favorite song When you said you, looked a mess I whispered underneath my breath But you heard it Darling you, look perfect tonight I found a woman, stronger than anyone I know She shares my dreams, I hope that someday I'll share her home I found a lover to carry more than just my secrets To carry love, to carry children of our own We are still kids, but we're so in love Fighting against all odds I know we'll be alright this time Darling, just hold my hand Be my girl, I'll be your man I see my future in your eyes Baby, I'm dancing in the dark With you between my arms Barefoot on the grass Listening to our favorite song When I saw you in that dress Looking so beautiful I don't deserve this Darling, you look perfect tonight Baby, I'm dancing in the dark With you between my arms Barefoot on the grass Listening to our favorite song I have faith in what I see Now I know I have met an angel in person And she looks perfect I don't deserve this You look perfect tonight","I found a love for me Darling, just dive right in and follow my lead I found a girl, beautiful and sweet I never knew you were the someone waiting for me 'Cause we were just kids when we fell in love Not knowing what it was I won't give you up this time Darling, just kiss me slow Your heart is all I own And in your eyes, you're holding mine Baby I'm, dancing in the dark With you between my arms Barefoot on the grass Listening to , our favorite song When you said you, looked a mess I whispered underneath my breath But you heard it Darling you, look perfect tonight I found a woman, stronger than anyone I know She shares my dreams, I hope that someday I'll share her home I found a lover to carry more than just my secrets To carry love, to carry children of our own We are still kids, but we're so in love Fighting against all odds I know we'll be alright this time Darling, just hold my hand Be my girl, I'll be your man I see my future in your eyes Baby, I'm dancing in the dark With you between my arms Barefoot on the grass Listening to our favorite song When I saw you in that dress Looking so beautiful I don't deserve this Darling, you look perfect tonight Baby, I'm dancing in the dark With you between my arms Barefoot on the grass Listening to our favorite song I have faith in what I see Now I know I have met an angel in person And she looks perfect I don't deserve this You look perfect tonight",https://www.letras.mus.br/ed-sheeran/perfect/
Mirrors,Justin Timberlake,"Aren't you somethin' to admire? 'Cause your shine is somethin' like a mirror And I can't help but notice You reflect in this heart of mine If you ever feel alone and The glare makes me hard to find Just know that I'm always Parallel on the other side 'Cause with your hand in my hand And a pocket full of soul I can tell you there's no place we couldn't go Just put your hand on the glass I'll be tryin' to pull you through You just gotta be strong 'Cause I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now And I'll tell you, baby, it was easy Comin' back into you once I figured it out You were right here all along It's like you're my mirror My mirror staring back at me I couldn't get any bigger With anyone else beside me And now it's clear as this promise That we're making two reflections into one 'Cause it's like you're my mirror My mirror staring back at me Staring back at me Aren't you somethin', an original? 'Cause it doesn't seem really as simple And I can't help but stare, 'cause I see truth somewhere in your eyes Oh, I can't ever change without you You reflect me, I love that about you And if I could, I Would look at us all the time 'Cause with your hand in my hand And a pocket full of soul I can tell you there's no place we couldn't go Just put your hand on the glass I'll be tryin' to pull you through You just gotta be strong 'Cause I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now And I'll tell you, baby, it was easy Comin' back into you once I figured it out You were right here all along, oh It's like you're my mirror My mirror staring back at me I couldn't get any bigger With anyone else beside me And now it's clear as this promise That we're making two reflections into one 'Cause it's like you're my mirror My mirror staring back at me Staring back at me Yesterday is history, oh And tomorrow's a mystery, oh I can see you lookin' back at me Keep your eyes on me Baby, keep your eyes on me 'Cause I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Oh, show me how to fight for now (Show me, baby) And I'll tell you, baby, it was easy Comin' back into you once I figured it out You were right here all along It's like you're my mirror My mirror staring back at me I couldn't get any bigger With anyone else beside me And now it's clear as this promise That we're making two reflections into one 'Cause it's like you're my mirror My mirror staring back at me Staring back at me You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life Now, you're the inspiration for this precious song And I just wanna see your face light up since you put me on So now I say goodbye to the old me, it's already gone And I can't wait, wait, wait, wait, wait to get you home Just to let you know, you are You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life Girl, you're my reflection, all I see is you My reflection, in everything I do You're my reflection and all I see is you My reflection, in everything I do You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life","Aren't you somethin' to admire? 'Cause your shine is somethin' like a mirror And I can't help but notice You reflect in this heart of mine If you ever feel alone and The glare makes me hard to find Just know that I'm always Parallel on the other side 'Cause with your hand in my hand And a pocket full of soul I can tell you there's no place we couldn't go Just put your hand on the glass I'll be tryin' to pull you through You just gotta be strong 'Cause I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now And I'll tell you, baby, it was easy Comin' back into you once I figured it out You were right here all along It's like you're my mirror My mirror staring back at me I couldn't get any bigger With anyone else beside me And now it's clear as this promise That we're making two reflections into one 'Cause it's like you're my mirror My mirror staring back at me Staring back at me Aren't you somethin', an original? 'Cause it doesn't seem really as simple And I can't help but stare, 'cause I see truth somewhere in your eyes Oh, I can't ever change without you You reflect me, I love that about you And if I could, I Would look at us all the time 'Cause with your hand in my hand And a pocket full of soul I can tell you there's no place we couldn't go Just put your hand on the glass I'll be tryin' to pull you through You just gotta be strong 'Cause I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now And I'll tell you, baby, it was easy Comin' back into you once I figured it out You were right here all along, oh It's like you're my mirror My mirror staring back at me I couldn't get any bigger With anyone else beside me And now it's clear as this promise That we're making two reflections into one 'Cause it's like you're my mirror My mirror staring back at me Staring back at me Yesterday is history, oh And tomorrow's a mystery , oh I can see you lookin' back at me Keep your eyes on me Baby, keep your eyes on me 'Cause I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Oh, show me how to fight for now (Show me, baby) And I'll tell you, baby, it was easy Comin' back into you once I figured it out You were right here all along It's like you're my mirror My mirror staring back at me I couldn't get any bigger With anyone else beside me And now it's clear as this promise That we're making two reflections into one 'Cause it's like you're my mirror My mirror staring back at me Staring back at me You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life Now, you're the inspiration for this precious song And I just wanna see your face light up since you put me on So now I say goodbye to the old me, it's already gone And I can't wait, wait, wait, wait, wait to get you home Just to let you know, you are You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life Girl, you're my reflection, all I see is you My reflection, in everything I do You're my reflection and all I see is you My reflection, in everything I do You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life",https://www.letras.mus.br/justin-timberlake/mirrors/
WILDFLOWER,Billie Eilish,"Things fall apart and time breaks your heart I wasn't there, but I know She was your girl, you showed her the world But fell out of love and you both let go She was crying on my shoulder All I could do was hold her Only made us closer Until July Now, I know that you love me You don't need to remind me I should put it all behind me Shouldn't I? But I see her In the back of my mind All the time Like a fever Like I'm burning alive like a sign Did I cross the line? Mmm, mmm Well, good things don't last And life moves so fast I'd never ask who was better 'Cause she couldn't be more different from me Happy and free in leather And I know that you love me (you love me) You don't need to remind me (remind me) Wanna put it all behind me But, baby I see her In the back of my mind (back of my mind) All the time (all the time) Feels like a fever (like a fever) Like I'm burning alive (burning alive) like a sign Did I cross the line? (Cross the line), ooh (You say no one knows you so well) (But every time you touch me, I just wonder how she felt) (Valentine's Day, crying in the hotel) (I know you didn't mean to hurt me, so I kept it to myself) And I wonder Do you see her In the back of your mind? In my eyes? You say no one knows you so well But every time you touch me, I just wonder how she felt Valentine's Day, crying in the hotel I know you didn't mean to hurt me, so I kept it to myself","Things fall apart and time breaks your heart I wasn't there, but I know She was your girl, you showed her the world But fell out of love and you both let go She was crying on my shoulder All I could do was hold her Only made us closer Until July Now, I know that you love me You don't need to remind me I should put it all behind me Shouldn't I? But I see her In the back of my mind All the time Like a fever Like I'm burning alive like a sign Did I cross the line? Mmm, mmm Well, good things don't last And life moves so fast I'd never ask who was better 'Cause she couldn't be more different from me Happy and free in leather And I know that you love me (you love me) You don't need to remind me (remind me) Wanna put it all behind me But, baby I see her In the back of my mind (back of my mind) All the time (all the time) Feels like a fever (like a fever) Like I'm burning alive (burning alive) like a sign Did I cross the line? (Cross the line), ooh (You say no one knows you so well) (But every time you touch me, I just wonder how she felt) (Valentine's Day, crying in the hotel) (I know you didn't mean to hurt me, so I kept it to myself) And I wonder Do you see her In the back of your mind? In my eyes? You say no one knows you so well But every time you touch me, I just wonder how she felt Valentine's Day, crying in the hotel I know you didn't mean to hurt me, so I kept it to myself",https://www.letras.mus.br/billie-eilish/wildflower/
WOMAN'S WORLD,Katy Perry,"(It's a woman's world and you're lucky to be livin' in it) Sexy, confident So intelligent She is heaven-sent So soft, so strong She's a winner, champion Superhuman, number one She's a sister, she's a mother Open your eyes, just look around and you'll discover, you know It's a woman's world and you're lucky to be livin' in it (uh-huh, uh-huh) It's a woman's world and you're lucky to be livin' in it (uh-huh, uh-huh) You better celebrate 'Cause, baby, we ain't goin' away (oh) It's a woman's world and you're lucky to be livin' in it (uh-huh, uh-huh) Fire in her eyes Feminine divine She was born to shine To shine, to shine, yeah She's a flower, she's a thorn Superhuman, number one She's a sister, she's a mother Open your eyes, just look around and you'll discover, you know It's a woman's world and you're lucky to be livin' in it (uh-huh, uh-huh) It's a woman's world and you're lucky to be livin' in it (uh-huh, uh-huh) (you better) You better celebrate (celebrate) 'Cause, baby, we ain't goin' away (oh) It's a woman's world and you're lucky to be livin' in it (uh-huh) Lucky to be livin' in it Woo (uh-huh) Lucky to be livin' in it That's right It's a woman's world (uh-huh) And you're lucky to be livin' in it (Uh-huh)","(It's a woman's world and you're lucky to be livin' in it) Sexy, confident So intelligent She is heaven-sent So soft, so strong She's a winner, champion Superhuman, number one She's a sister, she's a mother Open your eyes, just look around and you'll discover, you know It's a woman's world and you're lucky to be livin' in it (uh-huh, uh-huh) It's a woman's world and you're lucky to be livin' in it (uh-huh, uh-huh) You better celebrate 'Cause, baby, we ain't goin' away (oh) It's a woman's world and you're lucky to be livin' in it (uh-huh, uh -huh) Fire in her eyes Feminine divine She was born to shine To shine, to shine, yeah She's a flower, she's a thorn Superhuman, number one She's a sister, she's a mother Open your eyes, just look around and you'll discover, you know It's a woman's world and you're lucky to be livin' in it (uh-huh, uh-huh) It's a woman's world and you're lucky to be livin' in it (uh-huh, uh- huh) (you better) You better celebrate (celebrate) 'Cause, baby, we ain't goin' away (oh) It's a woman's world and you're lucky to be livin' in it (uh-huh) Lucky to be livin' in it Woo (uh-huh) Lucky to be livin' in it That's right It's a woman's world (uh-huh) And you're lucky to be livin' in it (Uh-huh)",https://www.letras.mus.br/katy-perry/womans-world/
Photograph,Ed Sheeran,"Loving can hurt Loving can hurt sometimes But it's the only thing that I know When it gets hard You know, it can get hard sometimes It is the only thing that makes us feel alive We keep this love in a photograph We made these memories for ourselves Where our eyes are never closing Our hearts were never broken And time's forever frozen still So, you can keep me Inside the pocket of your ripped jeans Holding me close until our eyes meet And you won't ever be alone Wait for me to come home Loving can heal Loving can mend your soul And it's the only thing that I know, know I swear it will get easier Remember that with every piece of ya And is the only thing we take with us when we die We keep this love in this photograph We made these memories for ourselves Where our eyes are never closing Our hearts were never broken Time's forever frozen still So, you can keep me Inside the pocket of your ripped jeans Holding me close until our eyes meet And you won't ever be alone And if you hurt me That's okay, baby Only words bleed Inside these pages you just hold me And I won't ever let you go Wait for me to come home Wait for me to come home Wait for me to come home Wait for me to come home So you could fit me Inside the necklace you got When you were sixteen Next to your heartbeat, where I should be Keep it deep within your soul And if you hurt me Well, that's okay, baby Only words bleed Inside these pages you just hold me And I won't ever let you go When I'm away I will remember how you kissed me Under the lamppost back on 6th Street Hearing you whisper through the phone Wait for me to come home","Loving can hurt Loving can hurt sometimes But it's the only thing that I know When it gets hard You know, it can get hard sometimes It is the only thing that makes us feel alive We keep this love in a photograph We made these memories for ourselves Where our eyes are never closing Our hearts were never broken And time's forever frozen still So, you can keep me Inside the pocket of your ripped jeans Holding me close until our eyes meet And you won't ever be alone Wait for me to come home Loving can heal Loving can mend your soul And it's the only thing that I know, know I swear it will get easier Remember that with every piece of ya And it's the only thing we take with us when we die We keep this love in this photograph We made these memories for ourselves Where our eyes are never closing Our hearts were never broken Time's forever frozen still So, you can keep me Inside the pocket of your ripped jeans Holding me close until our eyes meet And you won't ever be alone And if you hurt me That's okay, baby Only words bleed Inside these pages you just hold me And I won't ever let you go Wait for me to come home Wait for me to come home Wait for me to come home Wait for me to come home So you could fit me Inside the necklace you got When you were sixteen Next to your heartbeat, where I should be Keep it deep within your soul And if you hurt me Well, that's okay, baby Only words bleed Inside these pages you just hold me And I won't ever let you go When I'm away I will remember how you kissed me Under the lamppost back on 6th Street Hearing you whisper through the phone Wait for me to come home",https://www.letras.mus.br/ed-sheeran/photograph/
Nosso Primeiro Beijo,Gloria Groove,"(O nosso primeiro beijo, uh-ah) Eu aposto um beijo Que você vai gostar do gosto do meu beijo Já tô vendo eu aí Na proteção de tela do seu celular E você usando a letra G no seu colar Eu não tô me achando Eu só te achei a cara do pra sempre que eu sempre procurei Então fala que você também acredita em destino Fala pro seu passado que seu futuro é comigo Eu, você e uma casinha, geladeira cheia Dormir de conchinha depois de umas brincadeira Sabe o que que tá faltando pra ficar perfeito? O nosso primeiro beijo Eu, você e uma casinha, geladeira cheia Dormir de conchinha depois de umas brincadeiras Sabe o que que tá faltando pra ficar perfeito? O nosso primeiro beijo Oh, oh Eu aposto um beijo Que você vai gostar do gosto do meu beijo Já tô vendo eu aí Na proteção de tela do seu celular E você usando a letra G no seu colar Eu não tô me achando Eu só te achei a cara do pra sempre que eu sempre procurei Então fala que você também acredita em destino Fala pro seu passado que seu futuro é comigo Eu, você e uma casinha, geladeira cheia Dormir de conchinha depois de umas brincadeira Sabe o que que tá faltando pra ficar perfeito? O nosso primeiro beijo Eu, você e uma casinha, geladeira cheia Dormir de conchinha depois de umas brincadeiras Sabe o que que tá faltando pra ficar perfeito? O nosso primeiro beijo Oh, oh O nosso primeiro beijo Oh, oh Eu aposto um beijo","(Our first kiss, uh-ah) I bet a kiss That you'll like the taste of my kiss I can already see me there On the screen saver of your cell phone And you wearing the letter G on your necklace I don't think I'm me I just found you the face of forever that I've always been looking for So say that you also believe in destiny Tell your past that your future is with me Me, you and a little house, full fridge Sleeping cuddling after some games You know what's going on missing to be perfect? Our first kiss Me, you and a little house, full fridge Sleeping cuddling after some games Do you know what's missing to make it perfect? Our first kiss Oh, oh I bet a kiss That you'll like the taste of my kiss I can already see me there On the screen saver of your cell phone And you wearing the letter G on your necklace I'm not finding myself I just found you the face of forever that I've always looked for So say that you also believe in destiny Tell your past that your future is with me Me, you and a little house, full fridge Sleeping cuddling after a few games You know what's missing to stay perfect? Our first kiss Me, you and a little house, full fridge Sleeping cuddling after some games Do you know what's missing to make it perfect? Our first kiss Oh, oh Our first kiss Oh, oh I bet a kiss",https://www.letras.mus.br/gloria-groove/nosso-primeiro-beijo/
Love Yourself,Justin Bieber,"For all the times that you rained on my parade And all the clubs you get in using my name You think you broke my heart, oh, girl, for goodness sake You think I'm crying on my own, well, I ain't And I didn't wanna write a song 'Cause I didn't want anyone thinking I still care I don't, but you still hit my phone up And, baby, I've been movin' on And I think you should be somethin' I don't wanna hold back Maybe you should know that My mama don't like you And she likes everyone And I never like to Admit that I was wrong And I've been so caught up in my job Didn't see what's going on, but now I know I'm better sleeping on my own 'Cause if you like the way you look that much Oh, baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself When you told me that you hated my friends The only problem was with you, and not them And every time you told me my opinion was wrong And tried to make me forget where I came from And I didn't wanna write a song 'Cause I didn't want anyone thinking I still care I don't, but you still hit my phone up And, baby, I've been movin' on And I think you should be somethin' I don't wanna hold back Maybe you should know that My mama don't like you And she likes everyone And I never like to Admit that I was wrong And I've been so caught up in my job Didn't see what's going on, but now I know I'm better sleeping on my own 'Cause if you like the way you look that much Oh, baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself For all the times that you made me feel small I fell in love, now I feel nothing at all I never felt so low when I was vulnerable Was I a fool to let you break down my walls? 'Cause if you like the way you look that much Oh, baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself 'Cause if you like the way you look that much Oh, baby, you should go and love yourself (yeah) And if you think (you think) that I'm (that I'm) still holdin' on to somethin' You should go and love yourself","For all the times that you rained on my parade And all the clubs you get in using my name You think you broke my heart, oh, girl, for goodness sake You think I'm crying on my own, well, I ain't And I didn't wanna write a song 'Cause I didn't want anyone thinking I still care I don't, but you still hit my phone up And, baby, I've been movin' on And I think you should be somethin' I don't wanna hold back Maybe you should know that My mama doesn't like you And she likes everyone And I never like to Admit that I was wrong And I've been so caught up in my job Didn't see what's going on, but now I know I'm better sleeping on my own 'Cause if you like the way you look that much Oh, baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself When you told me that you hated my friends The only problem was with you, and not them And every time you told me my opinion was wrong And tried to make me forget where I came from And I didn't 't wanna write a song 'Cause I didn't want anyone thinking I still care I don't, but you still hit my phone up And, baby, I've been movin' on And I think you should be somethin' I don't wanna hold back Maybe you should know that My mama doesn't like you And she likes everyone And I never like to Admit that I was wrong And I've been so caught up in my job Didn't see what's going on , but now I know I'm better sleeping on my own 'Cause if you like the way you look that much Oh, baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself For all the times that you made me feel small I fell in love, now I feel nothing at all I never felt so low when I was vulnerable Was I a fool to let you break down my walls? 'Cause if you like the way you look that much Oh, baby, you should go and love yourself And if you think that I'm still holdin' on to somethin' You should go and love yourself 'Cause if you like the way you look that much Oh, baby, you should go and love yourself (yeah) And if you think (you think) that I'm (that I'm) still holdin' on to somethin' You should go and love yourself",https://www.letras.mus.br/justin-bieber/love-yourself/
