title,author,lyric,lyric_en,href
Home,Edith Whiskers,"Alabama, Arkansas I do love my ma and pa Not the way that I do love you Well, holy moly, me oh my You're the apple of my eye Girl, I never loved one like you Man, oh, man, you're my best friend I scream it to the nothingness There ain't nothing that I need Well, hot and heavy pumpkin pie Chocolate candy, Jesus Christ Ain't nothing please me more than you Oh, home, let me come home Home is wherever I'm with you Oh, home, let me come home Home is wherever I'm with you La-la-la-la, take me home Mother, I'm coming home Da, da, da, da, da Da, da, da, da, da I'll follow you into the park Through the jungle, through the dark Girl, I never loved one like you Moats, and boats, and waterfalls Alleyways, and pay phone calls I been everywhere with you We laugh until we think we'll die Barefoot on a summer night Nothing new is sweeter than with you And in the streets you run a-free Like it's only you and me Jeez, you're something to see Oh, home, let me come home Home is whenever I'm with you Oh, home, let me come home Home is wherever I'm with you Home, let me come home Home is whenever I'm with you Oh, home, let me come home Home is wherever I'm with you","Alabama, Arkansas I do love my ma and pa Not the way that I do love you Well, holy moly, me oh my You're the apple of my eye Girl, I never loved one like you Man, oh, man, you' re my best friend I scream it to the nothingness There ain't nothing that I need Well, hot and heavy pumpkin pie Chocolate candy, Jesus Christ Ain't nothing please me more than you Oh, home, let me come home Home is wherever I'm with you Oh, home, let me come home Home is wherever I'm with you La-la-la-la, take me home Mother, I'm coming home Da, da, da, da, da Da, da, da, da, da I'll follow you into the park Through the jungle, through the dark Girl, I never loved one like you Moats, and boats, and waterfalls Alleyways, and pay phone calls I been everywhere with you We laugh until we think we'll die Barefoot on a summer night Nothing new is sweeter than with you And in the streets you run a-free Like it's only you and me Jeez, you're something to see Oh, home, let me come home Home is whenever I'm with you Oh, home, let me come home Home is wherever I'm with you Home, let me come home Home is whenever I'm with you Oh, home, let me come home Home is wherever I 'm with you",https://www.letras.mus.br/edith-whiskers/home/
Believer,Imagine Dragons,"First things first I'ma say all the words inside my head I'm fired up and tired of the way That things have been, oh-ooh The way that things have been, oh-ooh Second things second Don't you tell me what you think that I could be I'm the one at the sail, I'm the master of my sea, oh-ooh The master of my sea, oh-ooh I was broken from a young age Taking my sulking to the masses Writing my poems for the few That look at me, took to me, shook to me, feeling me Singing from heartache from the pain Taking my message from the veins Speaking my lesson from the brain Seeing the beauty through the Pain! You made me a, you made me a believer, believer Pain! You break me down and build me up, believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, they came from Pain! You made me a, you made me a believer, believer Third things third Send a prayer to the ones up above All the hate that you've heard Has turned your spirit to a dove, oh-ooh Your spirit up above, oh-ooh I was choking in the crowd Building my rain up in the cloud Falling like ashes to the ground Hoping my feelings, they would drown But they never did, ever lived, ebbing and flowing Inhibited, limited Till it broke open and rained down And rained down, like Pain! You made me a, you made me a believer, believer Pain! You break me down and build me up, believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, they  came from Pain! You made me a, you made me a believer, believer Last things last By the grace of the fire and the flames You're the face of the future The blood in my veins, oh-ooh The blood in my veins, oh-ooh But they never did, ever lived, ebbing and flowing Inhibited, limited Till it broke open and rained down And rained down, like Pain! You made me a, you made me a believer, believer Pain! You break me down and build me up, believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, they  came from Pain! You made me a, you made me a believer, believer","First things first I'ma say all the words inside my head I'm fired up and tired of the way That things have been, oh-ooh The way that things have been, oh-ooh Second things second Don't you tell me what you think that I could be I'm the one at the sail, I'm the master of my sea, oh-ooh The master of my sea, oh-ooh I was broken from a young age Taking my sulking to the masses Writing my poems for the few That look at me, took to me, shook to me, feeling me Singing from heartache from the pain Taking my message from the veins Speaking my lesson from the brain Seeing the beauty through the Pain! You made me a, you made me a believer, believer Pain! You break me down and build me up, believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, they came from Pain! You made me a, you made me a believer, believer Third things third Send a prayer to the ones up above All the hate that you've heard Has turned your spirit to a dove, oh-ooh Your spirit up above, oh-ooh I was choking in the crowd Building my rain up in the cloud Falling like ashes to the ground Hoping my feelings, they would drown But they never did, ever lived, ebbing and flowing Inhibited, limited Till it broke open and rained down And rained down , like Pain! You made me a, you made me a believer, believer Pain! You break me down and build me up, believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, they came from Pain! You made me a, you made me a believer, believer Last things last By the grace of the fire and the flames You're the face of the future The blood in my veins, oh-ooh The blood in my veins, oh-ooh But they never did, ever lived, ebbing and flowing Inhibited, limited Till it broke open and rained down And rained down, like Pain! You made me a, you made me a believer, believer Pain! You break me down and build me up, believer, believer Pain! Oh, let the bullets fly, oh, let them rain My life, my love, my drive, they came from Pain! You made me a, you made me a believer, believer",https://www.letras.mus.br/imagine-dragons/believer/
Wish You Were Here,Pink Floyd,"So, so you think you can tell Heaven from hell? Blue skies from pain? Can you tell a green field From a cold steel rail? A smile from a veil? Do you think you can tell? Did they get you to trade Your heroes for ghosts? Hot ashes for trees? Hot air for a cool breeze? Cold comfort for change? Did you exchange A walk on part in the war For a lead role in a cage? How I wish How I wish you were here We're just two lost souls Swimming in a fish bowl year after year Running over the same old ground What have we found? The same old fears Wish you were here","So, so you think you can tell Heaven from hell? Blue skies from pain? Can you tell a green field From a cold steel rail? A smile from a veil? Do you think you can tell? Did they get you to trade Your heroes for ghosts? Hot ashes for trees? Hot air for a cool breeze? Cold comfort for change? Did you exchange A walk on part in the war For a lead role in a cage? How I wish How I wish you were here We're just two lost souls Swimming in a fish bowl year after year Running over the same old ground What have we found? The same old fears Wish you were here",https://www.letras.mus.br/pink-floyd/63065/
Viva La Vida,Coldplay,"I used to rule the world Seas would rise when I gave the word Now in the morning I sleep alone Sweep the streets I used to own I used to roll the dice Feel the fear in my enemy's eyes Listened as the crowd would sing Now the old king is dead!  Long live the king! One minute I held the key Next the walls were closed on me And I discovered that my castles stand Upon pillars of salt and pillars of sand I hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain Once you'd gone, there was never Never an honest word That was when I ruled the world It was the wicked and wild wind Blew down the doors to let me in Shattered windows and the sound of drums People couldn't believe what I'd become Revolutionaries wait For my head on a silver plate Just a puppet on a lonely string Oh, who would ever want to be king? I hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world Ooh, ooh, ooh, ooh Hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world","I used to rule the world Seas would rise when I gave the word Now in the morning I sleep alone Sweep the streets I used to own I used to roll the dice Feel the fear in my enemy's eyes Listened as the crowd would sing Now the old king is dead!  Long live the king! One minute I held the key Next the walls were closed on me And I discovered that my castles stand Upon pillars of salt and pillars of sand I hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain Once you'd gone, there was never Never an honest word That was when I ruled the world It was the wicked and wild wind Blew down the doors to let me in Shattered windows and the sound of drums People couldn't believe what I'd become Revolutionaries wait For my head on a silver plate Just a puppet on a lonely string Oh, who would ever want to be king? I hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world Ooh, ooh, ooh, ooh Hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won' t call my name Never an honest word But that was when I ruled the world",https://www.letras.mus.br/coldplay/1253930/
One Of Us,Joan Osborne,"(So one of these nights and about twelve o'clock) (This old world's gonna reel and rock) (Saints will tremble and cry for pain) (For the Lord's gonna come in His heavenly airplane) Yeah, yeah, yeah, yeah If God had a name What would it be? And would you call it to His face If you were faced with Him in all His glory? What would you ask if you had just one question? And, yeah, yeah, God is great Yeah, yeah, God is good Yeah, yeah, yeah, yeah, yeah What if God was one of us? Just a slob like one of us Just a stranger on the bus Tryna make his way home If God had a face What would it look like? And would you wanna see If seein' meant that you would have to believe In things like heaven and in Jesus and the saints And all the prophets? And, yeah, yeah, God is great Yeah, yeah, God is good Yeah, yeah, yeah, yeah, yeah What if God was one of us? Just a slob like one of us Just a stranger on the bus Tryna make his way home Just tryna make his way home Back up to heaven all alone Nobody callin' on the phone 'Cept for the Pope, maybe, in Rome Yeah, yeah, God is great Yeah, yeah, God is good Yeah, yeah, yeah, yeah, yeah What if God was one of us? Just a slob like one of us Just a stranger on the bus Tryna make his way home Like a holy rollin' stone Back up to heaven all alone Just tryna make his way home Nobody callin' on the phone 'Cept for the Pope, maybe, in Rome","(So ​​one of these nights and about twelve o'clock) (This old world's gonna reel and rock) (Saints will tremble and cry for pain) (For the Lord's gonna come in His heavenly airplane) Yeah, yeah, yeah, yeah If God had a name What would it be? And would you call it to His face If you were faced with Him in all His glory? What would you ask if you had just one question? And, yeah, yeah, God is great Yeah, yeah, God is good Yeah, yeah, yeah, yeah, yeah What if God was one of us? Just a slob like one of us Just a stranger on the bus Tryna make his way home If God had a face What would it look like? And would you wanna see If seein' meant that you would have to believe In things like heaven and in Jesus and the saints And all the prophets? And, yeah, yeah, God is great Yeah, yeah, God is good Yeah, yeah, yeah, yeah, yeah What if God was one of us? Just a slob like one of us Just a stranger on the bus Tryna make his way home Just tryna make his way home Back up to heaven all alone Nobody callin' on the phone 'Cept for the Pope, maybe, in Rome Yeah, yeah, God is great Yeah, yeah, God is good Yeah, yeah, yeah, yeah, yeah What if God was one of us? Just a slob like one of us Just a stranger on the bus Tryna make his way home Like a holy rollin' stone Back up to heaven all alone Just tryna make his way home Nobody callin' on the phone 'Cept for the Pope, maybe, in Rome",https://www.letras.mus.br/joan-osborne/29618/
Your Love,The Outfield,"Josie's on a vacation far away Come around and talk it over So many things that I wanna say You know I like my girls a little bit older I just wanna use your love tonight I don't wanna lose your love tonight I ain't got many friends left to talk to Nowhere to run when I'm in trouble You know I'd do anything for you Stay the night but keep it undercover I just wanna use your love tonight, oh I don't wanna lose your love tonight Try to stop my hands from shaking But something in my mind's not making sense It's been a while since we've been all alone I can't hide the way I'm feeling As you're leaving, please, would you close the door? And don't forget what I told you Just 'cause you're right, that don't mean I'm wrong Another shoulder to cry upon I just wanna use your love tonight, yeah I don't wanna lose your love tonight, yeah I just wanna use your love tonight I don't wanna lose your love tonight I just wanna use your love tonight I don't wanna lose your love tonight (Use your love, lose your love) Your love (use your love) Well, I don't wanna lose (lose your—, tonight) I don't wanna, I don't wanna, I don't wanna lose (use your—, tonight) Your love (lose your—, tonight) Your love, your love (use your—, tonight) Your love (I don't wanna lose your love tonight) (Use your—, tonight)","Josie's on a vacation far away Come around and talk it over So many things that I wanna say You know I like my girls a little bit older I just wanna use your love tonight I don't wanna lose your love tonight I ain't got many friends left to talk to Nowhere to run when I'm in trouble You know I'd do anything for you Stay the night but keep it undercover I just wanna use your love tonight, oh I don't wanna lose your love tonight Try to stop my hands from shaking But something in my mind's not making sense It's been a while since we've been all alone I can't hide the way I'm feeling As you're leaving, please, would you close the door? And don't forget what I told you Just 'cause you're right, that don't mean I'm wrong Another shoulder to cry upon I just wanna use your love tonight, yeah I don't wanna lose your love tonight, yeah I just wanna use your love tonight I don't wanna lose your love tonight I just wanna use your love tonight I don't wanna lose your love tonight (Use your love, lose your love) Your love (use your love) Well , I don't wanna lose (lose your—, tonight) I don't wanna, I don't wanna, I don't wanna lose (use your—, tonight) Your love (lose your—, tonight) Your love , your love (use your—, tonight) Your love (I don't wanna lose your love tonight) (Use your—, tonight)",https://www.letras.mus.br/the-outfield/63254/
Fix You,Coldplay,"When you try your best, but you don't succeed When you get what you want, but not what you need When you feel so tired, but you can't sleep Stuck in reverse And the tears come streaming down your face When you lose something you can't replace When you love someone, but it goes to waste Could it be worse? Lights will guide you home And ignite your bones And I will try to fix you And high up above or down below When you're too in love to let it go But if you never try, you'll never know Just what you're worth Lights will guide you home And ignite your bones And I will try to fix you Tears stream down your face When you lose something you cannot replace Tears stream down your face And I Tears stream down your face I promise you, I'll learn from my mistakes Tears stream down your face And I Lights will guide you home And ignite your bones And I will try to fix you","When you try your best, but you don't succeed When you get what you want, but not what you need When you feel so tired, but you can't sleep Stuck in reverse And the tears come streaming down your face When you lose something you can't replace When you love someone, but it goes to waste Could it be worse? Lights will guide you home And ignite your bones And I will try to fix you And high up above or down below When you're too in love to let it go But if you never try, you'll never know Just what you're worth Lights will guide you home And ignite your bones And I will try to fix you Tears stream down your face When you lose something you cannot replace Tears stream down your face And I Tears stream down your face I promise you, I'll learn from my mistakes Tears stream down your face And I Lights will guide you home And ignite your bones And I will try to fix you",https://www.letras.mus.br/coldplay/183253/
Do I Wanna Know?,Arctic Monkeys,"Have you got colour in your cheeks? Do you ever get that fear that you can't shift The type that sticks around like summat in your teeth? Are there some aces up your sleeve? Have you no idea that you're in deep? I dreamt about you nearly every night this week How many secrets can you keep? 'Cause there's this tune I found That makes me think of you somehow And I play it on repeat Until I fall asleep Spilling drinks on my settee (Do I wanna know) If this feeling flows both ways? (Sad to see you go) Was sorta hoping that you'd stay (Baby, we both know) That the nights were mainly made For saying things that you can't say tomorrow day Crawling back to you Ever thought of calling when you've had a few? 'Cause I always do Maybe I'm too busy being yours to fall for somebody new Now, I've thought it through Crawling back to you So, have you got the guts? Been wondering if your heart's still open And if so, I wanna know what time it shuts Simmer down and pucker up I'm sorry to interrupt, it's just I'm constantly on the cusp Of trying to kiss you I don't know if you feel the same as I do But we could be together if you wanted to (Do I wanna know) If this feeling flows both ways? (Sad to see you go) Was sorta hoping that you'd stay (Baby, we both know) That the nights were mainly made For saying things that you can't say tomorrow day Crawling back to you (crawling back to you) Ever thought of calling when you've had a few? (You've had a few?) 'Cause I always do ('cause I always do) Maybe I'm too (maybe I'm too busy) Busy being yours (being yours) To fall for somebody new Now, I've thought it through Crawling back to you (Do I wanna know) If this feeling flows both ways? (Sad to see you go) Was sorta hoping that you'd stay (Baby, we both know) That the nights were mainly made For saying things that you can't say tomorrow day (Do I wanna know?) Too busy being yours to fall (Sad to see you go) Ever thought of calling, darling? (Do I wanna know?) Do you want me crawling back to you?","Have you got color in your cheeks? Do you ever get that fear that you can't shift The type that sticks around like summat in your teeth? Are there some aces up your sleeve? Have you no idea that you're in deep? I dream about you nearly every night this week How many secrets can you keep? 'Cause there's this tune I found That makes me think of you somehow And I play it on repeat Until I fall asleep Spilling drinks on my settee (Do I wanna know) If this feeling flows both ways? (Sad to see you go) Was sorta hoping that you'd stay (Baby, we both know) That the nights were mainly made For saying things that you can't say tomorrow day Crawling back to you Ever thought of calling when you' ve had a few? 'Cause I always do Maybe I'm too busy being yours to fall for somebody new Now, I've thought it through Crawling back to you So, have you got the guts? Been wondering if your heart's still open And if so, I wanna know what time it shuts Simmer down and pucker up I'm sorry to interrupt, it's just I'm constantly on the spit Of trying to kiss you I don't know if you feel the same as I do But we could be together if you wanted to (Do I wanna know) If this feeling flows both ways? (Sad to see you go) Was sorta hoping that you'd stay (Baby, we both know) That the nights were mainly made For saying things that you can't say tomorrow day Crawling back to you (crawling back to you) Ever thought of calling when you've had a few? (You've had a few?) 'Cause I always do ('cause I always do) Maybe I'm too (maybe I'm too busy) Busy being yours (being yours) To fall for somebody new Now, I' ve thought it through Crawling back to you (Do I wanna know) If this feeling flows both ways? (Sad to see you go) Was sorta hoping that you'd stay (Baby, we both know) That the nights were mainly made For saying things that you can't say tomorrow day (Do I wanna know?) Too busy being yours to fall (Sad to see you go) Ever thought of calling, darling? (Do I wanna know?) Do you want me crawling back to you?",https://www.letras.mus.br/arctic-monkeys/do-i-wanna-know/
Black,Pearl Jam,"Sheets of empty canvas Untouched sheets of clay Were laid spread out before me As her body once did All five horizons Revolved around her soul As the earth to the sun Now the air I tasted and breathed Has taken a turn Oh, and all I taught her was everything Oh, I know she gave me all that she wore And now my bitter hands Chafe beneath the clouds Of what was everything Oh, the pictures have All been washed in black Tattooed everything I take a walk outside I'm surrounded by some kids at play I can feel their laughter So, why do I sear? Oh, and twisted thoughts that spin round my head I'm spinning, oh, I'm spinning How quick the sun can drop away? And now my bitter hands Cradle broken glass Of what was everything All the pictures have All been washed in black Tattooed everything All the love gone bad Turned my world to black Tattooed all I see All that I am All that I'll be, yeah I know someday you'll have a beautiful life I know you'll be a star In somebody else's sky, but why? Why? Why Can't it be, oh, can't it be mine?","Sheets of empty canvas Untouched sheets of clay Were laid spread out before me As her body once did All five horizons Revolved around her soul As the earth to the sun Now the air I tasted and breathed Has taken a turn Oh, and all I taught her was everything Oh, I know she gave me all that she wore And now my bitter hands Chafe beneath the clouds Of what was everything Oh, the pictures have All been washed in black Tattooed everything I take a walk outside I'm surrounded by some kids at play I can feel their laughter So, why do I sear? Oh, and twisted thoughts that spin round my head I'm spinning, oh, I'm spinning How quickly the sun can drop away? And now my bitter hands Cradle broken glass Of what was everything All the pictures have All been washed in black Tattooed everything All the love gone bad Turned my world to black Tattooed all I see All that I am All that I'll be, yeah I know someday you'll have a beautiful life I know you'll be a star In somebody else's sky, but why? Why? Why can't it be, oh, can't it be mine?",https://www.letras.mus.br/pearl-jam/30319/
I Wanna Be Yours,Arctic Monkeys,"I wanna be your vacuum cleaner Breathing in your dust I wanna be your Ford Cortina I will never rust If you like your coffee hot Let me be your coffee pot You call the shots, babe I just wanna be yours Secrets I have held in my heart Are harder to hide than I thought Maybe I just wanna be yours I wanna be yours, I wanna be yours Wanna be yours Wanna be yours Wanna be yours Let me be your 'leccy meter And I'll never run out Let me be the portable heater That you'll get cold without I wanna be your setting lotion (wanna be) Hold your hair in deep devotion (how deep?) At least as deep as the Pacific Ocean I wanna be yours Secrets I have held in my heart Are harder to hide than I thought Maybe I just wanna be yours I wanna be yours, I wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours I wanna be your vacuum cleaner (wanna be yours) Breathing in your dust (wanna be yours) I wanna be your Ford Cortina (wanna be yours) I will never rust (wanna be yours) I just wanna be yours (wanna be yours) I just wanna be yours (wanna be yours) I just wanna be yours (wanna be yours)","I wanna be your vacuum cleaner Breathing in your dust I wanna be your Ford Cortina I will never rust If you like your coffee hot Let me be your coffee pot You call the shots, babe I just wanna be yours Secrets I have held in my heart Are harder to hide than I thought Maybe I just wanna be yours I wanna be yours, I wanna be yours Wanna be yours Wanna be yours Wanna be yours Let me be your 'leccy meter And I'll never run out Let me be the portable heater That you'll get cold without I wanna be your setting lotion (wanna be) Hold your hair in deep devotion (how deep?) At least as deep as the Pacific Ocean I wanna be yours Secrets I have held in my heart Are harder to hide than I thought Maybe I just wanna be yours I wanna be yours, I wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours I wanna be your vacuum cleaner (wanna be yours) Breathing in your dust (wanna be yours) I wanna be your Ford Cortina (wanna be yours) I will never rust (wanna be yours) I just wanna be yours (wanna be yours) I just wanna be yours ( wanna be yours) I just wanna be yours (wanna be yours)",https://www.letras.mus.br/arctic-monkeys/i-wanna-be-yours/
