title,author,lyric,lyric_en,href
Meu Lugar,Arlindo Cruz,"O meu lugar É caminho de Ogum e Iansã Lá tem samba até de manhã Uma ginga em cada andar O meu lugar É cercado de luta e suor Esperança num mundo melhor E cerveja pra comemorar O meu lugar Tem seus mitos e seres de luz É bem perto de Oswaldo Cruz Cascadura, Vaz Lobo, Irajá O meu lugar É sorriso, é paz e prazer O seu nome é doce dizer Madureira, la-la-iá Madureira, la-la-iá O meu lugar É caminho de Ogum e Iansã Lá tem samba até de manhã Uma ginga em cada andar, cada andar O meu lugar É cercado de luta e suor Esperança num mundo melhor E cerveja pra comemorar O meu lugar Tem seus mitos e seres de luz É bem perto de Oswaldo Cruz Cascadura, Vaz Lobo, Irajá O meu lugar É sorriso, é paz e prazer O seu nome é doce dizer Madureira, la-la-iá (vai) Madureira, la-la-iá Ah, que lugar A saudade me faz relembrar Os amores que eu tive por lá É difícil esquecer Doce lugar Que é eterno no meu coração E aos poetas traz inspiração Pra cantar e escrever Ai, meu lugar Quem não viu Tia Eulália dançar? Vó Maria o terreiro benzer? E ainda tem jongo à luz do luar Ah, que lugar Tem mil coisas pra gente dizer O difícil é saber terminar Madureira, ia-la-la-iá Madureira, la-la-la-iá Madureira Em cada esquina, um pagode, um bar Em Madureira Império e Portela também são de lá Em Madureira E no Mercadão você pode comprar Por uma pechincha, você vai levar Um dengo, um sonho pra quem quer sonhar Em Madureira E quem se habilita, até pode chegar Tem jogo de ronda, caipira e bilhar Buraco, sueca pro tempo passar Em Madureira E uma fezinha até posso fazer No grupo dezena, centena e milhar Pelos sete lados eu vou te cercar Em Madureira E la-la-la-ia-la-la-ia-la-la-iá E la-la-la-ia-la-la-ia-la-la-iá E la-la-la-ia-la-la-ia-la-la-iá (diz aí, gente) Em Madureira E la-la-la-ia-la-la-ia-la-la-iá E la-la-la-ia-la-la-ia-la-la-iá E la-la-la-ia-la-la-ia-la-la-iá Em Madureira, ia-la-iá Em madureira","My place Is the path of Ogum and Iansã There's samba until the morning A ginga on every floor My place Is surrounded by struggle and sweat Hope in a better world And beer to celebrate My place Has its myths and beings of light It's very close by Oswaldo Cruz Cascadura, Vaz Lobo, Irajá My place is a smile, peace and pleasure Your name is sweet to say Madureira, la-la-iá Madureira, la-la-iá My place is the path of Ogum and Iansã There you have it samba until the morning A sway on every floor, every floor My place Is surrounded by struggle and sweat Hope in a better world And beer to celebrate My place Has its myths and beings of light It's very close to Oswaldo Cruz Cascadura, Vaz Lobo, Irajá My place Is a smile, it's peace and pleasure Your name is sweet to say Madureira, la-la-iá (go) Madureira, la-la-iá Ah, what a place The longing makes me remember The loves I had there It's hard to forget Sweet place That is eternal in my heart And it brings inspiration to poets To sing and write Oh, my place Who hasn't seen Tia Eulália dance? Will Grandma Maria bless the yard? And there's still jongo under the moonlight Ah, what a place There's a thousand things for us to say The difficult thing is knowing how to finish Madureira, ia-la-la-iá Madureira, la-la-la-iá Madureira On every corner, a pagoda, a bar In Madureira Império and Portela are also from there In Madureira And in Mercadão you can buy For a bargain, you will get A dengo, a dream for those who want to dream In Madureira And whoever qualifies, can even arrive There is a round game, redneck and billiards Hole, Swedish for time to pass In Madureira And a little feat I can even do In the group ten, hundred and thousand On the seven sides I will surround you In Madureira And la-la-la-ia-la-la-ia-la-la -iá And la-la-la-ia-la-la-ia-la-la-iá And la-la-la-ia-la-la-ia-la-la-iá (say it, people) In Madureira And la-la-la-ia-la-la-ia-la-la-iá And la-la-la-ia-la-la-ia-la-la-iá And la-la-la-ia-la -la-ia-la-la-iá In Madureira, ia-la-iá In Madureira",https://www.letras.mus.br/arlindo-cruz/1131702/
Identidade,Jorge Aragão,"Elevador é quase um templo Exemplo pra minar teu sono Sai desse compromisso Não vai no de serviço Se o social tem dono, não vai Quem cede a vez não quer vitória Somos herança da memória Temos a cor da noite Filhos de todo açoite Fato real de nossa história Se preto de alma branca pra você É o exemplo da dignidade Não nos ajuda, só nos faz sofrer Nem resgata nossa identidade Se preto de alma branca pra você É o exemplo da dignidade Não nos ajuda, só nos faz sofrer Nem resgata nossa identidade Elevador é quase um templo Exemplo pra minar teu sono Sai desse compromisso Não vai no de serviço Se o social tem dono, não vai Quem cede a vez não quer vitória Somos herança da memória Temos a cor da noite Filhos de todo açoite Fato real de nossa história Se o preto de alma branca pra você É o exemplo da dignidade Não nos ajuda, só nos faz sofrer Nem resgata nossa identidade Se preto de alma branca pra você É o exemplo da dignidade Não nos ajuda, só nos faz sofrer Nem resgata nossa identidade Elevador é quase um templo Exemplo pra minar teu sono Sai desse compromisso Não vai no de serviço Se o social tem dono, não vai Quem cede a vez não quer vitória Somos herança da memória Temos a cor da noite Filhos de todo açoite Fato real de nossa história","Elevator is almost a temple Example to undermine your sleep Get out of this commitment Don't go to the service If the social has an owner, don't go Whoever gives in doesn't want victory We are the heritage of memory We have the color of the night Children of every lash Real fact of ours history If black with a white soul for you It's the example of dignity It doesn't help us, it only makes us suffer It doesn't even rescue our identity If black people with a white soul for you It's the example of dignity It doesn't help us, it only makes us suffer It doesn't rescue our identity Elevator It's almost a temple Example to undermine your sleep Get out of this commitment Don't go to work If the social has an owner, don't go Whoever gives in doesn't want victory We are the heritage of memory We have the color of the night Children of every scourge Real fact of our history If black people with a white soul for you Is an example of dignity Doesn't help us, just makes us suffer Doesn't rescue our identity If black people with a white soul for you Is an example of dignity Doesn't help us, just makes us suffer Doesn't rescue our identity Elevator It's almost a temple Example to undermine your sleep Get out of this commitment Don't go to work If the social has an owner, don't go Whoever gives in doesn't want victory We are the heritage of memory We have the color of the night Children of every scourge Real fact of our history",https://www.letras.mus.br/jorge-aragao/77012/
Andança,Beth Carvalho,"Vim, tanta areia andei Da Lua cheia, eu sei Uma saudade imensa Vagando em verso, eu vim Vestido de cetim Na mão direita, rosas Vou levar Olha a Lua mansa a se derramar (me leva, amor) Ao luar descansa, meu caminhar (amor) Meu olhar em festa se fez feliz (me leva, amor) Lembrando a seresta que um dia eu fiz (Por onde for, quero ser seu par) Já me fiz a guerra por não saber (me leva, amor) Que esta terra encerra meu bem-querer (amor) E jamais termina meu caminhar (me leva, amor) Só o amor me ensina onde vou chegar (Por onde for, quero ser seu par) Rodei de roda, andei Dança da moda, eu sei Cansei de ser sozinha Verso encantado, usei Meu namorado é rei Nas lendas do caminho Onde andei No passo da estrada, só faço andar (me leva, amor) Tenho meu amor pra me acompanhar (amor) Vim de longe léguas, cantando, eu vim (me leva, amor) Vou, não faço tréguas, sou mesmo assim (Por onde, for quero ser seu par) Já me fiz a guerra por não saber (me leva, amor) Que esta terra encerra meu bem-querer (amor) E jamais termina meu caminhar (me leva, amor) Só o amor me ensina onde vou chegar (Por onde for, quero ser seu par) (Me leva, amor) (Amor) (Me leva, amor) (Por onde for, quero ser seu par)","I came, I walked on so much sand From the full moon, I know An immense longing Wandering in verse, I came Dressed in satin In my right hand, roses I'll take Look at the gentle moon pouring out (take me, love) In the moonlight rest, my walk ( love) My look at the party made me happy (take me, love) Remembering the serenade that one day I took (Wherever I go, I want to be your partner) I've already made war on myself for not knowing (take me, love) That this land closes my well-wishes (love) And my journey never ends (takes me, love) Only love teaches me where I'm going (Wherever I go, I want to be your partner) I went around, I walked Fashionable dance, I know I'm tired of being alone Enchanted verse, I used My boyfriend is king In the legends of the path Where I walked Along the road, I just walk (take me, love) I have my love to accompany me (love) I came from far away, singing, I came (me Take me, love) I'm going, I don't make a truce, that's just the way I am (Wherever I go, I want to be your partner) I've already made war on myself because I don't know (take me, love) That this land contains my well-wishes (love) And never end my journey (take me, love) Only love teaches me where I'm going (Wherever I go, I want to be your partner) (Take me, love) (Love) (Take me, love) (Wherever I go, I want to be yours pair)",https://www.letras.mus.br/beth-carvalho/44505/
Faz Uma Loucura Por Mim,Alcione,"Faz uma loucura por mim Sai gritando por aí, bebendo, e chora Toma um porre, picha um muro que me adora Faz uma loucura por mim Fica até de madrugada, perde a hora Sai comigo pra gandaia noite afora Só assim eu acredito nessa história Que você sentiu saudades de me ter Põe na prática besteiras da memória Pensa menos, faz de tudo, manda ver Vem pra dentro, tenta ser da mesma escória Como já fiz mil loucuras por você (Nós dois) se é pra recomeçar, que seja até o fim (Nós dois) se não é pra ficar, não gaste o seu latim (Nós dois) só posso te aceitar ao ver que você faz Uma loucura por mim, uma loucura por mim (Depois) que você me provar que vai fazer assim (Depois) você pode provar o que quiser de mim (Depois) já posso acreditar que você foi capaz De uma loucura por mim Só assim eu acredito nessa história Que você sentiu saudades de me ter Põe na prática besteiras da memória Pensa menos, faz de tudo, manda ver Vem pra dentro, tenta ser da mesma escória Como já fiz mil loucuras por você (Nós dois) se é pra recomeçar, que seja até o fim (Nós dois) se não é pra ficar, não gaste o seu latim (Nós dois) só posso te aceitar ao ver que você faz Uma loucura por mim, uma loucura por mim (Depois) que você me provar que vai fazer assim (Depois) você pode provar o que quiser de mim (Depois) já posso acreditar que você foi capaz De uma loucura por mim Faz uma loucura por mim Se tem outra em tua vida, manda embora","He does something crazy for me He goes around shouting, drinking, and cries Gets drunk, spray paints a wall that loves me He does something crazy for me He stays until dawn, wastes time Goes out with me and hangs out into the night Only then will I believe in this story That you missed having me Put into practice stupid things from memory Think less, do everything, get it done Come inside, try to be the same scum As I've already done a thousand crazy things for you (Both of us) if it's to start over, let it be until the end end (Both of us) if it's not to stay, don't waste your Latin (Both of us) I can only accept you when I see what you do Crazy for me, crazy for me (After) you prove to me that you're going to do it like this ( Afterwards) you can prove whatever you want about me (Afterwards) I can now believe that you were capable of going crazy for me Only then will I believe in this story That you missed having me Put nonsense into practice Think less, do everything , let's see Come inside, try to be the same scum As I've done a thousand crazy things for you (Both of us) if it's to start over, let it be until the end (Both of us) if it's not to stay, don't waste your Latin (We two) I can only accept you when I see what you do Crazy for me, crazy for me (After) you prove to me that you will do it like this (After) you can prove whatever you want about me (After) I can already believe that you He was capable of doing something crazy for me Do something crazy for me If there's someone else in your life, send him away",https://www.letras.mus.br/alcione/83457/
Você Me Vira a Cabeça (Me Tira do Sério),Alcione,"Você me vira a cabeça, me tira do sério Destrói os planos que um dia eu fiz pra mim Me faz pensar por que que a vida é assim Eu sempre vou e volto pros teus braços Você não me quer de verdade No fundo eu sou tua vaidade Eu vivo seguindo teus passos Eu sempre estou presa em teus laços É só você chamar que eu vou (Por que você não vai embora de vez?) (Por que não me liberta dessa paixão?) Por quê? (Por que você não diz que não me quer mais?) (Por que não deixa livre o meu coração?) Mas tem que me prender (tem!) Tem que seduzir (tem!) Só pra me deixar louca por você Só pra ter alguém Que vive sempre ao seu dispor Por um segundo de amor Mas tem que me prender (tem!) Tem que seduzir (tem!) Só pra me deixar louca por você Só pra ter alguém Que vive sempre ao seu dispor Por um segundo de amor Você não me quer de verdade No fundo eu sou tua vaidade Eu vivo seguindo teus passos Eu sempre estou presa em teus laços É só você chamar que eu vou (Por que você não vai embora de vez?) Por que você não vai embora? (Por que não me liberta dessa paixão?) Por quê? (Por que você não diz que não me quer mais?) (Por que não deixa livre o meu coração?) Mas tem que me prender (tem!) Tem que seduzir (tem!) Só pra me deixar louca por você Só pra ter alguém Que vive sempre ao seu dispor Por um segundo de amor Mas tem que me prender (tem!) Tem que seduzir (tem!) Só pra me deixar louca por você Só pra ter alguém Que vive sempre ao seu dispor Por um segundo de amor Mas tem que me prender (tem!) Tem que seduzir (tem!) Só pra me deixar louca por você Só pra ter alguém Que vive sempre ao seu dispor Por um segundo de amor","You turn my head, take me out of my mind Destroy the plans I once made for myself Make me wonder why life is like this I always go back and forth to your arms You don't really want me Deep down I'm your vanity I live following your footsteps I'm always trapped in your bonds Just call and I'll come (Why don't you leave for good?) (Why don't you free me from this passion?) Why? (Why don't you say you don't want me anymore?) (Why don't you set my heart free?) But you have to arrest me (you have!) You have to seduce (you have!) Just to make me crazy about you Just to have someone Who always lives at your disposal For a second of love But you have to arrest me (you have!) You have to seduce (you have!) Just to make me crazy about you Just to have someone Who always lives at your disposal For a second of love You don't really want me Deep down I'm your vanity I live following your footsteps I'm always trapped in your bonds Just call and I'll come (Why don't you leave for good?) Why don't you leave? (Why don't you free me from this passion?) Why? (Why don't you say you don't want me anymore?) (Why don't you set my heart free?) But you have to arrest me (you have!) You have to seduce (you have!) Just to make me crazy for you Just to have someone Who always lives at your disposal For a second of love But you have to arrest me (you have!) You have to seduce (you have!) Just to make me crazy about you Just to have someone Who always lives at your disposal For a second of love But you have to arrest me (you have!) You have to seduce (you have!) Just to make me crazy about you Just to have someone Who always lives at your disposal For a second of love",https://www.letras.mus.br/alcione/82690/
Preciso Me Encontrar,Cartola,"Deixe-me ir, preciso andar Vou por aí a procurar Rir pra não chorar Deixe-me ir, preciso andar Vou por aí a procurar Rir pra não chorar Quero assistir ao Sol nascer Ver as águas dos rios correr Ouvir os pássaros cantar Eu quero nascer Quero viver Deixe-me ir, preciso andar Vou por aí a procurar Rir pra não chorar Se alguém por mim perguntar Diga que eu só vou voltar Depois que me encontrar Quero assistir ao Sol nascer Ver as águas dos rios correr Ouvir os pássaros cantar Eu quero nascer Quero viver Deixe-me ir, preciso andar Vou por aí a procurar Rir pra não chorar Deixe-me ir, preciso andar Vou por aí a procurar Sorrir pra não chorar Deixe-me ir, preciso andar Vou por aí a procurar Sorrir pra não chorar (Deixe-me ir, preciso andar) (Vou por aí a procurar)","Let me go, I need to walk I'm going around looking for Laughing so I don't cry Let me go, I need to walking I'm going around looking for Laughing so I don't cry I want to watch the sun rise See the waters of the rivers run Hear the birds sing I want to be born I want to live Let me go, I need to walk I'll go looking for it Laugh so I don't cry If someone asks me Tell me I'll just come back After I find myself I want to watch the sun rise See the waters of the rivers run Hear the birds sing I want born I want to live Let me go, I need to walk I'm going around looking for Laughing so I don't cry Let me go, I need to walk I'm going around looking for Smiling so I don't cry Let me go, I need to walk I'm going around looking for Smiling so I don't cry (Let me go, I need to walk) (I'll go looking)",https://www.letras.mus.br/cartola/68347/
Aquarela do Brasil,Ary Barroso,"Brasil, meu Brasil brasileiro Meu mulato inzoneiro Vou cantar-te nos meus versos O Brasil, samba que dá Bamboleio, que faz gingar O Brasil do meu amor Terra de Nosso Senhor Brasil! Brasil! Pra mim! Pra mim! Ô, abre a cortina do passado Tira a mãe preta do cerrado Bota o rei congo no congado Brasil! Brasil! Deixa cantar de novo o trovador À merencória luz da Lua Toda canção do meu amor Quero ver essa Dona caminhando Pelos salões, arrastando O seu vestido rendado Brasil! Brasil! Pra mim! Pra mim! Brasil, terra boa e gostosa Da morena sestrosa De olhar indiscreto O Brasil, verde que dá Para o mundo se admirar O Brasil do meu amor Terra de Nosso Senhor Brasil! Brasil! Pra mim! Pra mim! Ô! Esse coqueiro que dá coco Onde eu amarro a minha rede Nas noites claras de luar Brasil! Brasil! Ô! Estas fontes murmurantes Onde eu mato a minha sede E onde a Lua vem brincar Ô! Esse Brasil lindo e trigueiro É o meu Brasil brasileiro Terra de samba e pandeiro Brasil! Brasil! Pra mim! Pra mim!","Brazil, my Brazilian Brazil My inzoneiro mulatto I will sing to you in my verses O Brazil, a samba that makes you waddle, that makes you sway The Brazil of my love Land of Our Lord Brazil! Brazil! For me! For me! Hey, open the curtain on the past Take the black mother out of the cerrado Put the king of Congo in congado Brazil! Brazil! Let the troubadour sing again In the miserable light of the Moon Every song of my love I want to see this Lady walking Through the halls, dragging Her lace dress Brazil! Brazil! For me! For me! Brazil, good and delicious land Of the sexy brunette With indiscreet eyes Brazil, green enough For the world to admire The Brazil of my love Land of Our Lord Brazil! Brazil! For me! For me! O! This coconut tree that grows coconuts Where I tie my hammock On clear moonlit nights Brazil! Brazil! O! These murmuring fountains Where I quench my thirst And where the Moon comes to play Oh! This beautiful and swarthy Brazil Is my Brazilian Brazil Land of samba and tambourine Brazil! Brazil! For me! For me!",https://www.letras.mus.br/ary-barroso/163032/
Fulminante,Mumuzinho,"Eu amei Nem sempre se calcula o risco Mesmo assim, eu amei Desperdicei tanto sorriso Mas, no fim, eu chorei Mas deixa eu chorar, eu posso me virar sozinho Eu sobrevivo sem carinho pra ninguém me machucar Eu ando desacreditado, o amor passou e fez estrago E o melhor é me fechar, me fechar Aí você vem, me deu proteção Baixou minha guarda, mexeu com a emoção Tiro fulminante no meu coração Já era, já era O amor, quando cerca, não dá pra correr Pode até ferir, mas eu quero viver Eu corro esse risco se for com você Já era, já era O amor Eu amei Nem sempre se calcula o risco Mesmo assim, eu amei Desperdicei tanto sorriso Mas, no fim, eu chorei Mas deixa eu chorar, eu posso me virar sozinho Eu sobrevivo sem carinho pra ninguém me machucar Eu ando desacreditado, o amor passou e fez estrago E o melhor é me fechar, me fechar Aí você vem, me deu proteção Baixou minha guarda, mexeu com a emoção Tiro fulminante no meu coração Já era, já era O amor, quando cerca, não dá pra correr Pode até ferir, mas eu quero viver Eu corro esse risco se for com você Já era, já era Aí você vem, me deu proteção Baixou minha guarda, mexeu com a emoção Tiro fulminante no meu coração Já era, já era O amor, quando cerca, não dá pra correr Pode até ferir, mas eu quero viver Eu corro esse risco se for com você Já era, já era O amor Já era, já era O amor Eu amei","I loved You don't always calculate the risk Still, I loved I wasted so much smile But, in the end, I cried But let me cry, I can manage on my own I survive without affection so no one can hurt me I'm discredited, love passed and did damage And the best thing is to close me, close me Then you came, gave me protection You let my guard down, you messed with my emotions A withering shot in my heart It's gone, it's gone Love, when it surrounds, you can't run away It may even hurt, but I want to live I'll take that risk if it's with you It's gone, it's gone The love I loved You don't always calculate the risk Even so, I loved I wasted so much smiling But, in the end, I cried But let me cry, I can manage alone I survive without affection so that no one can hurt me I'm discredited, love passed and did damage And the best thing is to close myself, close myself Then you came, gave me protection You let my guard down, messed with my emotions A withering shot to my heart It's gone , it's gone Love, when it surrounds you, you can't run away It may even hurt, but I want to live I'll take that risk if it's with you It's gone, it's gone Here you come, you gave me protection You let my guard down, you messed with the emotions Shot fulminant in my heart It's gone, it's gone Love, when it surrounds, you can't run away It may even hurt, but I want to live I'll take that risk if it's with you It's gone, it's gone Love It's gone, it's gone Love I I loved",https://www.letras.mus.br/mumuzinho/fulminante/
Trem Das Onze,Adoniran Barbosa,"Não posso ficar nem mais um minuto com você Sinto muito, amor, mas não pode ser Moro em Jaçanã Se eu perder esse trem Que sai agora, às onze horas Só amanhã de manhã Não posso ficar nem mais um minuto com você Sinto muito, amor, mas não pode ser Moro em Jaçanã Se eu perder esse trem Que sai agora, às onze horas Só amanhã de manhã Além disso, mulher Tem outra coisa Minha mãe não dorme Enquanto eu não chegar Sou filho único Tenho minha casa pra olhar Não posso ficar Não posso ficar nem mais um minuto com você Sinto muito, amor, mas não pode ser Moro em Jaçanã Se eu perder esse trem Que sai agora, às onze horas Só amanhã de manhã Além disso, mulher Tem outra coisa Minha mãe não dorme Enquanto eu não chegar Sou filho único Tenho minha casa pra olhar Não posso ficar","I can't stay one more minute with you I'm sorry, love, but it can't be I live in Jaçanã If I miss this train That leaves now, at eleven o'clock Only tomorrow morning I can't stay one more minute with you I'm sorry, love , but it can't be I live in Jaçanã If I miss this train That leaves now, at eleven o'clock Only tomorrow morning Besides, woman There's something else My mother won't sleep Until I arrive I'm an only child I have my house to look at I can't stay I can't spend another minute with you I'm sorry, love, but it can't be I live in Jaçanã If I miss this train That leaves now, at eleven o'clock Only tomorrow morning Besides, woman There's something else My mother doesn't sleep While I not arriving I'm an only child I have my house to look at I can't stay",https://www.letras.mus.br/adoniran-barbosa/173850/
A Grande Família,Dudu Nobre,"Esta família é muito unida E também muito ouriçada Brigam por qualquer razão Mas acabam pedindo perdão Pirraça pai, pirraça mãe Pirraça filha Eu também sou da família Também quero pirraçar Catuca pai, catuca mãe Catuca filha Eu também sou da família Também quero catucar Catuca pai, mãe Filha Eu também sou da família Também quero catucar Que família, hein? Catuca quais Quais, quais, quais, quais, quais, quais Quais, quais, quais, quais, quais, quais Quais Esta família é muito unida E também muito ouriçada Brigam por qualquer razão Mas acabam pedindo perdão Pirraça pai, pirraça mãe Pirraça filha Eu também sou da família Também quero pirraçar Catuca pai, catuca mãe Catuca filha Eu também sou da família Também quero catucar Catuca pai, mãe Filha Eu também sou da família Também quero catucar Êta swingueira da boa! (vamo que vamo) Esta família é muito unida E também muito ouriçada Brigam por qualquer razão Mas sempre acabam pedindo perdão Pirraça pai, pirraça mãe Pirraça filha Sou da família Também quero pirraçar Catuca pai, catuca mãe Catuca filha Eu também sou da família Também quero catucar Catuca pai, mãe Filha Eu sou da família Também quero catucar Catuca quais Quais, quais, quais, quais, quais, quais Quais, quais, quais, quais, quais, quais Quais Êta família! Catuca quais Quais, quais, quais, quais, quais, quais Quais, quais, quais, quais, quais, quais Quais Uma tem medo de barata O outro tem medo de ladrão A filha só pensa no namorado Ei, ei, cumpade! Num fala de boca cheia na mesa","This family is very united And also very angry They fight for whatever reason But they end up asking for forgiveness Peeves father, peeves mother Peeves daughter I'm also part of the family I also want to tantrum Catuca father, catuca mother Catuca daughter I'm also part of the family I also want to catucate Catuca father, mother Daughter I'm also part of the family I also want to catucate What a family, huh? Catuca which ones Which ones, which ones, which ones, which ones, which ones Which ones, which ones, which ones, which ones, which ones, which ones Which ones This family is very united And also very angry They fight for whatever reason But they end up asking for forgiveness Peeves father, Peeves mother Peeves daughter Me I'm also part of the family I also want to freak out Catuca father, catuca mother Catuca daughter I'm also part of the family I also want to catucate Catuca father, mother Daughter I'm also part of the family I also want to catucate That's a good swingueira! (let's go) This family is very united And also very angry They fight for whatever reason But they always end up asking for forgiveness Peeves father, pet peeves mother Peeves daughter I'm part of the family I also want to prank Father, catuca mother Catuca daughter I'm also part of the family I also want to catucar Catuca father, mother Daughter I'm part of the family I also want to catucar Catuca which Which, which, which, which, which, which Which, which, which, which, which, which Which Which is the family! Catuca which ones Which, which, which, which, which, which Which, which, which, which, which, which Which One is afraid of cockroaches The other is afraid of robbers The daughter only thinks about her boyfriend Hey, hey, cumpade! Never speak with your mouth full at the table",https://www.letras.mus.br/dudu-nobre/45592/
