title,author,lyric,lyric_en,href
Palavras de Perdão,Marília Tavares,"Culpada Eu mereço adjetivo de culpada Eu fui incompreensível, até chamei de drama os seus traumas Desculpa o meu ciúme em excesso E as vergonhas que te fiz passar no meio do povo Todas as vezes que eu te pisei com meu ego O que doeu em você Pode ter certeza que tá doendo em mim em dobro Mesmo sabendo que eu tava bloqueada Digitei essas palavras de perdão com eu te amo Do nada, mensagem visualizada E gelei quando eu vi um digitando e recebi um Oi, cheguei a ver seu sofrimento na mensagem Não é qualquer um que tem essa maturidade Que bom que você enxergou que tava errada Se dependesse de mim, tava perdoada Eu sei que é foda carregar todo esse peso Saudade acumulada muda a gente mesmo É uma pena eu não ser quem você ama Eu virei dono desse chip essa semana Ai, ai Ai, ah Mesmo sabendo que eu tava bloqueada Digitei essas palavras de perdão com eu te amo Do nada, mensagem visualizada E gelei quando eu vi um digitando e recebi um Oi, cheguei a ver seu sofrimento na mensagem Não é qualquer um que tem essa maturidade Que bom que você enxergou que tava errada Se dependesse de mim, tava perdoada Eu sei que é foda carregar todo esse peso Saudade acumulada muda a gente mesmo É uma pena eu não ser quem você ama Eu virei dono desse chip essa semana Oh, oh, oh Que bom que você enxergou que tava errada Se dependesse de mim, tava perdoada Eu sei que é foda carregar todo esse peso Saudade acumulada muda a gente mesmo É uma pena eu não ser quem você ama Eu virei dono desse chip essa semana Ai, ai Ai, ah É uma pena eu não ser quem você ama Eu virei dono desse chip essa semana","Guilty I deserve the adjective of guilty I was incomprehensible, I even called your traumas a drama Excuse my excessive jealousy And the shame I made you go through among the people All the times I trampled on you with my ego What hurt you Can I'm sure it's hurting me twice as much Even though I knew I was blocked I typed these words of forgiveness with I love you Out of nowhere, message viewed And I froze when I saw someone typing and received a Hi, I even saw your suffering in the message Isn't it anyone who has this maturity I'm glad you realized you were wrong If it were up to me, you'd be forgiven I know it's hard to carry all this weight Accumulated longing really changes us It's a shame I'm not the one you love I'll become the owner of this chip this week Ai, ai Ai, ah Even though I knew I was blocked I typed these words of forgiveness with I love you Out of nowhere, message viewed And I froze when I saw someone typing and received a Hi, I got to see your suffering in the message It's not just any one who has this maturity It's good that you saw that you were wrong If it were up to me, you would be forgiven I know it's hard to carry all this weight Accumulated longing really changes us It's a shame I'm not the one you love I became the owner of this chip this time week Oh, oh, oh I'm glad you realized you were wrong If it were up to me, you'd be forgiven I know it's hard to carry all this weight Accumulated longing really changes us It's a shame I'm not the one you love I'll become the owner of this chip this week Ai, ai Ai, ah It's a shame I'm not the one you love I became the owner of this chip this week",https://www.letras.mus.br/marilia-tavares/palavras-de-perdao/
Decida,Milionário e José Rico,"No amor, há momentos Que temos que dizer um para o outro: Decida Sente aqui comigo no sofá e vamos conversar É hora de abrir o jogo Nosso amor está indo água abaixo Se deixar, vira relaxo Temporal apaga o fogo Por que você não olha nos meus olhos? Seu beijo não tem o mesmo sabor O seu carinho não me faz dormir Nem sua quando a gente faz amor Você só vai tomar banho sozinha Na hora do jantar, me diz que já comeu Não vê novelas e nem liga o som Diz que não tem nada bom que satisfaça o ego seu Você se esqueceu Que dentro desta casa eu existo Que em 82 casou comigo Por isso exijo uma explicação Se sou eu que te incomodo Pra te fazer feliz, fiz o que pude Mas o incomodado é que se mude Você quem vai tomar a decisão Decida Se vai embora ou ficar comigo Se vai me respeitar como marido Pois desse jeito não estou aguentando Decida Ou pare de uma vez com esse delírio Talvez você precise usar colírio Pra enxergar o quanto ainda te amo Você se esqueceu Que dentro desta casa eu existo Que em 82 casou comigo Por isso exijo uma explicação Se sou eu que te incomoda Pra te fazer feliz, fiz o que pude Mas o incomodado é que se mude Você quem vai tomar a decisão Decida Se vai embora ou ficar comigo Se vai me respeitar como marido Pois desse jeito não estou aguentando Decida Ou pare de uma vez com esse delírio Talvez você precise usar colírio Pra enxergar o quanto ainda te amo Decida Se vai embora ou ficar comigo Se vai me respeitar como marido Pois desse jeito não estou aguentando Decida Ou pare de uma vez com esse delírio Talvez você precise usar colírio Pra enxergar o quanto ainda te amo","In love, there are moments That we have to say to each other: Decide Sit here with me on the couch and let's talk It's time to open the game Our love is going downhill If you let it, it becomes relaxed Weather puts out the fire Why don't you look at us my eyes? Your kiss doesn't have the same flavor Your affection doesn't make me sleep You don't even sweat when we make love You just go take a shower alone When it's time for dinner, you tell me you've already eaten You don't watch soap operas or turn on the sound You say there's nothing It's good that it satisfies your ego You forgot That inside this house I exist Who married me in 82 That's why I demand an explanation If it's me who bothers you To make you happy, I did what I could But what bothers you is that you move out You're the one who goes make the decision Decide If you're going to leave or stay with me If you're going to respect me as a husband Because I can't handle it like this Decide Or stop this delusion once and for all Maybe you need to use eye drops To see how much I still love you You forgot That inside this house I exist Who married me in 82 That's why I demand an explanation If it's me who bothers you To make you happy, I did what I could But what bothers me is that you move You're the one who's going to make the decision Decide If you're going to leave or stay with me If you're going to me respect me as a husband Because I can't handle it like this Decide Or stop this delusion once and for all Maybe you need to use eye drops To see how much I still love you Decide Whether to leave or stay with me If you're going to respect me as a husband Because I can't handle it like this Decide Or stop this delusion once and for all Maybe you need to use eye drops To see how much I still love you",https://www.letras.mus.br/milionario-e-jose-rico/83421/
EU SOU SENTIMENTO (part. Luan Pereira),Luan Santana,"Uou, uou, uou Ô, ô, ô Desculpa, eu não ouvi você falar Seu sorriso ativou o meu TDAH A sua boca mexendo Vento batendo no seu cabelo pra lá e pra cá É que eu sou sentimento É que eu sou sentimento Não é que o assunto tá chato É que, na minha cabeça, outro assunto tá falando alto É que eu achei um espaço Pra fazer uma tattoo de um pezinho no braço Eu sou sentimento É que eu sou sentimento Eu esqueço a chave com a chave na mão Eu saio de carro, volto de busão Porque ultimamente Cê é tipo um refrão na minha mente Tirando a atenção Eu esqueço a chave com a chave na mão Eu saio de carro, volto de busão Porque ultimamente Cê é tipo um refrão na minha mente Tirando a atenção Porque eu sou sentimento Porque eu sou sentimento Porque eu sou sentimento Porque eu sou sentimento (porque eu sou sentimento) Desculpe, não ouvi você falar Seu sorriso ativou o meu TDAH A sua boca mexendo O vento batendo no seu cabelo pra lá e pra cá É que eu sou sentimento É que eu sou sentimento Não é que o assunto tá chato É que, na minha cabeça, outro assunto tá falando alto É que eu achei um espaço Pra fazer uma tattoo de um pezinho no braço Eu sou sentimento É que eu sou sentimento Eu esqueço a chave com a chave na mão Eu saio de carro, volto de busão Porque ultimamente Cê é tipo um refrão na minha mente Tirando a atenção Eu esqueço a chave com a chave na mão Eu saio de carro, volto de busão Porque ultimamente Cê é tipo um refrão na minha mente Tirando a atenção Porque eu sou sentimento Porque eu sou sentimento Porque eu sou sentimento Porque eu sou sentimento (porque eu sou sentimento)","Whoa, whoa, whoa Whoa, whoa, whoa Sorry, I didn't hear you talking Your smile activated my ADHD Your mouth moving Wind blowing your hair back and forth It's just that I'm a feeling It's that I'm a feeling It's not that the subject is boring It's just that, in my head, another subject is talking loudly It's that I found a space To get a tattoo of a little foot on my arm I'm a feeling It's that I'm a feeling I forget the key with the key in my hand I leave by car, I come back by bus Because lately It's like a chorus in my mind Taking away my attention I forget the key with the key in my hand I leave by car, I come back by bus Because lately It's like a chorus in my mind Taking away my attention Because I am feeling Because I am feeling Because I am feeling Because I am feeling (because I am feeling) Sorry, I didn't hear you speak Your smile activated my ADHD Your mouth moving The wind blowing your hair back and forth It's just that I am feeling It's just that I am feeling It's not that the subject is boring It's just that, in my head, another subject is speaking loudly It's that I found a space To get a tattoo of a little foot on my arm I am feeling It's that I am feeling I forget the key with the key in my hand I leave by car, I return by bus Because lately You're like a chorus in my mind Taking away attention I forget the key with the key in my hand I leave by car, I return by bus Because lately You It's like a chorus in my mind Taking attention away Because I'm a feeling Because I'm a feeling Because I'm a feeling Because I'm a feeling (because I'm a feeling)",https://www.letras.mus.br/luan-santana/eu-sou-sentimento-part-luan-pereira/
Tocando Em Frente,Almir Sater,"Ando devagar Porque já tive pressa E levo esse sorriso Porque já chorei demais Hoje me sinto mais forte Mais feliz, quem sabe Só levo a certeza De que muito pouco sei Ou nada sei Conhecer as manhas E as manhãs O sabor das massas E das maçãs É preciso amor Pra poder pulsar É preciso paz pra poder sorrir É preciso a chuva para florir Penso que cumprir a vida Seja simplesmente Compreender a marcha E ir tocando em frente Como um velho boiadeiro Levando a boiada Eu vou tocando os dias Pela longa estrada, eu vou Estrada eu sou Conhecer as manhas E as manhãs O sabor das massas E das maçãs É preciso amor Pra poder pulsar É preciso paz pra poder sorrir É preciso a chuva para florir Todo mundo ama um dia Todo mundo chora Um dia a gente chega E no outro vai embora Cada um de nós compõe a sua história E cada ser em si carrega o dom de ser capaz De ser feliz Conhecer as manhas E as manhãs O sabor das massas E das maçãs É preciso amor Pra poder pulsar É preciso paz pra poder sorrir É preciso a chuva para florir Ando devagar Porque já tive pressa E levo esse sorriso Porque já chorei demais Cada um de nós compõe a sua história E cada ser em si carrega o dom de ser capaz E ser feliz","I walk slowly Because I was in a hurry And I carry that smile Because I've cried too much Today I feel stronger Happier, who knows I'm only certain That I know very little Or I know nothing Knowing the tricks And the mornings The taste of pasta And apples It's I need love To be able to pulsate It is necessary to have peace to be able to smile It is necessary to have rain to bloom I think that fulfilling life is simply Understanding the march And moving forward Like an old cattle driver Leading the herd I go through the days Along the long road, I go I am the road Knowing the tricks And the mornings The taste of pasta And apples It takes love To be able to pulse It's necessary peace to be able to smile It's necessary rain to bloom Everyone loves one day Everyone cries One day we arrive And the next go away Each one of us composes our own story And each being in itself carries the gift of being capable Of being happy Knowing the tricks And the mornings The taste of pasta And apples It takes love To be able to pulse It is necessary peace to be able to smile Yeah I need the rain to bloom I walk slowly Because I was in a hurry And I carry that smile Because I cried too much Each one of us composes our own story And each being in itself carries the gift of being capable And being happy",https://www.letras.mus.br/almir-sater/44082/
Melação (part. Luan Santana),Zé Neto e Cristiano,"Sexta-feira, balada cheia, tomando uma de leve Assim, qualquer solteiro esquece De repente a minha pressão desce Do nada, minha ex aparece Chegou de mão dada, dançou com um cara Tava de boa, até que ela me viu Aí que o show começou e a vergonha dela sumiu Quando virou melação, minha superação escorregou e caiu Meu olho derramou saudade Vi beijão e passada de mão que eu não queria ver Pior que ela foi covarde Enfiou a faca no meu coração e acabou de torcer Meu olho derramou saudade Vi beijão e passada de mão que eu não queria ver Pior que ela foi covarde Enfiou a faca no meu coração e acabou de torcer Sha-la-lá, sha-la-la-la-la-lá Sha-la-lá, sha-la-la-la-la-lá Chegou de mão dada, dançou com um cara Tava de boa, até que ela me viu Aí que o show começou e a vergonha dela sumiu Quando virou melação, minha superação escorregou e caiu Meu olho derramou saudade Vi beijão e passada de mão que eu não queria ver Pior que ela foi covarde Enfiou a faca no meu coração e acabou de torcer Meu olho derramou saudade Vi beijão e passada de mão que eu não queria ver Pior que ela foi covarde Enfiou a faca no meu coração e acabou de torcer Sha-la-lá, sha-la-la-la-la-lá Sha-la-lá, sha-la-la-la-la-lá Sha-la-lá, sha-la-la-la-la-lá Sha-la-lá, sha-la-la-la-la-lá","Friday, full nightclub, taking a light drink Like this, any single person forgets Suddenly my blood pressure drops Out of nowhere, my ex appears She arrived hand in hand, danced with a guy I was having a good time, until she saw me Then the show It started and her shame disappeared When it turned into molasses, my overcoming slipped and fell My eye spilled longing I saw kisses and handshakes that I didn't want to see Worse than she was a coward She stuck the knife in my heart and just twisted My eye spilled longing I saw kiss and handshake that I didn't want to see Worse than she was a coward She stuck the knife in my heart and finished twisting it Sha-la-lá, sha-la-la-la-la-lá Sha-la-lá, sha- la-la-la-la-lá She arrived hand in hand, danced with a guy She was cool, until she saw me Then the show started and her shame disappeared When it turned into molasses, my overcoming slipped and fell My eyes shed nostalgia I saw a kiss and a hand that I didn't want to see Worse than she was a coward She stuck the knife in my heart and just twisted My eyes filled with nostalgia I saw a kiss and a hand that I didn't want to see Worse than she was a coward She stuck the knife in my heart and just twisted Sha-la-lá, sha-la-la-la-la-lá Sha-la-lá, sha-la-la-la-la-lá Sha-la-lá, sha-la- la-la-la-la Sha-la-la, sha-la-la-la-la-la",https://www.letras.mus.br/ze-neto-cristiano/melacao/
Dois Tristes,Simone Mendes,"Ooh, ooh Ontem saímos de novo, e você emburrada, com a cara fechada Tinha um casal do lado, curtindo de boa Quando eu pedi alguém pra Deus Eu queria esse tipo de pessoa Nós somos dois tristes Que nunca serão felizes Tô com a sensação de que escolhi errado quem tá do meu lado Quanto mais eu saio e conheço gente, isso fica mais claro Todo casal que eu vejo, bebe junto, tem assunto, tá feliz, beija de língua E a gente só briga, briga, briga, briga, briga Tô com a sensação de que escolhi errado quem tá do meu lado Quanto mais eu saio e conheço gente, isso fica mais claro Todo casal que eu vejo, bebe junto, tem assunto, tá feliz, beija de língua E a gente só briga, briga, briga, briga, briga Pra mim já deu Cansei de ver todo mundo feliz menos eu Ooh, ooh Nós somos dois tristes Que nunca serão felizes Tô com a sensação de que escolhi errado quem tá do meu lado Quanto mais eu saio e conheço gente, isso fica mais claro Todo casal que eu vejo, bebe junto, tem assunto, tá feliz, beija de língua E a gente só briga, briga, briga, briga, briga Tô com a sensação de que escolhi errado quem tá do meu lado Quanto mais eu saio e conheço gente, isso fica mais claro Todo casal que eu vejo, bebe junto, tem assunto, tá feliz, beija de língua E a gente só briga, briga, briga, briga, briga Pra mim já deu Cansei de ver todo mundo feliz menos eu Ooh, ooh","Ooh, ooh Yesterday we went out again, and you were sulking, with a frown on your face There was a couple on the side, having a good time When I asked God for someone I wanted that kind of person We are two sad people Who will never be happy I have the feeling of that I chose wrongly who is on my side The more I go out and meet people, this becomes clearer Every couple I see, drinks together, has something to say, is happy, kisses with tongue And we just fight, fight, fight, fight, fight I have the feeling that I chose wrongly who is on my side The more I go out and meet people, this becomes clearer Every couple I see, drinks together, has something to do, is happy, kisses with tongue And we just fight, fight, fight, fight, fight It's over for me I'm tired of seeing everyone happy except me Ooh, ooh We are two sad people Who will never be happy I have the feeling that I chose wrongly who is on my side The more I go out and meet people , this becomes clearer Every couple I see, drinks together, has a conversation, is happy, kisses with tongue And we just fight, fight, fight, fight, fight I have the feeling that I chose wrongly who is on my side How much But I go out and meet people, this becomes clearer Every couple I see, drinks together, has something to do, they're happy, kisses with tongue And we just fight, fight, fight, fight, fight For me, I'm tired of watching everything Happy world but me Ooh, ooh",https://www.letras.mus.br/simone-mendes/dois-tristes/
Minha Herança,Ana Castela,"(Essa mexe com meu coração) Saudade de abrir a janela Ver como o céu tá bonito É que na cidade grande Prédio esconde o que Deus fez de mais lindo Em meio a tanta correria Em meio a tanto compromisso Quando sobra um tempo, eu volto Pra fazenda, eu volto pro meu paraíso Em cima do cavalo Passa um filme na cabeça De quando eu era criança Cantando só por brincadeira Tempo que não volta O vô e a vó conversando e nós correndo em volta Ficar até tarde acordado escutando história Daria todo o meu dinheiro pra ter isso agora Tempo que não volta O vô e a vó conversando e nós correndo em volta Ficar até tarde acordado escutando história Daria todo o meu dinheiro pra ter isso agora Coisas que vivem pra sempre na minha lembrança Essa é minha herança Em cima do cavalo Passa um filme na cabeça De quando eu era criança Cantando só por brincadeira Tempo que não volta O vô e a vó conversando e nós correndo em volta Ficar até tarde acordado escutando história Daria todo o meu dinheiro pra ter isso agora Tempo que não volta O vô e a vó conversando e nós correndo em volta Ficar até tarde acordado escutando história Daria todo o meu dinheiro pra ter isso agora Coisas que vivem pra sempre na minha lembrança Essa é minha herança","(This one touches my heart) I miss opening the window Seeing how beautiful the sky is It's just that in the big city Building hides the most beautiful thing that God made In the midst of so much rush In the midst of so much commitment When there's time left, I come back To farm, I go back to my paradise On top of the horse There's a movie playing in my head From when I was a child Singing just for fun Time that doesn't come back Grandpa and grandma talking and us running around Staying up late listening to stories I'd give my all money to have this now Time that never comes back Grandpa and grandma talking and us running around Staying up late listening to stories I would give all my money to have this now Things that live forever in my memory This is my inheritance On top of horse There's a movie playing in my head From when I was a child Singing just for fun Time that doesn't come back Grandpa and grandma talking and we run around Staying up late listening to stories I'd give all my money to have that now Time that doesn't come back Grandpa and grandma talking and we running around Staying up late listening to stories I would give all my money to have this now Things that live forever in my memory This is my inheritance",https://www.letras.mus.br/ana-castela/minha-heranca/
Morar Nesse Motel,Gusttavo Lima,"Quem consegue entender A cabeça de uma ex Que chama pra ficar pela última vez? Eu me arrumei pra você Reservei das dez às seis Aquele quarto que a gente era freguês Agora tá nós dois se olhando no espelho do teto Você chorando, e eu quieto Porque quando essa luz acender E esvaziar essa banheira Tô perdendo o amor da minha vida inteira Vamo morar nesse motel Enquanto tiver suor pra gente suar Enquanto tiver bebida no frigobar Nós dois daqui não sai Vamo ficar de vez pra última vez não acabar mais Vamo morar nesse motel Enquanto tiver suor pra gente suar Enquanto tiver bebida no frigobar Nós dois daqui não sai Vamo ficar de vez pra última vez não acabar mais Agora tá nós dois se olhando no espelho do teto Você chorando, e eu quieto Porque quando essa luz acender E esvaziar essa banheira Tô perdendo o amor da minha vida inteira Vamo morar nesse motel Enquanto tiver suor pra gente suar Enquanto tiver bebida no frigobar Nós dois daqui não sai Vamo ficar de vez pra última vez não acabar mais Vamo morar nesse motel Enquanto tiver suor pra gente suar Enquanto tiver bebida no frigobar Nós dois daqui não sai Vamo ficar de vez pra última vez não acabar mais Nós dois daqui não sai Vamo ficar de vez pra última vez não acabar mais","Who can understand The head of an ex Who calls to stay for the last time? I got ready for you I booked it from ten to six That room where we used to be customers Now we're both looking at each other in the ceiling mirror You crying, and I'm quiet Because when that light comes on And this bathtub is emptied I'm losing the love of my entire life Let's live in this motel As long as there's sweat for us to sweat As long as there's a drink in the minibar We both won't leave here Let's stay for the last time so it doesn't end again Let's live in this motel As long as there's sweat for us to sweat As long as there's a drink in the minibar We'll both stay here Let's stay for the last time so it doesn't end anymore Now we're both looking in the ceiling mirror You crying, and I'm quiet Because when this light comes on And this bathtub is empty I'm losing the love of my entire life We're going to live in this motel As long as there's sweat so we can sweat As long as there's a drink in the minibar We both won't leave here Let's stay here for the last time so we don't end up Let's live in this motel As long as there's sweat for us to sweat As long as there's drinks in the minibar We both won't leave here Let's stay here for the last time It won't end again The two of us won't leave here Let's stay for the last time so it won't end again",https://www.letras.mus.br/gusttavo-lima/morar-nesse-motel/
Gosta de Rua,Felipe e Rodrigo,"E tá, então tá Era alguém parecido, seu sapato nem viu rua Tá, então tá Então explica essa foto sua Calou porque a língua tem culpa Travou porque você não muda Sempre a mesma história que cê joga pra cima de mim Será que eu tenho cara de idiota? Parece que sim Já vi de tudo nessa vida Gente que gosta de tapa, e alguns, de carinho Mas seu fetiche é trair Já que cê gosta tanto de rua Pega suas coisas e vaza Hoje cê dorme em qualquer fim de mundo Menos aqui em casa Já que cê gosta tanto de rua Pega suas coisas e vaza Hoje cê dorme em qualquer fim de mundo Menos aqui em casa Já que cê gosta tanto de rua Pega suas coisas e vaza Hoje cê dorme em qualquer fim de mundo Menos aqui em casa Tô terminando com você E com as mentiras que cê fala Calou porque a língua tem culpa Travou porque você não muda Sempre a mesma história que cê joga pra cima de mim Será que eu tenho cara de idiota? Parece que sim Já vi de tudo nessa vida Gente que gosta de tapa, e alguns, de carinho Mas seu fetiche é trair Já que cê gosta tanto de rua Pega suas coisas e vaza Hoje cê dorme em qualquer fim de mundo Menos aqui em casa Já que cê gosta tanto de rua Pega suas coisas e vaza Hoje cê dorme em qualquer fim de mundo Menos aqui em casa Já que cê gosta tanto de rua Pega suas coisas e vaza Hoje cê dorme em qualquer fim de mundo Menos aqui em casa Já que cê gosta tanto de rua Pega suas coisas e vaza Hoje cê dorme em qualquer fim de mundo Menos aqui em casa Já que cê gosta tanto de rua Pega suas coisas e vaza Hoje cê dorme em qualquer fim de mundo Menos aqui em casa Tô terminando com você E com as mentiras que cê fala","And ok, so ok It was someone similar, your shoes didn't even see the street Ok, so ok So explain this photo of you He shut up because his tongue is to blame He got stuck because you don't change Always the same story you throw at me Do I have a face? idiot? It seems so I've seen everything in this life People who like slapping, and some, affection But your fetish is cheating Since you like the street so much Take your things and leave Today you sleep at any end of the world Except here at home Already because you like the streets so much Take your things and leave Today you sleep at any end of the world Except here at home Since you like the streets so much Take your things and leave Today you sleep at any end of the world Except here at home I'm ending with you And with the lies you speak You shut up because your tongue is to blame It stuck because you don't change Always the same story you throw at me Do I look like an idiot? It seems so I've seen everything in this life People who like slapping, and some, affection But your fetish is cheating Since you like the street so much Take your things and leave Today you sleep at any end of the world Except here at home Already because you like the streets so much Take your things and leave Today you sleep at any end of the world Except here at home Since you like the streets so much Take your things and leave Today you sleep at any end of the world Except here at home Since you You like the streets so much Take your things and leave Today you sleep at any end of the world Except here at home Since you like the streets so much Take your things and leave Today you sleep at any end of the world Except here at home I'm breaking up with you And with the lies you speak",https://www.letras.mus.br/felipe-e-rodrigo/gosta-de-rua/
Rancorosa,Henrique e Juliano,"Hoje eu acordei Com uma vontade de mandar um texto do tamanho do mundo Mas eu não mandei Escrevi e apaguei Escrevi e apaguei Eu nem sei Quantas vezes o meu dedo foi no enviar e eu desviei Se eu mando o que eu penso, a gente não volta Aí a foto dela some na hora E se eu conheço bem aquela rancorosa Vai ter copo, vai ter foto com legenda: Vida nova E toda vez que eu vou pra deixar ela, eu deixo quieto Mas que às vezes dá vontade, dá De mandar pra longe, eu chego mais perto E toda vez que eu vou pra deixar ela, eu deixo quieto Mas que às vezes dá vontade, dá De mandar pra longe, eu chego mais perto Não sei o que ela fez comigo Sou um covarde assumido E o medo de te perder Os meus argumentos começam perdidos E aí quem disse que eu envio? Se eu mando o que eu penso, a gente não volta Aí a foto dela some na hora E se eu conheço bem aquela rancorosa Vai ter copo, vai ter foto com legenda: Vida nova E toda vez que eu vou pra deixar ela, eu deixo quieto Mas que às vezes dá vontade, dá De mandar pra longe, eu chego mais perto E toda vez que eu vou pra deixar ela, eu deixo quieto Mas que às vezes dá vontade, dá De mandar pra longe, eu chego mais perto Não sei o que ela fez comigo Sou um covarde assumido E o medo de te perder Os meus argumentos começam perdidos E aí quem disse que eu envio?","Today I woke up With the desire to send a text the size of the world But I didn't send it I wrote it and deleted it I wrote it and deleted it I don't even know How many times my finger was on send and I diverted If I send what I think, we won't get back Then her photo disappears immediately And if I know that spiteful woman well There will be a glass, there will be a photo with a caption: New life And every time I go to leave her, I leave it alone But sometimes I feel like it, I can Send it to her far away, I get closer And every time I go to leave her, I leave her alone But sometimes I feel like it, I can Send her far away, I get closer I don't know what she did to me I'm an admitted coward And fear of losing you My arguments start lost And then who said I send? If I send what I think, we don't get back Then her photo disappears instantly And if I know that spiteful woman well There will be a glass, there will be a photo with a caption: New life And every time I go to leave her, I leave her quiet But sometimes I feel like sending it away, I get closer And every time I go to leave her, I leave it alone But sometimes I feel like it, I can Send it away, I get closer I don't know what she did to me I'm an admitted coward And the fear of losing you My arguments start lost And then who said I send?",https://www.letras.mus.br/henrique-e-juliano/rancorosa/
